"term_name","term_id","pval","padj","intersection_size","term_size","neg_log10_p"
"response to bacterium","GO:0009617",2.62330724143547e-05,TRUE,8,803,4.58115084191217
"response to external stimulus","GO:0009605",4.52050106751984e-05,TRUE,11,2346,4.3448134238616
"cell surface receptor signaling pathway","GO:0007166",6.61307869863636e-05,TRUE,11,2433,4.17959630896392
"regulation of response to external stimulus","GO:0032101",0.000102044587906473,TRUE,8,957,3.99121002382085
"defense response","GO:0006952",0.000407087221226771,TRUE,9,1633,3.39031253023618
"defense response to bacterium","GO:0042742",0.00170249241084468,TRUE,5,301,2.76891481535387
"signal transduction","GO:0007165",0.00221444956432793,TRUE,14,6451,2.65473420663391
"regulation of response to wounding","GO:1903034",0.00333781398476103,TRUE,4,148,2.47653787006626
"response to stress","GO:0006950",0.00367574614262405,TRUE,11,3596,2.43465448984973
"response to stimulus","GO:0050896",0.00403736944878596,TRUE,16,9759,2.3939015076549
"response to other organism","GO:0051707",0.0043288342887541,TRUE,8,1566,2.36362903900947
"response to external biotic stimulus","GO:0043207",0.00441232343757693,TRUE,8,1570,2.355332659875
"response to biotic stimulus","GO:0009607",0.0052278787099548,TRUE,8,1606,2.28167449687734
"signaling","GO:0023052",0.00625524436806402,TRUE,14,6987,2.20375571944319
"cell communication","GO:0007154",0.00692374318041673,TRUE,14,7042,2.15965904960606
"biological process involved in interspecies interaction between organisms","GO:0044419",0.00751310331052067,TRUE,8,1686,2.12418063926079
"inflammatory response","GO:0006954",0.00864806064487299,TRUE,6,753,2.06308127353655
"phagocytosis","GO:0006909",0.00956384238972722,TRUE,4,193,2.01936758958635
"regulation of response to stress","GO:0080134",0.0116954472583813,TRUE,7,1242,1.9319831652073
"innate immune response","GO:0045087",0.0146739694823932,TRUE,6,826,1.83345238846705
"immune system process","GO:0002376",0.0174297335376804,TRUE,9,2557,1.75870925224741
"defense response to symbiont","GO:0140546",0.0184611025621899,TRUE,6,860,1.73374236493655
"defense response to other organism","GO:0098542",0.0224293999571024,TRUE,6,890,1.64918234473202
"response to wounding","GO:0009611",0.0238691615389985,TRUE,5,518,1.62216283635067
"leukocyte activation","GO:0045321",0.0262420105845542,TRUE,6,915,1.5810028936742
"regulation of response to stimulus","GO:0048583",0.0267039126950991,TRUE,10,3487,1.57342510053072
"cellular response to molecule of bacterial origin","GO:0071219",0.0295050885465331,TRUE,4,257,1.53010307767934
"cellular response to stimulus","GO:0051716",0.0296237575190608,TRUE,14,7885,1.5283598557981
"positive regulation of response to stimulus","GO:0048584",0.0300242390947078,TRUE,8,2034,1.52252799012512
"immune effector process","GO:0002252",0.0420731976033485,TRUE,5,583,1.37599447993173
"cellular response to biotic stimulus","GO:0071216",0.0448114320968038,TRUE,4,286,1.34861117655558
