"","term_name","negative_log10_of_adjusted_p_value","term_id"
"1","immune system process",56.3748186011489,"GO:0002376"
"2","response to external stimulus",50.7006998171319,"GO:0009605"
"3","defense response",44.9507298342327,"GO:0006952"
"4","response to other organism",44.3069430088218,"GO:0051707"
"5","response to external biotic stimulus",44.2188302178549,"GO:0043207"
"6","biological process involved in interspecies interaction between organisms",43.8249766832331,"GO:0044419"
"7","response to biotic stimulus",43.4371161110026,"GO:0009607"
"8","immune response",39.9659112802385,"GO:0006955"
"9","regulation of immune system process",38.7025890821493,"GO:0002682"
"10","positive regulation of immune system process",37.3033461546257,"GO:0002684"
"11","innate immune response",34.9692253650085,"GO:0045087"
"12","defense response to symbiont",33.9852026324442,"GO:0140546"
"13","regulation of response to external stimulus",33.5039706026302,"GO:0032101"
"14","defense response to other organism",33.1528501412873,"GO:0098542"
"15","response to stress",33.045853723789,"GO:0006950"
"16","inflammatory response",31.6109157003512,"GO:0006954"
"17","positive regulation of response to stimulus",30.9207515358124,"GO:0048584"
"18","positive regulation of response to external stimulus",30.862521193194,"GO:0032103"
"19","regulation of response to stimulus",28.602550643326,"GO:0048583"
"20","regulation of immune response",26.8749282531377,"GO:0050776"
"21","response to stimulus",26.2610202815927,"GO:0050896"
"22","positive regulation of immune response",25.7506496524311,"GO:0050778"
"23","immune effector process",24.7110535331571,"GO:0002252"
"24","cell activation",24.6415210395532,"GO:0001775"
"25","response to bacterium",23.9836305042053,"GO:0009617"
"26","leukocyte mediated immunity",23.4510422274385,"GO:0002443"
"27","leukocyte activation",23.3853402586779,"GO:0045321"
"28","positive regulation of biological process",22.6753416677031,"GO:0048518"
"29","positive regulation of defense response",22.2804883084624,"GO:0031349"
"30","regulation of defense response",22.1088976021558,"GO:0031347"
"31","antigen processing and presentation",22.0355717984123,"GO:0019882"
"32","cell killing",21.0127819687736,"GO:0001906"
"33","regulation of response to stress",20.8353998792813,"GO:0080134"
"34","regulation of multicellular organismal process",18.9212560289242,"GO:0051239"
"35","lymphocyte mediated immunity",18.8153594005427,"GO:0002449"
"36","regulation of immune effector process",17.5228448078619,"GO:0002697"
"37","myeloid leukocyte activation",17.3452085851579,"GO:0002274"
"38","cell surface receptor signaling pathway",16.6477831871563,"GO:0007166"
"39","positive regulation of multicellular organismal process",16.4827035921248,"GO:0051240"
"40","positive regulation of cellular process",16.4219019347358,"GO:0048522"
"41","leukocyte migration",16.4098023431114,"GO:0050900"
"42","activation of immune response",15.962012829516,"GO:0002253"
"43","chemotaxis",15.93823204202,"GO:0006935"
"44","taxis",15.8753227929626,"GO:0042330"
"45","regulation of response to biotic stimulus",15.7250886137623,"GO:0002831"
"46","antigen processing and presentation of peptide antigen",15.6529906266656,"GO:0048002"
"47","signal transduction",15.5532089188145,"GO:0007165"
"48","regulation of biological process",15.5052791043399,"GO:0050789"
"49","cellular response to chemical stimulus",15.4445399693721,"GO:0070887"
"50","regulation of cytokine production",15.3883891169014,"GO:0001817"
"51","positive regulation of inflammatory response",15.3783549057365,"GO:0050729"
"52","cytokine production",15.2842651452422,"GO:0001816"
"53","regulation of innate immune response",14.9745238533247,"GO:0045088"
"54","positive regulation of response to biotic stimulus",14.9667027701963,"GO:0002833"
"55","signaling",14.8730749153084,"GO:0023052"
"56","cellular response to stimulus",14.6629666362321,"GO:0051716"
"57","response to peptide",14.6265611948545,"GO:1901652"
"58","cell communication",14.5843766471301,"GO:0007154"
"59","lymphocyte activation",14.5445214389398,"GO:0046649"
"60","immune response-regulating signaling pathway",14.4968448530757,"GO:0002764"
"61","myeloid leukocyte migration",14.3091140285755,"GO:0097529"
"62","leukocyte mediated cytotoxicity",14.2566630076025,"GO:0001909"
"63","response to cytokine",14.040663918821,"GO:0034097"
"64","biological regulation",13.9569064981515,"GO:0065007"
"65","regulation of leukocyte mediated immunity",13.9563279217295,"GO:0002703"
"66","positive regulation of innate immune response",13.6506733386901,"GO:0045089"
"67","regulation of inflammatory response",13.5922948413145,"GO:0050727"
"68","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",13.4054859612828,"GO:0002460"
"69","positive regulation of immune effector process",13.3716332617013,"GO:0002699"
"70","antigen processing and presentation of exogenous antigen",13.3069527221141,"GO:0019884"
"71","cytokine-mediated signaling pathway",13.2313107313982,"GO:0019221"
"72","regulation of cellular process",13.2277547157908,"GO:0050794"
"73","defense response to bacterium",13.0691461400322,"GO:0042742"
"74","regulation of cell activation",13.0661167493988,"GO:0050865"
"75","cellular response to cytokine stimulus",13.0104003328417,"GO:0071345"
"76","T cell activation",12.9275988934448,"GO:0042110"
"77","leukocyte chemotaxis",12.7021381643464,"GO:0030595"
"78","leukocyte differentiation",12.6947496156633,"GO:0002521"
"79","response to molecule of bacterial origin",12.6141200649905,"GO:0002237"
"80","antigen processing and presentation of exogenous peptide antigen",12.5852526145268,"GO:0002478"
"81","cell population proliferation",12.1288470387571,"GO:0008283"
"82","cell chemotaxis",12.1040395753635,"GO:0060326"
"83","positive regulation of leukocyte mediated immunity",12.0152515330186,"GO:0002705"
"84","immune response-activating signaling pathway",11.8819272486546,"GO:0002757"
"85","positive regulation of cell communication",11.6668324151295,"GO:0010647"
"86","positive regulation of signaling",11.6567851644623,"GO:0023056"
"87","intracellular signal transduction",11.0901830218558,"GO:0035556"
"88","regulation of signaling",11.0440726640925,"GO:0023051"
"89","regulation of cell communication",11.0166651436739,"GO:0010646"
"90","negative regulation of multicellular organismal process",10.8311789912319,"GO:0051241"
"91","hemopoiesis",10.6432137179972,"GO:0030097"
