Unnamed: 0,term_name,negative_log10_of_adjusted_p_value,term_id,metabolism,lipid_metabolism,mitochondrial_energy,redox_metabolism,cell_death,cell_killing,immune,transcription,translation,signaling,transport,development_structure,neuronal,best_category,confidence
1,immune system process,56.3748186011489,GO:0002376,0.1772725,0.13826866,0.09654332,0.16859953,0.3598493,0.47473642,0.60010314,0.15240304,0.22593507,0.2943338,0.25040847,0.2815752,0.1878536,immune,0.12536672
2,response to external stimulus,50.7006998171319,GO:0009605,0.0042048786,-0.016275825,-0.005684741,0.010676442,0.027682208,0.058657713,0.13690215,0.047454588,-0.0012704022,0.2316171,0.09886177,0.016832083,0.17072326,signaling,0.060893834
3,defense response,44.9507298342327,GO:0006952,-0.0042700013,-0.013438722,-0.02010155,0.00085008144,0.12496407,0.19249716,0.32361674,0.06524658,0.07375322,0.18317285,0.033101372,0.09081351,0.060695194,immune,0.13111958
4,response to other organism,44.3069430088218,GO:0051707,0.24590027,0.12603185,0.1900081,0.17212906,0.21833831,0.24994567,0.37517482,0.16125426,0.2180161,0.33080328,0.1911075,0.25511578,0.18126726,immune,0.044371545
5,response to external biotic stimulus,44.2188302178549,GO:0043207,0.2193988,0.09357342,0.16298273,0.14920498,0.1524611,0.12026405,0.21516609,0.15467316,0.09041491,0.32271636,0.1967766,0.16887781,0.25328878,signaling,0.06942758
6,biological process involved in interspecies interaction between organisms,43.8249766832331,GO:0044419,0.33244607,0.1586486,0.2188066,0.15761065,0.26645818,0.20965122,0.29097083,0.22994688,0.27013737,0.34504074,0.3274662,0.3452454,0.19032326,development_structure,0.00020465255
7,response to biotic stimulus,43.4371161110026,GO:0009607,0.24302855,0.10605435,0.1807633,0.17778027,0.19821331,0.15302242,0.23772115,0.16964747,0.09826614,0.34174275,0.16405222,0.20624717,0.2914998,signaling,0.05024296
8,immune response,39.9659112802385,GO:0006955,0.114853255,0.108339034,0.10168436,0.1931897,0.31107247,0.50704074,0.7420591,0.1323427,0.16359776,0.31440097,0.14076284,0.20560753,0.106151514,immune,0.23501837
9,regulation of immune system process,38.7025890821493,GO:0002682,0.25346226,0.24315178,0.15563649,0.22679093,0.37000257,0.45930338,0.6400508,0.41750148,0.26484448,0.42569408,0.24830608,0.33699918,0.23986898,immune,0.18074745
10,positive regulation of immune system process,37.3033461546257,GO:0002684,0.18428499,0.18532975,0.16340317,0.20791075,0.37614763,0.43736938,0.59480363,0.36231333,0.24219736,0.4282113,0.21361485,0.2715394,0.24372737,immune,0.15743425
