term_name,negative_log10_of_adjusted_p_value,intersections,term_id,raw_category,category
immune system process,56.37481860114892,"ENSMUSG00000000290,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002699,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000004730,ENSMUSG00000005800,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000020437,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022216,ENSMUSG00000022587,ENSMUSG00000022651,ENSMUSG00000022952,ENSMUSG00000023010,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024338,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000024913,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026656,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031103,ENSMUSG00000031722,ENSMUSG00000031838,ENSMUSG00000031897,ENSMUSG00000032076,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033777,ENSMUSG00000034041,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037731,ENSMUSG00000038147,ENSMUSG00000038357,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000042190,ENSMUSG00000043008,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000059498,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079227,ENSMUSG00000096727",GO:0002376,['other'],other
response to external stimulus,50.700699817131856,"ENSMUSG00000000204,ENSMUSG00000000682,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000018819,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000022651,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026249,ENSMUSG00000026358,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031103,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032089,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033295,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000039621,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000041736,ENSMUSG00000042190,ENSMUSG00000043008,ENSMUSG00000043953,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000046223,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000053113,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079017,ENSMUSG00000079110,ENSMUSG00000079227",GO:0009605,['other'],other
defense response,44.95072983423267,"ENSMUSG00000000290,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000018819,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031103,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032089,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037731,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000043953,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000053113,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079227",GO:0006952,['other'],other
response to other organism,44.30694300882177,"ENSMUSG00000000204,ENSMUSG00000000682,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026358,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000041736,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079017,ENSMUSG00000079227",GO:0051707,['other'],other
response to external biotic stimulus,44.21883021785493,"ENSMUSG00000000204,ENSMUSG00000000682,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026358,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000041736,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079017,ENSMUSG00000079227",GO:0043207,['other'],other
biological process involved in interspecies interaction between organisms,43.82497668323314,"ENSMUSG00000000204,ENSMUSG00000000682,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026358,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027315,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000029249,ENSMUSG00000030413,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000041736,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079017,ENSMUSG00000079227",GO:0044419,['other'],other
response to biotic stimulus,43.437116111002645,"ENSMUSG00000000204,ENSMUSG00000000682,ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002227,ENSMUSG00000003283,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000006445,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026358,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000031722,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037095,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000040809,ENSMUSG00000041736,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000051506,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000069516,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079017,ENSMUSG00000079227",GO:0009607,['other'],other
immune response,39.965911280238466,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002699,ENSMUSG00000003283,ENSMUSG00000004266,ENSMUSG00000004730,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000020437,ENSMUSG00000021025,ENSMUSG00000021624,ENSMUSG00000021948,ENSMUSG00000022587,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000025491,ENSMUSG00000025492,ENSMUSG00000026068,ENSMUSG00000026712,ENSMUSG00000026822,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000032076,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037731,ENSMUSG00000038147,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000046410,ENSMUSG00000046805,ENSMUSG00000051439,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000052776,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000058755,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000060586,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490,ENSMUSG00000078853,ENSMUSG00000078942,ENSMUSG00000079227",GO:0006955,['other'],other
regulation of immune system process,38.70258908214929,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002699,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000018774,ENSMUSG00000020437,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000022952,ENSMUSG00000023010,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000026068,ENSMUSG00000026656,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000032076,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037731,ENSMUSG00000038147,ENSMUSG00000039899,ENSMUSG00000039942,ENSMUSG00000042190,ENSMUSG00000043008,ENSMUSG00000044456,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046410,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000059089,ENSMUSG00000059498,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490",GO:0002682,['other'],other
positive regulation of immune system process,37.303346154625736,"ENSMUSG00000001123,ENSMUSG00000001751,ENSMUSG00000002111,ENSMUSG00000002699,ENSMUSG00000003814,ENSMUSG00000004266,ENSMUSG00000005800,ENSMUSG00000015947,ENSMUSG00000016206,ENSMUSG00000020437,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000022952,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024397,ENSMUSG00000024401,ENSMUSG00000024610,ENSMUSG00000024621,ENSMUSG00000024737,ENSMUSG00000026068,ENSMUSG00000026946,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028459,ENSMUSG00000028581,ENSMUSG00000028874,ENSMUSG00000029204,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000030921,ENSMUSG00000032076,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000033777,ENSMUSG00000034116,ENSMUSG00000034855,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000035385,ENSMUSG00000036594,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037731,ENSMUSG00000042190,ENSMUSG00000043008,ENSMUSG00000044583,ENSMUSG00000045502,ENSMUSG00000046410,ENSMUSG00000051439,ENSMUSG00000052085,ENSMUSG00000052142,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000058715,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000061353,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000073421,ENSMUSG00000073489,ENSMUSG00000073490",GO:0002684,['other'],other
