Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Gata1	Lcp2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Vasp	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Arhgap25	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Bcl2a1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Plau	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Pik3cg	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	C1qc	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Hck	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Myo1f	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Junb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Aif1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Cd68	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Cybb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Laptm5	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Ncf2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Tnfaip2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Dock8	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Ptpn6	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Apobr	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	C1qb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Lrrk1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Elf4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Nfkbiz	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Sla	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Ly6h	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Psap	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Tspan14	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Npc2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Il1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Lrrc25	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Rcsd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Mrc1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
