"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0007165","signal transduction",4.38710539244296e-09,2.16301584918993,25,8.3578219323134
"GO:0002376","immune system process",3.17174059395853e-08,2.13456277170094,20,7.49870233939329
"GO:0008284","positive regulation of cell population proliferation",1.02062469744543e-06,2.00519399636908,14,5.99113392666174
"GO:0006954","inflammatory response",1.04833572557192e-06,2.0773405520075,18,5.97949961390356
"GO:0009617","response to bacterium",1.42683827620377e-06,1.90929692695652,9,5.84562524884229
"GO:0007186","G protein-coupled receptor signaling pathway",4.18034617530363e-06,1.97700214588332,13,5.3787877527228
"GO:0019882","antigen processing and presentation",4.84115691091864e-06,1.72629303374265,5,5.31505084083737
"GO:0045087","innate immune response",5.42374141122368e-06,1.95737823219314,11,5.26570102459006
"GO:0010628","positive regulation of gene expression",9.52836563633877e-06,1.96612231017646,13,5.02098158582445
"GO:0007166","cell surface receptor signaling pathway",1.40213177759966e-05,1.72145211810087,5,4.85321116782804
"GO:0030335","positive regulation of cell migration",1.64179578782231e-05,1.93870896758283,11,4.78468086289097
"GO:0030593","neutrophil chemotaxis",1.71691661977648e-05,1.71976342659793,5,4.76525079537505
"GO:0007015","actin filament organization",3.0250125720359e-05,1.71559798755734,5,4.51927281606788
"GO:0032722","positive regulation of chemokine production",3.57714002936115e-05,1.71480993152263,5,4.44646405879189
"GO:0006935","chemotaxis",4.76938489380684e-05,1.86357134861004,9,4.32153762818233
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",8.70774920450007e-05,1.84921859762906,9,4.06009408774649
"GO:0032496","response to lipopolysaccharide",9.63041177497828e-05,1.84642425673011,9,4.01635514301279
"GO:0035556","intracellular signal transduction",0.000108990744950392,1.84299483835412,9,3.96261037901007
"GO:0043525","positive regulation of neuron apoptotic process",0.000125120631199928,1.70085008176496,5,3.90267107337986
"GO:0006915","apoptotic process",0.000139794290245606,1.83905735799651,9,3.85451056654074
"GO:0045893","positive regulation of DNA-templated transcription",0.000157978535800898,1.83626301709756,9,3.80140191568143
"GO:0032755","positive regulation of interleukin-6 production",0.000165194521122962,1.78393795592755,7,3.78200436068103
"GO:0019221","cytokine-mediated signaling pathway",0.000216556010928199,1.9317786647933,10,3.66442975708899
"GO:0006955","immune response",0.000256081747345938,1.92978247494385,10,3.59162137549267
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",0.00027434268654899,1.55231819359037,3,3.56170661277336
"GO:0038094","Fc-gamma receptor signaling pathway",0.00027434268654899,1.55231819359037,3,3.56170661277336
"GO:0001516","prostaglandin biosynthetic process",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0002286","T cell activation involved in immune response",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0002606","positive regulation of dendritic cell antigen processing and presentation",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0002821","positive regulation of adaptive immune response",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0002830","positive regulation of type 2 immune response",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0002906","negative regulation of mature B cell apoptotic process",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0030336","negative regulation of cell migration",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0030890","positive regulation of B cell proliferation",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0045059","positive thymic T cell selection",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0045060","negative thymic T cell selection",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0045581","negative regulation of T cell differentiation",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0045657","positive regulation of monocyte differentiation",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0046597","host-mediated suppression of symbiont invasion",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0046598","positive regulation of viral entry into host cell",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:0048146","positive regulation of fibroblast proliferation",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",0.000308190326620129,1.32699933335567,1,3.51118099690063
"GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production",0.000308190326620129,1.32699933335567,1,3.51118099690063
