"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0045766","positive regulation of angiogenesis",0.000243671943685933,1.61707718072453,4,3.61319447247234
"GO:0006954","inflammatory response",0.00028438691505406,1.75855573994456,8,3.54609038983591
"GO:0071222","cellular response to lipopolysaccharide",0.000452772767442658,1.67124540006321,5,3.34411970219312
"GO:0045087","innate immune response",0.000509650402257705,1.61113945060057,4,3.29272762867118
"GO:0045471","response to ethanol",0.000749991226787928,1.44004726086686,2,3.12494381684814
"GO:0008284","positive regulation of cell population proliferation",0.00090607528511624,1.71032004397985,6,3.04283571562101
"GO:0045944","positive regulation of transcription by RNA polymerase II",0.00123628686991444,1.7029045245154,6,2.90788074319123
"GO:0043065","positive regulation of apoptotic process",0.00129142144730342,1.60318713347026,4,2.88893200531737
"GO:0002376","immune system process",0.00170225610480558,1.64929930328862,5,2.76897509963538
"GO:0001525","angiogenesis",0.00175058622109924,1.59937002124771,4,2.75681649419603
"GO:0030335","positive regulation of cell migration",0.00175058622109924,1.59937002124771,4,2.75681649419603
"GO:0010759","positive regulation of macrophage chemotaxis",0.00208613342390611,1.4346363551186,2,2.68065791862611
"GO:0032757","positive regulation of interleukin-8 production",0.00240561507618299,1.5173248889354,3,2.61877386314059
"GO:0009410","response to xenobiotic stimulus",0.00262061093296866,1.59067548785191,4,2.58159745147124
"GO:0019221","cytokine-mediated signaling pathway",0.00262061093296866,1.59067548785191,4,2.58159745147124
"GO:0032496","response to lipopolysaccharide",0.00268762893652048,1.63448290292811,5,2.57063069169917
"GO:0010628","positive regulation of gene expression",0.00352555649592275,1.58293523251174,4,2.45277232150008
"GO:0071347","cellular response to interleukin-1",0.00353994916568292,1.51175343829082,3,2.45100297447758
"GO:0071354","cellular response to interleukin-6",0.00353994916568292,1.51175343829082,3,2.45100297447758
"GO:0071356","cellular response to tumor necrosis factor",0.00353994916568292,1.51175343829082,3,2.45100297447758
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.00353994916568292,1.51175343829082,3,2.45100297447758
"GO:0002221","pattern recognition receptor signaling pathway",0.00419409939909713,1.42633341353936,2,2.3773612810791
"GO:0007204","positive regulation of cytosolic calcium ion concentration",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0030593","neutrophil chemotaxis",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0032722","positive regulation of chemokine production",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0032729","positive regulation of type II interferon production",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0043409","negative regulation of MAPK cascade",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0071260","cellular response to mechanical stimulus",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0071466","cellular response to xenobiotic stimulus",0.00427553568828214,1.42512062431992,2,2.36900946411943
"GO:0006915","apoptotic process",0.00493161711144568,1.61298241217939,5,2.30701064919743
"GO:0006952","defense response",0.0056599581284866,1.42278833735946,2,2.24718678164468
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production",0.0056599581284866,1.42278833735946,2,2.24718678164468
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",0.0056599581284866,1.42278833735946,2,2.24718678164468
"GO:0071639","positive regulation of monocyte chemotactic protein-1 production",0.0056599581284866,1.42278833735946,2,2.24718678164468
"GO:0006887","exocytosis",0.00580411716868905,1.33777121000628,1,2.23626382897009
"GO:0051601","exocyst localization",0.00580411716868905,1.33777121000628,1,2.23626382897009
"GO:0030154","cell differentiation",0.00605658864670655,1.56978740152296,4,2.21777192188434
"GO:0006801","superoxide metabolic process",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0007584","response to nutrient",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0034220","monoatomic ion transmembrane transport",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0042554","superoxide anion generation",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0045730","respiratory burst",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0050665","hydrogen peroxide biosynthetic process",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0071276","cellular response to cadmium ion",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0071361","cellular response to ethanol",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:1904044","response to aldosterone",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:1990776","response to angiotensin",0.00671813376480119,1.33716596191489,1,2.17275135316826
"GO:0043525","positive regulation of neuron apoptotic process",0.00682253174905728,1.5042916740347,3,2.16605443463816
