Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
E2f6	Fcgr2b	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cd68	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Mpeg1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Elf4	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	H2-Aa	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Lrrk1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cybb	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Csf1r	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Grn	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ctsc	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Fgd2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Erp29	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Psmb8	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Plau	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Serpine2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Mrc1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	P2ry6	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cd52	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Lcp2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cyth4	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ccl2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Fgr	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Rcsd1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ptafr	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ucp2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Rac2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Arhgap25	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Il1b	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Lrrc25	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Slco2b1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Prkcd	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Slc15a3	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Laptm5	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Calr	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ptpn6	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Tnfaip2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Junb	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cadm1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Vav1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Psap	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	E2f8	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Aif1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Myo1f	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ncf2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Klhl6	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ly6h	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Rin3	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Socs3	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ccrl2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Plcb2	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Lsp1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Sparcl1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	C1qc	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Rest	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Ccr5	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cd180	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cmklr1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Arpc1b	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Nfkbiz	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Sla	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Il10ra	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Rxfp3	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cd14	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Xdh	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Fcgr1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Selplg	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Dock8	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Vasp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	C1qb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Lyz2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Ptprf	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Siglec1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Bcl2a1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Hck	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Csf2rb2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Ptger4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Atf3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Lyl1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Runx1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Cebpa	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Pik3cg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Cxcl12	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Itm2c	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Hp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Il18rap	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	B2m	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Cd72	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Csf2rb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Tgfbi	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Npc2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Cd74	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Retnlg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Srgn	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
E2f6	Apobr	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Rps6ka1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Rasal3	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Rgs1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Tspan14	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Dusp2	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Gna15	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Rhoh	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Wdfy4	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Fcgr4	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	Nmnat2	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
E2f6	H2-Eb1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
