"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0007165","signal transduction","GO:0007165",8.83855782590615e-09,2.12854947807843,25,8.05361859237908
"GO:0002376","immune system process","GO:0002376",9.10203786949684e-09,2.08642828421136,21,8.04086136192133
"GO:0006954","inflammatory response","GO:0006954",1.69163925980093e-07,1.9993685077182,17,6.771692244241
"GO:0019882","antigen processing and presentation","GO:0019882",1.89830294980597e-06,1.76845593413857,6,5.72163447740404
"GO:0009617","response to bacterium","GO:0009617",4.6321132675562e-06,1.83805629095379,8,5.33422082948934
"GO:0006955","immune response","GO:0006955",5.65392215896865e-06,1.88495312649295,10,5.24765017500516
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",5.83000044295757e-06,1.92366231464123,13,5.23433141224373
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",7.79290081986961e-06,1.88236726969353,10,5.10830085098492
"GO:0045087","innate immune response","GO:0045087",1.54361731733712e-05,1.88830923338579,12,4.81146035786576
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",2.40495491581154e-05,1.8368140596783,9,4.61889306066137
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",2.61987695970967e-05,1.87989918185373,12,4.58171910447182
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",3.52480153542235e-05,1.63052357484519,4,4.45286533101227
"GO:0050870","positive regulation of T cell activation","GO:0050870",3.52480153542235e-05,1.63052357484519,4,4.45286533101227
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",3.95326972181313e-05,1.77259064275787,7,4.40304355380806
"GO:0030335","positive regulation of cell migration","GO:0030335",4.68165090225381e-05,1.82497318561891,9,4.32960097356919
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",5.98240653721916e-05,1.62840380940727,4,4.22312407761834
"GO:0006935","chemotaxis","GO:0006935",6.81987128308158e-05,1.81644250822375,9,4.16622382205539
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000103478716659972,1.84380703329747,11,3.9851489660296
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000115377175496215,1.84156744061159,10,3.93788009704214
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.000197427112566979,1.7497077328749,7,3.70459320612598
"GO:0007015","actin filament organization","GO:0007015",0.000204738681669316,1.62193852482163,4,3.68880009750125
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000204738681669316,1.62193852482163,4,3.68880009750125
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000258683381852452,1.69430874274661,5,3.58723147001401
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",0.000284643041199547,1.54090026046952,3,3.54569942912129
"GO:0050778","positive regulation of immune response","GO:0050778",0.000284643041199547,1.54090026046952,3,3.54569942912129
"GO:0030154","cell differentiation","GO:0030154",0.000302864995041957,1.77525948918643,8,3.51875091926744
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.000307184781025123,1.74335520680961,7,3.51260030452769
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000343246299292577,1.77221110075112,8,3.46439413640869
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000350134580678815,1.54009896028206,3,3.45576499447251
"GO:0035556","intracellular signal transduction","GO:0035556",0.000379140850220605,1.76928464785322,8,3.42119942034905
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.00039360744875542,1.61568521677977,4,3.40493669143285
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000425702007265241,1.53889701000089,3,3.37089430203766
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000425702007265241,1.53889701000089,3,3.37089430203766
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000430056767250404,1.73660856774463,7,3.36647421401019
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.000450930062566598,1.76282206437037,8,3.34589081022111
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000450930062566598,1.76282206437037,8,3.34589081022111
"GO:0042110","T cell activation","GO:0042110",0.000598702511455061,1.44761121617335,2,3.22278892005911
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000598702511455061,1.44761121617335,2,3.22278892005911
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.000686136030527853,1.72323365170352,7,3.16358977430634
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.000690063017459998,1.53589213429794,3,3.16111124710991
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.000802732770581821,1.72062968574861,7,3.09542900712121
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.000829639738914359,1.72027459948203,7,3.08111045384914
"GO:0006915","apoptotic process","GO:0006915",0.000928037048533144,1.71743390934941,7,3.03243468579371
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.000936425392935179,1.44620585935227,2,3.02852681810431
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.00101829786919836,1.44564371662383,2,2.99212516499836
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.00101829786919836,1.44564371662383,2,2.99212516499836
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00102735329407792,1.53278709607157,3,2.98828018222206
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00119318336573359,1.71116071863986,7,2.92329280980249
"GO:0002250","adaptive immune response","GO:0002250",0.001281332911417,1.67510345055257,5,2.89233801872729
"GO:0050776","regulation of immune response","GO:0050776",0.001281332911417,1.67510345055257,5,2.89233801872729
"GO:0001525","angiogenesis","GO:0001525",0.00129976904039137,1.67421018114819,5,2.88613381184296
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00137957942006453,1.53008270793892,3,2.86025329286298
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00137957942006453,1.53008270793892,3,2.86025329286298
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","GO:0043161",0.00168419643856633,1.4429266934364,2,2.77360725534828
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.00179051187175589,1.52687750718911,3,2.7470227951095
"GO:0032715","negative regulation of interleukin-6 production","GO:0032715",0.00182538493697958,1.44208347934375,2,2.73864553757581
"GO:0055085","transmembrane transport","GO:0055085",0.0018344181512695,1.66929719942414,5,2.73650166098353
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.00184921660400066,1.52627653204852,3,2.73301221571336
"GO:0090026","positive regulation of monocyte chemotaxis","GO:0090026",0.00184921660400066,1.52627653204852,3,2.73301221571336
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.00184921660400066,1.52627653204852,3,2.73301221571336
"GO:1905146","lysosomal protein catabolic process","GO:1905146",0.00188835310193435,1.52607620700166,3,2.72391679399806
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.002087004038748,1.44133395570583,2,2.68047671049167
"GO:0006886","intracellular protein transport","GO:0006886",0.00225615457150169,1.52437344410333,3,2.64663114970171
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus","GO:0036006",0.0023652633264982,1.44058443206792,2,2.62612050191183
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00274786889544249,1.59003605498099,4,2.56100399189784
"GO:0050829","defense response to Gram-negative bacterium","GO:0050829",0.00274786889544249,1.59003605498099,4,2.56100399189784
"GO:0016477","cell migration","GO:0016477",0.00286157204848869,1.58918814880582,4,2.54339531497763
"GO:0009611","response to wounding","GO:0009611",0.00312054187206828,1.43777371842575,2,2.50576998559193
"GO:0010976","positive regulation of neuron projection development","GO:0010976",0.00312054187206828,1.43777371842575,2,2.50576998559193
"GO:0007041","lysosomal transport","GO:0007041",0.00331929989359883,1.43664943296888,2,2.47895350798568
"GO:0006958","complement activation, classical pathway","GO:0006958",0.00335905151584504,1.43618098069519,2,2.47378333558207
"GO:0098883","synapse pruning","GO:0098883",0.00335905151584504,1.43618098069519,2,2.47378333558207
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",0.00348295463038479,1.6921080908883,6,2.45805218270566
"GO:0006887","exocytosis","GO:0006887",0.0035180580578737,1.43552514751201,2,2.4536969977364
"GO:0007155","cell adhesion","GO:0007155",0.00383125473878278,1.65310669146986,5,2.41665897096924
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.00383125473878278,1.65326919613591,5,2.41665897096924
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.00391449277249066,1.51595979213508,3,2.40732450445655
"GO:0045471","response to ethanol","GO:0045471",0.00391449277249066,1.51595979213508,3,2.40732450445655
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.00391449277249066,1.51535881699449,3,2.40732450445655
"GO:0050821","protein stabilization","GO:0050821",0.00391449277249066,1.51535881699449,3,2.40732450445655
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.00391449277249066,1.51535881699449,3,2.40732450445655
"GO:0045453","bone resorption","GO:0045453",0.00403482980166306,1.43402610023619,2,2.39417478008875
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","GO:0050732",0.00403482980166306,1.43402610023619,2,2.39417478008875
"GO:0042554","superoxide anion generation","GO:0042554",0.00459855899520472,1.51325540400243,3,2.33737823755197
"GO:0043524","negative regulation of neuron apoptotic process","GO:0043524",0.00467456651851473,1.51265442886185,3,2.33025865588143
"GO:0031394","positive regulation of prostaglandin biosynthetic process","GO:0031394",0.00473992518493073,1.43121538659401,2,2.32422851318418
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","GO:0043123",0.00473992518493073,1.43121538659401,2,2.32422851318418
"GO:0046330","positive regulation of JNK cascade","GO:0046330",0.00473992518493073,1.43121538659401,2,2.32422851318418
"GO:0048711","positive regulation of astrocyte differentiation","GO:0048711",0.00473992518493073,1.43121538659401,2,2.32422851318418
"GO:0070372","regulation of ERK1 and ERK2 cascade","GO:0070372",0.00473992518493073,1.43121538659401,2,2.32422851318418
