"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",6.49473618168752e-11,2.22427198653293,28,10.1874384854169
"GO:0007165","signal transduction","GO:0007165",2.29217810819858e-09,2.19519084873544,28,8.63975163958312
"GO:0045087","innate immune response","GO:0045087",9.54741713777761e-08,2.06131825948666,17,7.0201141021887
"GO:0019882","antigen processing and presentation","GO:0019882",2.24593737904553e-07,1.81204182193939,7,6.64860235685199
"GO:0050778","positive regulation of immune response","GO:0050778",1.94981263443754e-06,1.75020852783053,5,5.71000711978591
"GO:0050870","positive regulation of T cell activation","GO:0050870",1.94981263443754e-06,1.75020852783053,5,5.71000711978591
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",2.06411046557821e-06,1.78912574745565,6,5.68526706416338
"GO:0006954","inflammatory response","GO:0006954",2.89840919968612e-06,2.11900204883909,22,5.53784030050037
"GO:0009617","response to bacterium","GO:0009617",3.90372557519315e-06,1.90675475094204,11,5.40852072004436
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",5.25269971263644e-06,1.90494939890264,12,5.27961742631904
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",5.79299748672056e-06,1.87316945309182,10,5.23709665991862
"GO:0010628","positive regulation of gene expression","GO:0010628",7.08483128843365e-06,1.99257662473307,16,5.14967048717724
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",9.24636857061788e-06,2.01323749847159,17,5.03402879908794
"GO:0032496","response to lipopolysaccharide","GO:0032496",1.89760678336402e-05,1.88421102346382,12,4.72179377584308
"GO:0006955","immune response","GO:0006955",2.09500972615773e-05,1.98612941320453,15,4.67881395646531
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",2.30555822253561e-05,1.66623359375215,4,4.63722390601596
"GO:0043066","negative regulation of apoptotic process","GO:0043066",2.83926151355118e-05,1.87669336236724,12,4.5467946044232
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",3.31933538020394e-05,1.66406740343266,4,4.47894886497213
"GO:0030593","neutrophil chemotaxis","GO:0030593",4.08139938548929e-05,1.7765655823019,6,4.38919090524453
"GO:0006911","phagocytosis, engulfment","GO:0006911",4.15034194267661e-05,1.73428099312588,5,4.38191612070963
"GO:0007015","actin filament organization","GO:0007015",4.27706751603602e-05,1.73371215260072,5,4.36885389409426
"GO:0045766","positive regulation of angiogenesis","GO:0045766",4.93092857569385e-05,1.7763540281331,7,4.30707128816176
"GO:0030154","cell differentiation","GO:0030154",5.56455045409779e-05,1.83572119463946,10,4.25456991546059
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",5.56455045409779e-05,1.83572119463946,10,4.25456991546059
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",6.26019691944641e-05,1.7739905980797,7,4.20341200549822
"GO:0002250","adaptive immune response","GO:0002250",6.61791193570074e-05,1.772808883053,7,4.17927901627766
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",8.32024948114805e-05,1.65746052295822,4,4.079863651274
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000125684111462995,1.80884405898705,9,3.90071962080318
"GO:0035556","intracellular signal transduction","GO:0035556",0.000139030765087193,1.8058571140706,9,3.85688908730559
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000148226920543053,1.96097009455422,14,3.82907291389009
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000148226920543053,1.96097009455422,14,3.82907291389009
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.000187821020651289,1.81069110615143,8,3.72625580375265
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.000190193142030174,1.79926094404677,9,3.72080514687363
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.000190743861999113,1.72119766104707,5,3.71954942843366
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.000191517782930257,1.65042040441987,4,3.71779089443729
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.000201694806005177,1.46045471094205,2,3.69530528548746
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.000201694806005177,1.46045471094205,2,3.69530528548746
"GO:0048002","antigen processing and presentation of peptide antigen","GO:0048002",0.000207037637676739,1.46036033583956,2,3.68395069633312
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000216552451372319,1.64977054732402,4,3.66443689569565
"GO:0030335","positive regulation of cell migration","GO:0030335",0.000250558542097047,1.85873328438173,11,3.60109078660591
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.000368209626921377,1.85054052532229,11,3.43390486095918
"GO:0042742","defense response to bacterium","GO:0042742",0.000459462156898054,1.84617532245607,11,3.33775025299857
