"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",5.08532969129536e-11,2.23204148411752,32,10.2936808857169
"GO:0019882","antigen processing and presentation",8.99198607037594e-10,1.95318420673289,9,9.04614437454676
"GO:0007165","signal transduction",1.19326418429064e-08,2.18184151675058,27,7.92326339448735
"GO:0006954","inflammatory response",1.89348667128611e-07,2.12515025421979,23,6.72273774763704
"GO:0006955","immune response",4.0879515034364e-07,2.10749413784207,19,6.38849426500517
"GO:0009617","response to bacterium",6.20243924852883e-07,1.96750810956272,11,6.20743748084985
"GO:0045944","positive regulation of transcription by RNA polymerase II",5.0969162472762e-06,2.02521212786323,16,5.29269250269629
"GO:0045087","innate immune response",1.13171356541266e-05,2.03441452353403,17,4.94626347836126
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",1.26222637539204e-05,1.80451876252904,6,4.89886274908
"GO:0002503","peptide antigen assembly with MHC class II protein complex",1.33423285240431e-05,1.67858763129185,4,4.8747683700526
"GO:0050778","positive regulation of immune response",1.34854146816756e-05,1.7620916131581,5,4.8701356942838
"GO:0050870","positive regulation of T cell activation",1.34854146816756e-05,1.7620916131581,5,4.8701356942838
"GO:0008285","negative regulation of cell population proliferation",1.51970977764311e-05,1.9416644976685,11,4.8182393423201
"GO:0030335","positive regulation of cell migration",1.66185325374038e-05,1.97397909950392,14,4.77940732826823
"GO:0019221","cytokine-mediated signaling pathway",1.84429868229602e-05,1.9390540318206,11,4.73416874403687
"GO:0038094","Fc-gamma receptor signaling pathway",2.20026296425636e-05,1.67640538008112,4,4.65752541140476
"GO:0008284","positive regulation of cell population proliferation",4.01322972139609e-05,1.98497992154255,15,4.39650598009191
"GO:0006952","defense response",5.60888873477498e-05,1.8888144464096,9,4.25112317513624
"GO:0045893","positive regulation of DNA-templated transcription",6.53994019075104e-05,1.93096479900391,10,4.18442622337995
"GO:0006357","regulation of transcription by RNA polymerase II",6.63932912643116e-05,1.83139122291581,8,4.17787580186822
"GO:0006508","proteolysis",7.07712808389502e-05,1.88487862280008,9,4.15014294433745
"GO:0071222","cellular response to lipopolysaccharide",7.90476584583269e-05,1.92799388520518,10,4.10211099016807
"GO:0030593","neutrophil chemotaxis",0.000137828950187371,1.74972123521862,5,3.86065955176004
"GO:0010628","positive regulation of gene expression",0.000150222015844814,1.90589821396133,11,3.823266414474
"GO:0001916","positive regulation of T cell mediated cytotoxicity",0.000177656563944518,1.77976850518762,6,3.75041874183511
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",0.000177656563944518,1.77976850518762,6,3.75041874183511
"GO:0050766","positive regulation of phagocytosis",0.000179832842021815,1.74800312717146,5,3.74513099221142
"GO:0042742","defense response to bacterium",0.000189791938096887,1.81117002757009,8,3.72172223929754
"GO:0043065","positive regulation of apoptotic process",0.000189791938096887,1.81117002757009,8,3.72172223929754
"GO:0006911","phagocytosis, engulfment",0.000214995081207496,1.66331187281676,4,3.66757147603267
"GO:0006915","apoptotic process",0.000234587029786261,1.80730053957184,8,3.62969600350767
"GO:0007015","actin filament organization",0.000237588474213062,1.74548323536898,5,3.62417463148158
"GO:0007186","G protein-coupled receptor signaling pathway",0.000238188999174317,1.89741710154658,11,3.62307830040243
"GO:0006935","chemotaxis",0.000238544880501405,1.86278722576605,9,3.62242989955715
"GO:0032755","positive regulation of interleukin-6 production",0.000238544880501405,1.86278722576605,9,3.62242989955715
"GO:0032760","positive regulation of tumor necrosis factor production",0.000238544880501405,1.86278722576605,9,3.62242989955715
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",0.000239643882622593,1.66265719745354,4,3.62043365274422
"GO:2000406","positive regulation of T cell migration",0.000239643882622593,1.66265719745354,4,3.62043365274422
"GO:0001525","angiogenesis",0.000254341727031419,1.77562372525006,6,3.59458238409135
"GO:0043066","negative regulation of apoptotic process",0.000320329539797564,1.85943637250414,9,3.49440301019807
"GO:0001516","prostaglandin biosynthetic process",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0002286","T cell activation involved in immune response",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0002606","positive regulation of dendritic cell antigen processing and presentation",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0002821","positive regulation of adaptive immune response",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0002830","positive regulation of type 2 immune response",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0002906","negative regulation of mature B cell apoptotic process",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0006457","protein folding",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0030336","negative regulation of cell migration",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0030890","positive regulation of B cell proliferation",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0045059","positive thymic T cell selection",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0045060","negative thymic T cell selection",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0045581","negative regulation of T cell differentiation",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0045657","positive regulation of monocyte differentiation",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0046598","positive regulation of viral entry into host cell",0.000403362507573808,1.32913802747898,1,3.39430447179138
"GO:0048146","positive regulation of fibroblast proliferation",0.000403362507573808,1.32913802747898,1,3.39430447179138
