"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",5.67219574492497e-12,2.22829661133211,32,11.2462487902591
"GO:0007165","signal transduction","GO:0007165",6.12938724097199e-10,2.1730352711158,27,9.21258294002745
"GO:0019882","antigen processing and presentation","GO:0019882",9.00568555826747e-10,1.90608987515166,9,9.04548322089667
"GO:0006955","immune response","GO:0006955",1.09829106557832e-09,2.08303320114788,19,8.9592825493004
"GO:0006954","inflammatory response","GO:0006954",2.22901195053676e-09,2.12488330078679,23,8.65188760310421
"GO:0009617","response to bacterium","GO:0009617",2.5381803639088e-07,1.93578951465673,11,6.59547752003992
"GO:0045087","innate immune response","GO:0045087",7.35786274196301e-07,2.02525716302022,17,6.13324831802216
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",1.7879057557958e-06,1.98851774238121,15,5.74765537749567
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",1.86471690130705e-06,2.02082645356626,16,5.72938709282721
"GO:0050778","positive regulation of immune response","GO:0050778",2.90630969548922e-06,1.69908967411896,5,5.53665810928242
"GO:0050870","positive regulation of T cell activation","GO:0050870",2.90630969548922e-06,1.69908967411896,5,5.53665810928242
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",3.63702591621107e-06,1.91036253284022,11,5.43925360429933
"GO:0030335","positive regulation of cell migration","GO:0030335",4.04168414695859e-06,1.96257769992546,14,5.39343762911681
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",4.20983588516862e-06,1.90779415083855,11,5.37573483422488
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",6.65392528213009e-06,1.88003765253399,10,5.1769220801941
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",8.09892250678764e-06,1.73717127445164,6,5.09157275648967
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",8.11097840435409e-06,1.87714509343249,10,5.0909267549155
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",1.47034359380721e-05,1.62319221519385,4,4.83258116630083
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",1.57813921309202e-05,1.79568169151062,7,4.80185468882563
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",2.7606542021176e-05,1.62108198090472,4,4.55898798941919
"GO:0030593","neutrophil chemotaxis","GO:0030593",3.80876808344649e-05,1.68716158748318,5,4.41921547080081
"GO:0010628","positive regulation of gene expression","GO:0010628",4.32600566002881e-05,1.87517284460357,11,4.3639129166774
"GO:0050766","positive regulation of phagocytosis","GO:0050766",4.57690642830793e-05,1.68550490878377,5,4.33942796633279
"GO:0006952","defense response","GO:0006952",4.66634384254583e-05,1.84327217060785,9,4.3310232630951
"GO:0007015","actin filament organization","GO:0007015",6.04917692897233e-05,1.68307511335796,5,4.21830371287194
"GO:0006508","proteolysis","GO:0006508",6.23005150891938e-05,1.83943124587243,9,4.20550836265913
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",6.58043517645228e-05,1.86682845791196,11,4.18174538473218
"GO:0032722","positive regulation of chemokine production","GO:0032722",8.11421375417712e-05,1.78063254311246,7,4.09075355578416
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.000107455275242591,1.71334473577462,6,3.96877225906959
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.000107455275242591,1.71334473577462,6,3.96877225906959
"GO:0016192","vesicle-mediated transport","GO:0016192",0.000130537657600667,1.6772215152867,5,3.88426418465546
"GO:0001525","angiogenesis","GO:0001525",0.00013674932393399,1.70935464556555,6,3.86407481206922
"GO:0002250","adaptive immune response","GO:0002250",0.000140966047919332,1.77312837225046,7,3.85088547583294
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000145455819168006,1.67589617232717,5,3.8372688994977
"GO:0030154","cell differentiation","GO:0030154",0.000165832473999171,1.83098991124773,10,3.78033042012064
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000197504011820915,1.77728796824561,8,3.7044240782958
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000221836918117301,1.60842057516998,4,3.65396617685044
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.000234963214064757,1.60778750488324,4,3.62900012572495
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000234963214064757,1.60778750488324,4,3.62900012572495
"GO:0006935","chemotaxis","GO:0006935",0.000297301655725312,1.81787250703491,9,3.52680267212583
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000297301655725312,1.81787250703491,9,3.52680267212583
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000297301655725312,1.81787250703491,9,3.52680267212583
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.000334175581866581,1.81460244809545,9,3.47602528708186
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.000341103004635118,1.53315662387749,3,3.4671144550555
"GO:0042554","superoxide anion generation","GO:0042554",0.000362256268019576,1.53285764637674,3,3.440984091315
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000415139515408262,1.53235935054214,3,3.38180592596387
"GO:0042742","defense response to bacterium","GO:0042742",0.000454513845659101,1.75766415071182,8,3.34245288251515
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.000454513845659101,1.75766415071182,8,3.34245288251515
"GO:0042127","regulation of cell population proliferation","GO:0042127",0.000464591332398373,1.75883471346569,7,3.33292889683168
"GO:0010977","negative regulation of neuron projection development","GO:0010977",0.000473425430447479,1.60082373172914,4,3.32474841728488
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","GO:0002476",0.000507041270505532,1.65988161156616,5,3.29495668993026
