"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",4.233313884451e-13,2.23859963981028,33,12.3733195290145
"GO:0007165","signal transduction",8.08010368843088e-10,2.19208881757381,30,9.09258306607883
"GO:0006954","inflammatory response",2.38141943190745e-09,2.13948263485926,25,8.62316410693841
"GO:0045087","innate immune response",1.16211936133815e-08,2.09746046199275,20,7.93474926324665
"GO:0006955","immune response",1.5140664871892e-08,2.11523206006459,21,7.81985505324718
"GO:0019882","antigen processing and presentation",1.78778208992211e-08,1.87533978377844,8,7.74768541781736
"GO:0009617","response to bacterium",2.04937401964403e-08,1.99660069962155,12,7.68837877373931
"GO:0045944","positive regulation of transcription by RNA polymerase II",5.23429204388595e-08,2.0433508657621,16,7.28114204984482
"GO:0008284","positive regulation of cell population proliferation",8.3732959343446e-08,2.05907135729664,18,7.07710355940897
"GO:0019221","cytokine-mediated signaling pathway",5.80593365090691e-07,1.96772588520484,12,6.2361279315098
"GO:0010628","positive regulation of gene expression",8.26665177732739e-07,2.00998322557819,16,6.08267035611486
"GO:0071222","cellular response to lipopolysaccharide",9.45689671411199e-07,2.01367124784789,15,6.02425135419478
"GO:0030335","positive regulation of cell migration",1.50974831165406e-06,1.97998921200958,14,5.82109544738928
"GO:0050778","positive regulation of immune response",1.62320099700076e-06,1.69005885134576,5,5.78962769922274
"GO:0050870","positive regulation of T cell activation",1.62320099700076e-06,1.69005885134576,5,5.78962769922274
"GO:0007186","G protein-coupled receptor signaling pathway",2.06277606302165e-06,1.97536719374302,14,5.68554791689976
"GO:0050830","defense response to Gram-positive bacterium",2.127399845652e-06,1.97032735995764,13,5.67215087660391
"GO:0030593","neutrophil chemotaxis",2.24664686904464e-06,1.75955119539792,6,5.64846518520328
"GO:0006952","defense response",4.37114355095402e-06,1.94113090382811,12,5.35940493078706
"GO:0032760","positive regulation of tumor necrosis factor production",4.92195113231312e-06,1.95767853601428,13,5.30786270251296
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",5.27117389185918e-06,1.75517420237454,6,5.27809265651712
"GO:0045893","positive regulation of DNA-templated transcription",6.89070072242261e-06,1.95109245073785,13,5.16173661199547
"GO:0008285","negative regulation of cell population proliferation",7.16222150837872e-06,1.88164799854449,10,5.14495225154822
"GO:0043066","negative regulation of apoptotic process",7.25528474566393e-06,1.950270230009,13,5.13934553828567
"GO:0042742","defense response to bacterium",8.38157626699472e-06,1.90344314701554,11,5.07667429882998
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",9.87861393144774e-06,1.81136050514209,7,5.00530398700675
"GO:0032755","positive regulation of interleukin-6 production",1.00133484520516e-05,1.89884814275034,11,4.99942067066473
