"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.00127059305781883,1.60264268564126,4,2.89599352186335
"GO:0006954","inflammatory response","GO:0006954",0.00156156344229552,1.59946283904277,4,2.80644036681056
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.00218229170693336,1.53400520994995,3,2.66108719772384
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00316448975853885,1.67135524406511,6,2.49969630552499
"GO:0009611","response to wounding","GO:0009611",0.00389280196424804,1.42383221448345,2,2.40973768927488
"GO:0007015","actin filament organization","GO:0007015",0.00488229991531084,1.42104875518236,2,2.31137554577835
"GO:0007596","blood coagulation","GO:0007596",0.00611310577323709,1.41863642378808,2,2.21373808967795
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0048711","positive regulation of astrocyte differentiation","GO:0048711",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0071466","cellular response to xenobiotic stimulus","GO:0071466",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00668748329740515,1.41733747611424,2,2.17473728965914
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00690099764774989,1.64406224150842,6,2.16108812062609
"GO:0007165","signal transduction","GO:0007165",0.00691277409424775,1.62266961710485,5,2.16034763539656
"GO:0006955","immune response","GO:0006955",0.00942975513359722,1.56459052134595,4,2.02549958462304
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.00942975513359722,1.56459052134595,4,2.02549958462304
"GO:0006935","chemotaxis","GO:0006935",0.0100318670263275,1.51532722035512,3,1.99861823310376
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.0121027074505353,1.55780684860249,4,1.91711746445236
"GO:0006811","monoatomic ion transport","GO:0006811",0.0125331673868066,1.40852318832746,2,1.90193916006897
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.0126040743717229,1.60129246788293,5,1.89948904288827
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.0126948834463384,1.40787371449054,2,1.89637128209585
"GO:0032743","positive regulation of interleukin-2 production","GO:0032743",0.0126948834463384,1.40787371449054,2,1.89637128209585
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.0126948834463384,1.40787371449054,2,1.89637128209585
"GO:0007399","nervous system development","GO:0007399",0.0160909258385448,1.40286348774858,2,1.79341896677709
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.0160909258385448,1.40286348774858,2,1.79341896677709
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.0170517900151816,1.40008002844749,2,1.76823002412539
"GO:0070098","chemokine-mediated signaling pathway","GO:0070098",0.0170517900151816,1.40008002844749,2,1.76823002412539
"GO:0030154","cell differentiation","GO:0030154",0.0191699715165165,1.54317955424942,4,1.71737853241296
"GO:0010628","positive regulation of gene expression","GO:0010628",0.0250232975419887,1.53236807581453,4,1.60165546003329
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.0250232975419887,1.53236807581453,4,1.60165546003329
"GO:0007179","transforming growth factor beta receptor signaling pathway","GO:0007179",0.0262945945891435,1.38514213019832,2,1.58013352076439
"GO:0001889","liver development","GO:0001889",0.0342346753395301,1.37363716508715,2,1.46553378635717
"GO:0007155","cell adhesion","GO:0007155",0.0342346753395301,1.37363716508715,2,1.46553378635717
"GO:0007156","homophilic cell-cell adhesion","GO:0007156",0.0342346753395301,1.37363716508715,2,1.46553378635717
"GO:0099560","synaptic membrane adhesion","GO:0099560",0.0342346753395301,1.37363716508715,2,1.46553378635717
"GO:0048266","behavioral response to pain","GO:0048266",0.0354909590811454,1.36955475811222,2,1.44988226444443
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.0354909590811454,1.36955475811222,2,1.44988226444443
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.0425910115838154,1.47114272884045,3,1.3706820448276
