"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",1.73097608974319e-13,2.25261188359633,37,12.7617089310641
"GO:0006954","inflammatory response",3.20531808763959e-10,2.1449075413934,27,9.49412886572336
"GO:0007165","signal transduction",7.20316433369954e-10,2.19240312131617,31,9.14247667707326
"GO:0045087","innate immune response",4.63047957817679e-09,2.12397554331628,23,8.33437402682875
"GO:0006955","immune response",3.89506999113956e-08,2.09949022991042,21,7.40948473401386
"GO:0009617","response to bacterium",6.0118029794397e-08,2.03319911839605,14,7.22099526067732
"GO:0019882","antigen processing and presentation",1.61941300788729e-07,1.89785836702093,8,6.79064237658819
"GO:0019221","cytokine-mediated signaling pathway",8.6931558143974e-07,1.91157201004167,11,6.06082253609707
"GO:0030593","neutrophil chemotaxis",1.37979157668851e-06,1.83507001538035,7,5.86018651064965
"GO:0050778","positive regulation of immune response",1.6034484886163e-06,1.75432462675132,5,5.79494498738445
"GO:0050870","positive regulation of T cell activation",1.6034484886163e-06,1.75432462675132,5,5.79494498738445
"GO:0007186","G protein-coupled receptor signaling pathway",1.90841316834746e-06,1.98554163727195,15,5.71932759540335
"GO:0008284","positive regulation of cell population proliferation",2.62903878550122e-06,2.03360758194744,17,5.58020300681684
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",2.85754610999443e-06,1.817078596916,6,5.54400675300457
"GO:0045944","positive regulation of transcription by RNA polymerase II",4.37630355364353e-06,2.0275816650957,16,5.35889256165175
"GO:0010628","positive regulation of gene expression",5.79909011714165e-06,2.02241623527647,17,5.23664014231693
"GO:0050830","defense response to Gram-positive bacterium",7.91703860134532e-06,1.95572498982961,13,5.10143723755234
"GO:0042742","defense response to bacterium",1.25295579490784e-05,1.87466470739626,11,4.90206425092624
"GO:0071222","cellular response to lipopolysaccharide",1.2699793333018e-05,2.01467550055705,16,4.89620334637161
"GO:0030335","positive regulation of cell migration",1.49526894243941e-05,1.97044033352067,14,4.82528068713034
"GO:0032496","response to lipopolysaccharide",1.91449235702505e-05,1.96624637999756,14,4.71794636308933
"GO:0032760","positive regulation of tumor necrosis factor production",2.0262856006085e-05,1.96584060582545,14,4.69329934178587
"GO:0045893","positive regulation of DNA-templated transcription",2.06637120324297e-05,1.93663263319753,13,4.6847916590801
"GO:0043066","negative regulation of apoptotic process",2.23505206306141e-05,1.93581650606088,13,4.65071235600545
"GO:0000122","negative regulation of transcription by RNA polymerase II",2.49827034177709e-05,1.86023132398845,11,4.60236056772756
"GO:0031640","killing of cells of another organism",3.18819432582262e-05,1.73767542007518,5,4.49645521548784
"GO:2000406","positive regulation of T cell migration",3.37857626820293e-05,1.73699120610219,5,4.47126627283615
"GO:0045766","positive regulation of angiogenesis",3.50933663034535e-05,1.86048043387626,8,4.45477497043113
"GO:0007166","cell surface receptor signaling pathway",7.59967265463489e-05,1.7949473795374,7,4.11920511394914
"GO:0006952","defense response",7.74977043709087e-05,1.91874276379508,12,4.11071116192999
"GO:0032722","positive regulation of chemokine production",8.31124876449282e-05,1.85020769066101,8,4.08033371860052
"GO:0002503","peptide antigen assembly with MHC class II protein complex",9.8614868181722e-05,1.66536990824338,4,4.00605760146367
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.000102747077931833,1.78895776272495,7,3.9882305203631
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",0.000107296630025552,1.79983383124064,6,3.96941391814859
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.000123660936744831,1.56940424795174,3,3.9077674679975
"GO:0002250","adaptive immune response",0.000124857041948819,1.84241030725666,8,3.90358695837255
"GO:0098586","cellular response to virus",0.000125082117299726,1.72524553289916,5,3.90280477594362
"GO:0008285","negative regulation of cell population proliferation",0.000126649248292582,1.87193312274085,10,3.89739738355486
"GO:0010759","positive regulation of macrophage chemotaxis",0.000154135822843492,1.56858812509789,3,3.81209641478431
"GO:0038094","Fc-gamma receptor signaling pathway",0.000171785244960598,1.66320484075996,4,3.76501414147908
"GO:0006935","chemotaxis",0.000179107745653399,1.90287296085644,12,3.74688563234309
"GO:0032755","positive regulation of interleukin-6 production",0.000179107745653399,1.90287296085644,12,3.74688563234309
"GO:0016525","negative regulation of angiogenesis",0.000182742958272445,1.72011392810172,5,3.73815934893831
"GO:0001788","antibody-dependent cellular cytotoxicity",0.00018575272321218,1.56736394081712,3,3.73106481058298
"GO:0001798","positive regulation of type IIa hypersensitivity",0.00018575272321218,1.56736394081712,3,3.73106481058298
"GO:0007155","cell adhesion",0.000204895572417375,1.77848989118265,7,3.68846742615458
"GO:0001516","prostaglandin biosynthetic process",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0002286","T cell activation involved in immune response",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0002606","positive regulation of dendritic cell antigen processing and presentation",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0002821","positive regulation of adaptive immune response",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0002830","positive regulation of type 2 immune response",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0002906","negative regulation of mature B cell apoptotic process",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0030336","negative regulation of cell migration",0.000206451567821556,1.3467160071971,1,3.68518181468482
"GO:0030890","positive regulation of B cell proliferation",0.000206451567821556,1.3467160071971,1,3.68518181468482
