"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",1.09289395308577e-14,2.32897730122217,37,13.9614219769561
"GO:0007165","signal transduction","GO:0007165",4.24199307305804e-10,2.23518796914503,31,9.37243004499794
"GO:0006954","inflammatory response","GO:0006954",1.6967583289413e-09,2.21158148850626,27,8.77038001029364
"GO:0009617","response to bacterium","GO:0009617",1.24339854286031e-08,2.04849248475724,14,7.9053896459176
"GO:0045087","innate immune response","GO:0045087",2.64384402427125e-08,2.19191626903576,23,7.57776416998687
"GO:0019882","antigen processing and presentation","GO:0019882",1.09151332318775e-07,1.91482073458484,8,6.96197095885396
"GO:0006955","immune response","GO:0006955",1.20937967334984e-07,2.13970906231295,21,6.91743733507371
"GO:0030593","neutrophil chemotaxis","GO:0030593",3.84464707726486e-07,1.86050271262645,7,6.41514352047401
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",4.80757730910026e-07,2.04605259573319,16,6.31807372328383
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",1.18211485103338e-06,2.03302885818917,16,5.92734032654538
"GO:0050778","positive regulation of immune response","GO:0050778",2.0649178525707e-06,1.72065053838955,5,5.68509722094941
"GO:0050870","positive regulation of T cell activation","GO:0050870",2.0649178525707e-06,1.72065053838955,5,5.68509722094941
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",4.11591321256475e-06,1.82844209663885,6,5.38553379127151
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",5.90909784331652e-06,2.05778909139747,17,5.2284788188779
"GO:0030335","positive regulation of cell migration","GO:0030335",7.97594513855771e-06,1.98526163933413,14,5.09821784192102
"GO:0032496","response to lipopolysaccharide","GO:0032496",9.98784631911628e-06,1.98103613962986,14,5.00052814866683
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",1.01315538765159e-05,1.98062731329576,14,4.9943239417825
"GO:0010628","positive regulation of gene expression","GO:0010628",1.38252864115629e-05,2.04646466907431,17,4.8593258628679
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",2.25545043626816e-05,1.9626697693668,11,4.6467667121228
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",2.61427769515831e-05,2.00154229400027,15,4.58264828245196
