Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Nfia	Arhgap25	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Arhgef19	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Itm2c	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Retnlg	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Prkcd	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Fgr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Lcn2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Cd180	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Elf4	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Ptafr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Ncf2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Plaur	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Csf2rb2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Grn	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Ccl2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfia	Csf2rb	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Arhgap25	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Arhgef19	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Itm2c	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Retnlg	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Prkcd	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Fgr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Lcn2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Cd180	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Elf4	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Ptafr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Ncf2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Plaur	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Csf2rb2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Grn	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Ccl2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Csf2rb	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Arhgap25	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Arhgef19	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Itm2c	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Retnlg	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Prkcd	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Fgr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Lcn2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Cd180	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Elf4	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Ptafr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Ncf2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Plaur	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Csf2rb2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Grn	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Ccl2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Csf2rb	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
