"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0043524","negative regulation of neuron apoptotic process","GO:0043524",0.000871918127807111,1.45948279621745,2,3.05952429294691
"GO:0009617","response to bacterium","GO:0009617",0.000925617788436449,1.53642486629729,3,3.0335683077452
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000925617788436449,1.53642486629729,3,3.0335683077452
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000925617788436449,1.53642486629729,3,3.0335683077452
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.00228048714251257,1.52762796183083,3,2.64197237198765
"GO:0006954","inflammatory response","GO:0006954",0.00379214154890483,1.57522336205585,4,2.42111546016283
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.00379214154890483,1.57522336205585,4,2.42111546016283
"GO:0007165","signal transduction","GO:0007165",0.00386834181320765,1.62878254956662,5,2.41247515790052
"GO:0002376","immune system process","GO:0002376",0.00534925066437832,1.56309139368669,4,2.27170705071114
"GO:0030335","positive regulation of cell migration","GO:0030335",0.00534925066437832,1.56309139368669,4,2.27170705071114
"GO:0045087","innate immune response","GO:0045087",0.00534925066437832,1.56309139368669,4,2.27170705071114
"GO:0002687","positive regulation of leukocyte migration","GO:0002687",0.00804731135450721,1.44349753422388,2,2.09434919527693
"GO:0006955","immune response","GO:0006955",0.00804731135450721,1.44349753422388,2,2.09434919527693
"GO:0010976","positive regulation of neuron projection development","GO:0010976",0.00804731135450721,1.44349753422388,2,2.09434919527693
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00804731135450721,1.44349753422388,2,2.09434919527693
"GO:0071346","cellular response to type II interferon","GO:0071346",0.00804731135450721,1.44349753422388,2,2.09434919527693
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.00949638562839431,1.50214727303143,3,2.02244165790317
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.0107163121164125,1.43725476918497,2,1.96995464589794
"GO:0010595","positive regulation of endothelial cell migration","GO:0010595",0.0107163121164125,1.43725476918497,2,1.96995464589794
"GO:0071347","cellular response to interleukin-1","GO:0071347",0.0107163121164125,1.43725476918497,2,1.96995464589794
"GO:0071354","cellular response to interleukin-6","GO:0071354",0.0107163121164125,1.43725476918497,2,1.96995464589794
"GO:0071356","cellular response to tumor necrosis factor","GO:0071356",0.0107163121164125,1.43725476918497,2,1.96995464589794
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.0180868663789466,1.48354232565409,3,1.74263666985754
"GO:0016064","immunoglobulin mediated immune response","GO:0016064",0.0278378437988323,1.46716188285447,3,1.55536440636513
"GO:0032956","regulation of actin cytoskeleton organization","GO:0032956",0.0278378437988323,1.46716188285447,3,1.55536440636513
"GO:0050728","negative regulation of inflammatory response","GO:0050728",0.0278378437988323,1.46716188285447,3,1.55536440636513
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","GO:0007259",0.0362970051792608,1.40518965784876,2,1.44012920658308
"GO:0038043","interleukin-5-mediated signaling pathway","GO:0038043",0.0362970051792608,1.40518965784876,2,1.44012920658308
"GO:0038156","interleukin-3-mediated signaling pathway","GO:0038156",0.0362970051792608,1.40518965784876,2,1.44012920658308
"GO:0038157","granulocyte-macrophage colony-stimulating factor signaling pathway","GO:0038157",0.0362970051792608,1.40518965784876,2,1.44012920658308
"GO:0070665","positive regulation of leukocyte proliferation","GO:0070665",0.0362970051792608,1.40518965784876,2,1.44012920658308
