Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Stat6	Nfkbia	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Cxcl10	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Nfkbiz	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Lsp1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Ccl2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Rac2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	H2-Aa	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Cadm1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Vasp	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Nub1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Csf2rb2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Junb	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Kcnk6	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Bcl2a1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tnfaip2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Plcb2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Fgr	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Prkcd	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	H2-Ab1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	B2m	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Socs3	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Elf4	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Csf2rb	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Slco2b1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Spint1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Laptm5	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Stat1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
