"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",1.74798813976523e-13,2.31283663627104,39,12.7574615184133
"GO:0019882","antigen processing and presentation","GO:0019882",3.37870598398831e-10,1.94921771392133,10,9.47124959901738
"GO:0007165","signal transduction","GO:0007165",1.34439935001303e-08,2.20613881024373,29,7.87147170617416
"GO:0006955","immune response","GO:0006955",4.42525698415725e-08,2.11220823993146,20,7.35406150382248
"GO:0009617","response to bacterium","GO:0009617",6.83208250608396e-08,2.03118582686983,13,7.16544689762926
"GO:0006954","inflammatory response","GO:0006954",7.89750744379939e-08,2.15105546280008,25,7.10250995607815
"GO:0045087","innate immune response","GO:0045087",1.41155946135969e-07,2.13433243219668,23,6.85030082265593
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",2.47881994597812e-06,2.00369730964272,13,5.60575501793087
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",8.11484811209648e-06,2.03943782850201,18,5.09071960457413
"GO:0030593","neutrophil chemotaxis","GO:0030593",9.64140369754037e-06,1.80423494673027,7,5.01585973230914
"GO:0030335","positive regulation of cell migration","GO:0030335",1.24044905549931e-05,1.99675122581929,14,4.9064210672401
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",1.56077828885866e-05,1.9925012712808,14,4.80665878480681
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",2.03730764248728e-05,2.02511752470823,16,4.69094338565548
"GO:0006952","defense response","GO:0006952",2.31928393918141e-05,1.89112507695367,10,4.63464607944695
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",4.36776461844881e-05,1.95534078829201,12,4.35974077407238
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",4.99958432114686e-05,1.93188171086088,11,4.30106610257132
"GO:0045766","positive regulation of angiogenesis","GO:0045766",6.0971311906286e-05,1.79218781629256,7,4.21487446025886
"GO:0050778","positive regulation of immune response","GO:0050778",6.5222896749822e-05,1.7140310030177,5,4.18559991674555
"GO:0050870","positive regulation of T cell activation","GO:0050870",6.5222896749822e-05,1.7140310030177,5,4.18559991674555
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",6.78679929075808e-05,1.6360200670534,4,4.1683349942158
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000121238508978598,1.94804653702117,13,3.91635941333336
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000121897500926723,1.63389315588978,4,3.91400519794896
"GO:0006935","chemotaxis","GO:0006935",0.000134020613258571,1.86506601660713,10,3.87282839912802
"GO:0048002","antigen processing and presentation of peptide antigen","GO:0048002",0.000145162146406431,1.45323021397725,2,3.83814661882931
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",0.000227210696870632,1.78053547569868,7,3.64357122629494
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.000235841868566202,1.75151090535972,6,3.62737909290866
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000236720962199437,1.9078581483361,11,3.62576328256753
"GO:0048260","positive regulation of receptor-mediated endocytosis","GO:0048260",0.000240125818608928,1.45182149915176,2,3.61956114158164
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.000260062670428053,1.9333207929055,12,3.5849219822547
