"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0007165","signal transduction","GO:0007165",5.2063199880503e-06,2.04977506171637,18,5.28346914303166
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",6.90238418058897e-05,1.85666357121297,9,4.16100087192566
"GO:0006954","inflammatory response","GO:0006954",8.30365774109862e-05,1.94932038443635,13,4.08073055981059
"GO:0002376","immune system process","GO:0002376",9.51295230824117e-05,1.94151348733179,12,4.021684680518
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.000119624386817641,1.9017952814384,11,3.92218027535844
"GO:0030335","positive regulation of cell migration","GO:0030335",0.000120296408364589,1.83923011045041,9,3.91974733900035
"GO:0007015","actin filament organization","GO:0007015",0.000165572750123912,1.70069888121571,5,3.78101113762734
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000284554441423955,1.86579059790711,10,3.54583463138455
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000596468756270493,1.7401579684059,6,3.22441230024962
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.000681236947299864,1.68607905357352,5,3.1667018058455
"GO:0016192","vesicle-mediated transport","GO:0016192",0.000793709974552909,1.62017956542813,4,3.1003381618815
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.000858645231709991,1.43164518998694,2,3.06618623749105
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.000858645231709991,1.43164518998694,2,3.06618623749105
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.00101645978640197,1.52614023014932,3,2.99290979842209
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.0010314522474063,1.43108849062596,2,2.98655087352505
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.00106619965205963,1.73367520854488,6,2.97216146353738
"GO:0009617","response to bacterium","GO:0009617",0.00121117367907055,1.6775973215063,5,2.91679357572266
"GO:0030198","extracellular matrix organization","GO:0030198",0.00122397017620848,1.43016065835766,2,2.91222916427043
"GO:0042554","superoxide anion generation","GO:0042554",0.00146712473391425,1.6118578213149,4,2.83353296117526
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.0016430575548693,1.67134762419361,5,2.78434722334257
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.00173483370488397,1.42886169318204,2,2.76074214883425
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.00173483370488397,1.42886169318204,2,2.76074214883425
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.00173483370488397,1.42886169318204,2,2.76074214883425
"GO:0050776","regulation of immune response","GO:0050776",0.00173483370488397,1.42886169318204,2,2.76074214883425
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","GO:0097192",0.00184222340595823,1.52123463638933,3,2.73465770416544
"GO:0045892","negative regulation of DNA-templated transcription","GO:0045892",0.00194295157142701,1.66610234252046,5,2.71153802416817
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.00206540130900145,1.72140427023654,6,2.68499555206967
"GO:0006811","monoatomic ion transport","GO:0006811",0.0020832368834434,1.51983303817219,3,2.68126134391541
"GO:0032715","negative regulation of interleukin-6 production","GO:0032715",0.00216055495272893,1.4281194273674,2,2.66543468313038
"GO:0045087","innate immune response","GO:0045087",0.00230013717417306,1.75054653570416,7,2.63824626302155
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.00240548496707408,1.74682395008501,7,2.61879735284879
"GO:0006897","endocytosis","GO:0006897",0.00246105797589099,1.65951783999459,5,2.60887815536954
"GO:0010628","positive regulation of gene expression","GO:0010628",0.00251083284205669,1.74418433700019,7,2.60018219934954
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.00270592234905437,1.42663489573812,2,2.56768467036259
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.00270592234905437,1.42663489573812,2,2.56768467036259
"GO:0035556","intracellular signal transduction","GO:0035556",0.00279176083930541,1.74094481185064,7,2.55412178899256
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00296734103556279,1.73722535704931,7,2.5276325374878
"GO:0006915","apoptotic process","GO:0006915",0.00296734103556279,1.73722535704931,7,2.5276325374878
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.00296734103556279,1.73722535704931,7,2.5276325374878
"GO:0001525","angiogenesis","GO:0001525",0.00304467297108918,1.59969527222635,4,2.5164593481801
"GO:0010595","positive regulation of endothelial cell migration","GO:0010595",0.00304467297108918,1.59969527222635,4,2.5164593481801
"GO:0016477","cell migration","GO:0016477",0.00304467297108918,1.59969527222635,4,2.5164593481801
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00315458896282525,1.5146271019371,3,2.50105722051056
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.00315458896282525,1.5146271019371,3,2.50105722051056
"GO:0007155","cell adhesion","GO:0007155",0.00331223698195513,1.65226372704236,5,2.47987859813308
"GO:0045730","respiratory burst","GO:0045730",0.00335298824596084,1.51252470461139,3,2.4745679690058
"GO:0055085","transmembrane transport","GO:0055085",0.00343234799904339,1.51192401966118,3,2.4644086863238
"GO:0120162","positive regulation of cold-induced thermogenesis","GO:0120162",0.00343234799904339,1.51192401966118,3,2.4644086863238
"GO:0070372","regulation of ERK1 and ERK2 cascade","GO:0070372",0.00363074746826309,1.51012196481058,3,2.44000395680284
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.00414138905300925,1.70508160701506,6,2.38285396881219
"GO:0006958","complement activation, classical pathway","GO:0006958",0.0044234906812282,1.42227408407711,2,2.3542348833005
"GO:0098883","synapse pruning","GO:0098883",0.0044234906812282,1.42227408407711,2,2.3542348833005
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00449534565025916,1.70137717280877,6,2.34723690944157
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.00516760919725528,1.41986172017953,2,2.28671033748455
"GO:0030217","T cell differentiation","GO:0030217",0.00516760919725528,1.41986172017953,2,2.28671033748455
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00534484362868328,1.69848308358511,6,2.27206499619765
"GO:0006935","chemotaxis","GO:0006935",0.00534484362868328,1.69848308358511,6,2.27206499619765
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",0.00534484362868328,1.69848308358511,6,2.27206499619765
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00632513122448156,1.41735657305512,2,2.19893045995814
"GO:0045687","positive regulation of glial cell differentiation","GO:0045687",0.00632513122448156,1.41735657305512,2,2.19893045995814
"GO:0046330","positive regulation of JNK cascade","GO:0046330",0.00632513122448156,1.41735657305512,2,2.19893045995814
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00632513122448156,1.41735657305512,2,2.19893045995814
"GO:2000178","negative regulation of neural precursor cell proliferation","GO:2000178",0.00632513122448156,1.41735657305512,2,2.19893045995814
"GO:0006955","immune response","GO:0006955",0.00713277036294554,1.57483672891378,4,2.14674175771364
"GO:0043122","regulation of canonical NF-kappaB signal transduction","GO:0043122",0.00748265637216017,1.41475864270388,2,2.12594419852965
"GO:0001934","positive regulation of protein phosphorylation","GO:0001934",0.00764801727966525,1.41438750979656,2,2.11645113950094
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.00764801727966525,1.41438750979656,2,2.11645113950094
"GO:0010629","negative regulation of gene expression","GO:0010629",0.00764801727966525,1.41438750979656,2,2.11645113950094
"GO:0042102","positive regulation of T cell proliferation","GO:0042102",0.00764801727966525,1.41438750979656,2,2.11645113950094
"GO:0045429","positive regulation of nitric oxide biosynthetic process","GO:0045429",0.00764801727966525,1.41438750979656,2,2.11645113950094
"GO:0008283","cell population proliferation","GO:0008283",0.00795862897389753,1.56800863117985,4,2.09916174135215
"GO:0030154","cell differentiation","GO:0030154",0.00816205991666071,1.68540180029413,6,2.08820022144959
"GO:0001889","liver development","GO:0001889",0.00825613930897618,1.56640829577346,4,2.0832229876392
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.00825613930897618,1.56534140550253,4,2.0832229876392
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.00825613930897618,1.56534140550253,4,2.0832229876392
