"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",1.59439246184725e-07,2.1504113896147,23,6.79740476761031
"GO:0007165","signal transduction",7.31901081633058e-07,2.13418646159906,23,6.13554761102337
"GO:0006954","inflammatory response",1.64278439212759e-06,2.04492229645568,18,5.78441943197194
"GO:0045944","positive regulation of transcription by RNA polymerase II",2.22186019437153e-06,1.93496008299804,12,5.6532832715532
"GO:0007186","G protein-coupled receptor signaling pathway",1.01993732740894e-05,1.91350002356219,12,4.99142651372504
"GO:0045087","innate immune response",2.11019095605742e-05,1.9537601299408,14,4.67567824261245
"GO:0019221","cytokine-mediated signaling pathway",2.32145921541707e-05,1.90649842318335,10,4.63423894183839
"GO:0016525","negative regulation of angiogenesis",3.67314752498625e-05,1.54809094006878,3,4.43496162869232
"GO:0006955","immune response",4.64717730563657e-05,1.93324304088784,13,4.33281075739189
"GO:0009617","response to bacterium",6.30277327209594e-05,1.88998852156351,9,4.2004683153476
"GO:0045766","positive regulation of angiogenesis",7.25652522718328e-05,1.69242242066013,5,4.13927129058244
"GO:0050830","defense response to Gram-positive bacterium",9.4166279135267e-05,1.81083782740873,8,4.02610458985371
"GO:0019882","antigen processing and presentation",9.5289601395217e-05,1.62209986421061,4,4.02095448974025
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",9.5289601395217e-05,1.62209986421061,4,4.02095448974025
"GO:0050870","positive regulation of T cell activation",9.5289601395217e-05,1.62209986421061,4,4.02095448974025
"GO:0001516","prostaglandin biosynthetic process",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0002286","T cell activation involved in immune response",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0002606","positive regulation of dendritic cell antigen processing and presentation",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0002821","positive regulation of adaptive immune response",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0002830","positive regulation of type 2 immune response",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0002906","negative regulation of mature B cell apoptotic process",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0006457","protein folding",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0030336","negative regulation of cell migration",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0030890","positive regulation of B cell proliferation",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0045059","positive thymic T cell selection",0.000169990145809843,1.33387546182347,1,3.76957625358908
"GO:0045060","negative thymic T cell selection",0.000169990145809843,1.33387546182347,1,3.76957625358908
