"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",6.95534634244879e-09,2.11686660957643,23,8.15768123937872
"GO:0007165","signal transduction","GO:0007165",2.9327859921419e-08,2.10089477808179,23,7.53271962669651
"GO:0006954","inflammatory response","GO:0006954",8.04555255937399e-07,2.01904728512585,18,6.09444412369095
"GO:0009617","response to bacterium","GO:0009617",1.37918703061268e-06,1.88161907919219,9,5.86037683545195
"GO:0045087","innate immune response","GO:0045087",4.12383698512918e-06,1.96901672143351,14,5.38469851066741
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",1.34088154794202e-05,1.87804105399854,10,4.8726095855692
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",1.6983881278859e-05,1.92823710174652,12,4.76996305464732
"GO:0006955","immune response","GO:0006955",4.50028377011357e-05,1.94545228061514,13,4.34676010046713
"GO:0019882","antigen processing and presentation","GO:0019882",5.56340586855958e-05,1.63031638369287,4,4.25465925570792
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",5.56340586855958e-05,1.63031638369287,4,4.25465925570792
"GO:0050870","positive regulation of T cell activation","GO:0050870",5.56340586855958e-05,1.63031638369287,4,4.25465925570792
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",6.70600729834343e-05,1.90685160487065,12,4.17353597825158
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",7.69854562484605e-05,1.77131352394017,7,4.11359131206938
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.000101075118275062,1.82440389711074,8,3.99535574179565
"GO:0002250","adaptive immune response","GO:0002250",0.000196414139243178,1.74066812309662,6,3.70682725191432
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.000233178236153697,1.53955689835009,3,3.63231198718679
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000237486261032979,1.82814482037148,10,3.62436150995555
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000250558542097047,1.82760093683743,10,3.60109078660591
"GO:0007015","actin filament organization","GO:0007015",0.000262679975382073,1.62173242457436,4,3.58057303308579
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000262679975382073,1.62173242457436,4,3.58057303308579
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000265646366696604,1.81421332738353,9,3.57569611965414
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.000321413649566388,1.7337063788368,6,3.49293568387171
"GO:0006952","defense response","GO:0006952",0.000321857343643975,1.74419438277766,7,3.49233657736095
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000338759483873583,1.80265136113067,8,3.47010853748637
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000394663488216374,1.70685944042486,5,3.40377304993998
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.000410541668338679,1.80460176647748,9,3.38664275715313
"GO:0030154","cell differentiation","GO:0030154",0.000458815961911959,1.73356773292854,7,3.3383614816825
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.000458815961911959,1.73356773292854,7,3.3383614816825
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.000481376091249312,1.73059093553015,7,3.31751548384983
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.000481376091249312,1.73094815121795,7,3.31751548384983
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.000537807391466816,1.61547991114236,4,3.26937323325591
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.000589345443320643,1.72773321002769,7,3.22963006998159
"GO:0006915","apoptotic process","GO:0006915",0.000697315192867421,1.72404198125368,7,3.15657087243081
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",0.000701042511135844,1.53437051854223,3,3.15425564566825
"GO:0050778","positive regulation of immune response","GO:0050778",0.000701042511135844,1.53437051854223,3,3.15425564566825
"GO:0030335","positive regulation of cell migration","GO:0030335",0.000764915761165455,1.7887678003477,8,3.11638639030445
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.000879873002604208,1.78606480621296,8,3.05558000767755
"GO:0006935","chemotaxis","GO:0006935",0.000888715873293229,1.78569621610368,8,3.05123706285852
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000888715873293229,1.78569621610368,8,3.05123706285852
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.000889337056720135,1.87236056934188,11,3.05093361121096
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000889337056720135,1.87197417038005,11,3.05093361121096
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000977361623220432,1.53237575707766,3,3.00994471784602
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000977361623220432,1.53237575707766,3,3.00994471784602
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.001030423816829,1.44082104919581,2,2.98698411174875
"GO:0035556","intracellular signal transduction","GO:0035556",0.0011589763350492,1.78274749522942,8,2.93592543173483
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.00131582749572934,1.77893873076683,8,2.88080104276117
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.00133729787527157,1.60392865751375,4,2.8737718454097
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00142039509587375,1.77623573663209,8,2.84759083583441
"GO:0042742","defense response to bacterium","GO:0042742",0.00152183109563265,1.69770815790201,6,2.81763354618914
"GO:0042554","superoxide anion generation","GO:0042554",0.00157503569993334,1.60106733780758,4,2.80270959799607
"GO:0050776","regulation of immune response","GO:0050776",0.00168344683752543,1.68751188383114,5,2.77380059387875
"GO:0006508","proteolysis","GO:0006508",0.00170408425490898,1.69286414584587,6,2.76850893624923
"GO:0001525","angiogenesis","GO:0001525",0.00173987464564142,1.68661199747795,5,2.75948204060667
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00184555473218962,1.52629173461075,3,2.73387307074171
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.00188649125120306,1.43886277840213,2,2.72434520454358
"GO:0032715","negative regulation of interleukin-6 production","GO:0032715",0.00198674335635358,1.52589278231783,3,2.70185823058428
"GO:0042110","T cell activation","GO:0042110",0.00198674335635358,1.52589278231783,3,2.70185823058428
"GO:0006968","cellular defense response","GO:0006968",0.00205142880132726,1.43830327246108,2,2.68794355143763
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.00205142880132726,1.43830327246108,2,2.68794355143763
"GO:0016192","vesicle-mediated transport","GO:0016192",0.00228091627059419,1.68359236952057,6,2.64189065680416
"GO:0050728","negative regulation of inflammatory response","GO:0050728",0.00228091627059419,1.68358182016611,6,2.64189065680416
"GO:0050829","defense response to Gram-negative bacterium","GO:0050829",0.00255752374961339,1.58983400859077,4,2.59218032466247
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00268327488346387,1.52359880663358,3,2.57133483450046
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","GO:0043123",0.00268327488346387,1.52359880663358,3,2.57133483450046
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00268327488346387,1.52359880663358,3,2.57133483450046
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.00331165906933746,1.43457323285408,2,2.47995437959449
