Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Usf1	Arhgap25	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Arhgef19	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Itm2c	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Retnlg	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Prkcd	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Fgr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Lcn2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Cd180	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Elf4	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Ptafr	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Ncf2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Plaur	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Csf2rb2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Grn	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Ccl2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Csf2rb	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Tfeb	Cadm1	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Arhgap25	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Il1b	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	P2ry6	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Osm	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Cndp2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Elf4	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Fgr	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Ptprf	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Vasp	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Ccl2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Fgl2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Atf3	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Rest	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Tmbim6	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Cd180	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Runx1	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Prkcd	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Serpine2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Ccrl2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Kcnk6	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Rcsd1	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Slco2b1	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	Rac2	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
Tfeb	E2f8	regulates via transfac_pro-M01692	transfac_pro-M01692	3.04836	mm9
