name	Regulatory function	ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	is_sig_RGC	is_sig_MN	Specificity	EAE_Combined_Score	symbol	InDegree	OutDegree	BetweennessCentrality	ClosenessCentrality
Elf4	Regulator	ENSMUSG00000031103	51.0107832857104	8.56948087271954	1.21557468848445	7.04973618972257	1.79257318671173e-12	2.00685462764634e-10	13.4981235551286	1.04491203275716	0.524627260305844	1.99172271785497	0.0464014896925196	0.717967655072716	TRUE	TRUE	Both	4.80719645273835	NA	2	0	0	NA
Runx1	Regulator	ENSMUSG00000022952	66.924871270429	4.80160063937342	1.09249097251637	4.39509411076756	1.10724772889853e-05	0.000310498717656826	9.84592390980986	1.55361223328339	0.746808060850597	2.08033672201376	0.037494658815623	0.696855418224102	TRUE	TRUE	Both	3.1776064363284	NA	1	0	0	NA
Usf1	Regulator	ENSMUSG00000026641	231.318501330387	1.36806134576972	0.621571448190031	2.2009719876185	0.0277380069882176	0.130478007015681	205.255033569638	0.114321212980215	0.103545074773409	1.10407195349839	0.269561926365534	0.912384203153893	FALSE	TRUE	MN_Only	1.36806134576972	NA	0	17	0	0.0588235294117647
Tfeb	Regulator	ENSMUSG00000023990	58.9791186917367	1.71328648540624	0.738475970050701	2.32003010915658	0.0203392486033976	0.105929725158463	32.3850914867249	0.114756136284749	0.31998181583912	0.358633305407723	0.719869427919452	0.989512820117742	FALSE	TRUE	MN_Only	1.71328648540624	NA	0	25	0	0.04
Cd180	Regulated	NA	47.3781237420324	10.1326006843063	1.63741696484972	6.18816153846084	6.08699350828698e-10	4.56650018142313e-08	38.9823962326351	1.6363900958663	0.76698098696708	2.13354714611268	0.0328798684441254	0.689598767559043	TRUE	TRUE	Both	5.8844953900863	Cd180	2	0	0	NA
Prkcd	Regulated	NA	209.986401265956	1.58826287627987	0.76685987590329	2.07112528140691	0.0383470898295614	0.160208324596071	70.1526644432793	0.740655034971372	0.343177221851767	2.15822900766792	0.0309100311470919	0.680309564031789	TRUE	TRUE	Both	1.16445895562562	Prkcd	2	0	0	NA
Retnlg	Regulated	NA	9.20989804877797	8.33623646830212	1.8949190372739	4.39925733201505	1.08621963592844e-05	0.000306372879482607	6.90258735178076	5.98272057953172	1.17168454133163	5.10608475958239	3.28902207140649e-07	0.000903658814118933	TRUE	TRUE	Both	7.15947852391692	Retnlg	1	0	0	NA
Tmbim6	Regulated	NA	1890.51969367454	0.809405776454669	0.402472301691416	2.01108442258781	0.0443165402641641	0.175410097091282	1449.75189903992	0.1864834415346	0.0866031301138614	2.153310640036	0.0312942731343284	0.684153246434481	FALSE	TRUE	MN_Only	0.809405776454669	Tmbim6	1	0	0	NA
Cndp2	Regulated	NA	398.416240788704	1.03184776753648	0.47767084710617	2.1601648369115	0.0307599112020948	0.139074168261972	315.407209529827	0.339336461204386	0.127163236941119	2.66851072186461	0.0076188346752078	0.463408316430742	FALSE	TRUE	MN_Only	1.03184776753648	Cndp2	1	0	0	NA
Itm2c	Regulated	NA	1351.04536480847	1.63184351720635	0.376290453251513	4.33665936274929	1.44664551925405e-05	0.00039354166144343	2481.53191932653	0.265031819070438	0.124065270795868	2.136228917007	0.0326607595375353	0.688780006983938	FALSE	TRUE	MN_Only	1.63184351720635	Itm2c	1	0	0	NA
Serpine2	Regulated	NA	230.240884698543	3.06874104970132	0.627644880276633	4.88929511915843	1.0119768548021e-06	3.87587135389204e-05	152.026619416833	1.00525020195495	0.233989027528109	4.29614248400681	1.73795898679919e-05	0.0179064086858654	TRUE	TRUE	Both	2.03699562582814	Serpine2	1	0	0	NA
Ncf2	Regulated	NA	20.7582878320258	4.51270933100788	1.21162863494676	3.72449874561291	0.000195703685341116	0.00336358423562075	16.8714429402578	1.52451969318608	0.61476828361922	2.47982814632375	0.0131445718479694	0.566187782036808	TRUE	TRUE	Both	3.01861451209698	Ncf2	1	0	0	NA
Atf3	Regulated	NA	83.6326864267069	4.48142675689519	1.34728812440404	3.32625714998973	0.000880206833355238	0.0108840528909534	26.5664594181799	1.52930558766052	0.779776978557399	1.96120894783244	0.0498546535053997	0.724996727190948	TRUE	TRUE	Both	3.00536617227786	Atf3	1	0	0	NA
Lcn2	Regulated	NA	146.046969147504	2.81379731774554	1.14502320335672	2.45741510695738	0.0139940881082738	0.0822367203013902	12.8374680806158	4.59500291452505	1.06533581601656	4.31319668919648	1.60910843390064e-05	0.017684101688568	TRUE	TRUE	Both	3.7044001161353	Lcn2	1	0	0	NA
Il1b	Regulated	NA	24.057294502576	7.98470063668762	1.61538878532871	4.94289715838458	7.69700914180941e-07	3.06910331643545e-05	15.213788354226	2.79320232212688	0.97128158547407	2.87579046478427	0.00403017148823901	0.367057331401216	TRUE	TRUE	Both	5.38895147940725	Il1b	1	0	0	NA
Tlr2	Regulated	NA	34.0768697472671	5.33525469589506	1.13370904763392	4.70601756864326	2.52602758713875e-06	8.81626031252215e-05	19.7557029418307	1.80638423496653	0.607136301508262	2.97525321822969	0.00292746788844248	0.317495448295884	TRUE	TRUE	Both	3.57081946543079	Tlr2	1	0	0	NA
Fgr	Regulated	NA	24.4674479804961	3.75987658086194	1.66107532254566	2.26351961878514	0.0236036766207324	0.117365189456146	5.09087907759159	2.29241522826616	1.1050167934991	2.07455238848189	0.0380280386240498	0.696855418224102	TRUE	TRUE	Both	3.02614590456405	Fgr	2	0	0	NA
Arhgef19	Regulated	NA	65.1711614774209	2.76017745824044	1.12638085262578	2.4504832906259	0.0142664584038172	0.0831533983216483	181.593465353947	0.648933220028542	0.212409276359951	3.05510772010189	0.00224979701034187	0.281745432009325	TRUE	TRUE	Both	1.70455533913449	Arhgef19	1	0	0	NA
Rest	Regulated	NA	40.9815256888221	2.07524232732604	1.0287093322132	2.01732623817196	0.0436614792180184	0.173462951572955	136.18238518935	0.473167675677479	0.225216155546149	2.10094908391473	0.0356454360352075	0.695025890100296	FALSE	TRUE	MN_Only	2.07524232732604	Rest	1	0	0	NA
Arhgap25	Regulated	NA	25.628757288001	9.2696689726199	1.60076604558004	5.79077061149246	7.00642127093475e-09	4.45290197280281e-07	11.6715702117328	1.2824894328856	0.626898822896663	2.04576781139849	0.0407792203781118	0.699611173641745	TRUE	TRUE	Both	5.27607920275275	Arhgap25	2	0	0	NA
Vasp	Regulated	NA	183.978014953495	1.90494952440889	0.937030954941105	2.0329632808434	0.0420562328842948	0.169037949019063	111.965980840336	0.361001693758504	0.18345833047901	1.96775852487008	0.0490958283912301	0.724996727190948	FALSE	TRUE	MN_Only	1.90494952440889	Vasp	1	0	0	NA
Slco2b1	Regulated	NA	39.7299578702446	4.71623040869541	1.07601560161419	4.38305021007163	1.17029127192823e-05	0.000325667670585917	75.1556551896241	1.33434583947783	0.610384728362714	2.18607343446658	0.0288102332018603	0.680295131737202	TRUE	TRUE	Both	3.02528812408662	Slco2b1	1	0	0	NA
Cadm1	Regulated	NA	405.611852170667	1.2862551347293	0.453441026868206	2.8366536297192	0.00455890396014746	0.0376990274068103	2110.48517871976	0.293419859007455	0.137276747887664	2.13743305783704	0.0325627850497659	0.688201937878706	FALSE	TRUE	MN_Only	1.2862551347293	Cadm1	1	0	0	NA
Rac2	Regulated	NA	142.979281431293	6.82601986582868	1.01206542328582	6.74464289439612	1.53403850147178e-11	1.47856929472982e-09	21.1963732009806	1.11768841211778	0.49792479064657	2.2446932410544	0.0247878322508663	0.652203604541191	TRUE	TRUE	Both	3.97185413897323	Rac2	1	0	0	NA
Ptprf	Regulated	NA	243.71305070054	2.3873552674877	0.594092642554812	4.01848987259161	5.85723262040207e-05	0.00127233079936316	6340.74449586213	0.369101883173249	0.174700445624727	2.11277012976895	0.0346204474688163	0.695025890100296	FALSE	TRUE	MN_Only	2.3873552674877	Ptprf	1	0	0	NA
Grn	Regulated	NA	902.444991283017	4.49456995608518	0.598250658894141	7.51285416783884	5.78519623078115e-14	7.51765588774901e-12	410.801947978124	0.655455153847161	0.199204840435497	3.29035756568073	0.00100060144707101	0.206062861407563	TRUE	TRUE	Both	2.57501255496617	Grn	1	0	0	NA
Ccl2	Regulated	NA	42.2358421905386	9.98626124578444	1.23291489253005	8.09971661976743	5.50873552732401e-16	9.00832998479479e-14	3.20435002533657	2.92900482244472	1.23381807013506	2.37393574737002	0.0175996127983045	0.598205395835153	TRUE	TRUE	Both	6.45763303411458	Ccl2	2	0	0	NA
Fgl2	Regulated	NA	110.964784512578	5.49149437263434	1.02431646790447	5.36113061217181	8.27026917589039e-08	4.15053439951409e-06	7.63805130772193	1.8030511038236	0.720166131645598	2.50365995371594	0.0122916106031883	0.551084433758587	TRUE	TRUE	Both	3.64727273822897	Fgl2	1	0	0	NA
Rcsd1	Regulated	NA	25.0182593049592	3.0883458596639	1.19752475074285	2.57894115152788	0.0099103668120371	0.0651457005691694	11.4100992495362	1.2784178442038	0.604653255481974	2.11429911707787	0.034489727735825	0.695025890100296	TRUE	TRUE	Both	2.18338185193385	Rcsd1	1	0	0	NA
Ccrl2	Regulated	NA	26.2321656745651	7.30784432118812	1.88585878500348	3.87507504766569	0.000106591843663132	0.00206845025689763	8.46654890911961	1.74850612768596	0.851318800752482	2.05387937649263	0.0399873678649122	0.696855418224102	TRUE	TRUE	Both	4.52817522443704	Ccrl2	1	0	0	NA
E2f8	Regulated	NA	5.86041505472641	7.7065096026923	3.05089148854276	2.52598613606323	0.0115374034154824	0.0722471893936976	1.79225533318754	3.25925739430071	1.50235791674283	2.16942804239812	0.0300502019038958	NA	TRUE	TRUE	Both	5.48288349849651	E2f8	1	0	0	NA
Plaur	Regulated	NA	17.5600530098227	8.65081514588043	1.64780611683391	5.24989867284997	1.52182897827023e-07	7.26186850811308e-06	3.35647763534342	2.84226435521404	1.20372999016875	2.36121420786035	0.0182152057332061	0.611488816142575	TRUE	TRUE	Both	5.74653975054723	Plaur	1	0	0	NA
Kcnk6	Regulated	NA	14.3366004819247	9.0073033867979	1.72297606355227	5.22775886289882	1.7157708054655e-07	8.13398316050322e-06	21.3871368015868	1.32813834523509	0.646331595159322	2.05488692674494	0.0398899274670067	0.696855418224102	TRUE	TRUE	Both	5.1677208660165	Kcnk6	1	0	0	NA
P2ry6	Regulated	NA	53.7572693343637	3.92829804934557	1.59424664392356	2.46404661682569	0.0137378242748695	0.0813337965157208	14.5472059588253	1.51315567179707	0.718379663166894	2.10634536218146	0.0351743636487552	0.695025890100296	TRUE	TRUE	Both	2.72072686057132	P2ry6	1	0	0	NA
Ptafr	Regulated	NA	20.3071785511148	5.04765397720648	1.91374659913461	2.63757698092789	0.00835006709443973	0.0578699411868932	6.91279780391506	1.56423038631833	0.797447776399764	1.96154586245178	0.0498153804943468	0.724996727190948	TRUE	TRUE	Both	3.30594218176241	Ptafr	1	0	0	NA
Osm	Regulated	NA	2.24772649153977	6.3080369084099	3.08896318885189	2.04212110107873	0.0411395202621695	0.167107054952725	4.53655269029553	2.92430002299416	1.04533227776271	2.79748371422428	0.00515023635621336	0.400479463831025	TRUE	TRUE	Both	4.61616846570203	Osm	1	0	0	NA
Csf2rb	Regulated	NA	96.307736183007	3.59313430426482	1.39832046871036	2.56960717136514	0.0101813893939815	0.0665678082839205	17.5111272878934	1.73042427292988	0.661392229218455	2.61633595994114	0.00888790593848515	0.485156057602409	TRUE	TRUE	Both	2.66177928859735	Csf2rb	1	0	0	NA
Csf2rb2	Regulated	NA	74.7925446327235	7.89922238812305	1.1726046769038	6.73647525351894	1.6227491538663e-11	1.55378231482698e-09	9.02052964078909	2.03125498569926	0.977987495388501	2.07697439412797	0.0378039225998286	0.696855418224102	TRUE	TRUE	Both	4.96523868691115	Csf2rb2	1	0	0	NA
