"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0006954","inflammatory response",0.000525155333190907,1.80289639496853,8,3.27971221969919
"GO:0045766","positive regulation of angiogenesis",0.000623844927993717,1.61121131143428,4,3.20492335148152
"GO:0045087","innate immune response",0.00109180380566337,1.60529512013926,4,2.96185539622192
"GO:0045471","response to ethanol",0.00148072200803612,1.44815483559884,2,2.82952646862817
"GO:0043065","positive regulation of apoptotic process",0.00193768796483868,1.59737164965486,4,2.71271615817249
"GO:0008284","positive regulation of cell population proliferation",0.00220547418077461,1.70774761160984,6,2.65649802208995
"GO:0001525","angiogenesis",0.00234563164382337,1.59356838382235,4,2.62974018813498
"GO:0030335","positive regulation of cell migration",0.00234563164382337,1.59356838382235,4,2.62974018813498
"GO:0045944","positive regulation of transcription by RNA polymerase II",0.0026716626003965,1.70034324556804,6,2.57321838902515
"GO:0010759","positive regulation of macrophage chemotaxis",0.00334430165746853,1.44271346604295,2,2.47569455591444
"GO:0071222","cellular response to lipopolysaccharide",0.00346408307685357,1.65565758311384,5,2.46041170112743
"GO:0009410","response to xenobiotic stimulus",0.00431725157992368,1.58490538942608,4,2.36479264289131
"GO:0019221","cytokine-mediated signaling pathway",0.00431725157992368,1.58490538942608,4,2.36479264289131
"GO:0010628","positive regulation of gene expression",0.00553980770697562,1.57719321148793,4,2.25650530986521
"GO:0006887","exocytosis",0.00603435940197944,1.34062346104517,1,2.21936882713283
"GO:0051601","exocyst localization",0.00603435940197944,1.34062346104517,1,2.21936882713283
"GO:0002221","pattern recognition receptor signaling pathway",0.00675904395884635,1.43436377827615,2,2.17011472902295
"GO:0006801","superoxide metabolic process",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0007584","response to nutrient",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0034220","monoatomic ion transmembrane transport",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0042554","superoxide anion generation",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0045730","respiratory burst",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0050665","hydrogen peroxide biosynthetic process",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0071276","cellular response to cadmium ion",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0071361","cellular response to ethanol",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:1904044","response to aldosterone",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:1990776","response to angiotensin",0.00706146843879822,1.34001692250928,1,2.15110497762331
"GO:0002376","immune system process",0.00712241795440465,1.63391617904282,5,2.14737254484799
"GO:0007204","positive regulation of cytosolic calcium ion concentration",0.00717885511326521,1.4331441609619,2,2.14394481169607
"GO:0030593","neutrophil chemotaxis",0.00717885511326521,1.4331441609619,2,2.14394481169607
"GO:0032722","positive regulation of chemokine production",0.00717885511326521,1.4331441609619,2,2.14394481169607
"GO:0032729","positive regulation of type II interferon production",0.00717885511326521,1.4331441609619,2,2.14394481169607
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",0.00717885511326521,1.4331441609619,2,2.14394481169607
