"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0006954","inflammatory response","GO:0006954",0.00047470164641041,1.78284360136432,8,3.32357926201302
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000639297511099022,1.68161274910901,5,3.19429698634991
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000943248268779003,1.63123883692235,4,3.02537398322256
"GO:0032757","positive regulation of interleukin-8 production","GO:0032757",0.00122901482672341,1.54531036046355,3,2.9104428777927
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.00143075368064289,1.69187785326405,6,2.84443512818676
"GO:0045471","response to ethanol","GO:0045471",0.00160753376939576,1.44092474572565,2,2.7938398951016
"GO:0045087","innate immune response","GO:0045087",0.00165358928051551,1.6252491067494,4,2.78157235170978
"GO:0071347","cellular response to interleukin-1","GO:0071347",0.00205522774355194,1.53963615023564,3,2.68714004615403
"GO:0071354","cellular response to interleukin-6","GO:0071354",0.00205522774355194,1.53963615023564,3,2.68714004615403
"GO:0071356","cellular response to tumor necrosis factor","GO:0071356",0.00205522774355194,1.53963615023564,3,2.68714004615403
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","GO:0097192",0.00205522774355194,1.53963615023564,3,2.68714004615403
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00209088681868484,1.68454229452082,6,2.67966947524114
"GO:0002376","immune system process","GO:0002376",0.00229070161042646,1.65953051263558,5,2.64003147885298
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.0031375267567023,1.61722714669634,4,2.5034125618492
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.0032363746026022,1.53203676153753,3,2.48994121560509
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.00355094045761741,1.43551054287179,2,2.44965660991325
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.00371514441912594,1.64462220070174,5,2.43002429920882
"GO:0001525","angiogenesis","GO:0001525",0.00374478225803508,1.61337660587087,4,2.42657342946866
"GO:0030335","positive regulation of cell migration","GO:0030335",0.00374478225803508,1.61337660587087,4,2.42657342946866
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.00376558660391305,1.52838905496244,3,2.42416735970278
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.00376558660391305,1.52838905496244,3,2.42416735970278
"GO:0070372","regulation of ERK1 and ERK2 cascade","GO:0070372",0.00376558660391305,1.52838905496244,3,2.42416735970278
"GO:0002544","chronic inflammatory response","GO:0002544",0.0058167980923244,1.52008038998585,3,2.23531601079527
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00594423544800955,1.6046059295462,4,2.22590399673298
