"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0045766","positive regulation of angiogenesis",7.45562199591122e-05,1.63745778338205,4,4.12751611906226
"GO:0045087","innate immune response",0.000161756249625578,1.63144521791949,4,3.79113893090366
"GO:0043065","positive regulation of apoptotic process",0.000328531520045512,1.62339267488929,4,3.4834229569257
"GO:0001525","angiogenesis",0.000435606742293502,1.61952745423479,4,3.36090540688182
"GO:0030335","positive regulation of cell migration",0.000435606742293502,1.61952745423479,4,3.36090540688182
"GO:0009410","response to xenobiotic stimulus",0.000829739130755748,1.61072334052177,4,3.08105842796271
"GO:0019221","cytokine-mediated signaling pathway",0.000829739130755748,1.61072334052177,4,3.08105842796271
"GO:0008284","positive regulation of cell population proliferation",0.00100479166704815,1.75313924969202,6,2.99792397528882
"GO:0006954","inflammatory response",0.00112604662313828,1.79891171149706,8,2.94844362746647
"GO:0010628","positive regulation of gene expression",0.00138952857459047,1.60288553197237,4,2.85713251786152
"GO:0045944","positive regulation of transcription by RNA polymerase II",0.0014103859002971,1.74553807687308,6,2.85066204235208
"GO:0032757","positive regulation of interleukin-8 production",0.00167210167060535,1.52549736856573,3,2.77673731921731
"GO:0071222","cellular response to lipopolysaccharide",0.0018590001287031,1.68945976680185,5,2.73072058016084
"GO:0045471","response to ethanol",0.00197893655408785,1.42605869933079,2,2.70356812931621
"GO:0030154","cell differentiation",0.00240322595068557,1.58957199416243,4,2.61920539502101
"GO:0071347","cellular response to interleukin-1",0.00266400540494708,1.51989590947192,3,2.57446489836949
"GO:0071354","cellular response to interleukin-6",0.00266400540494708,1.51989590947192,3,2.57446489836949
"GO:0071356","cellular response to tumor necrosis factor",0.00266400540494708,1.51989590947192,3,2.57446489836949
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.00266400540494708,1.51989590947192,3,2.57446489836949
"GO:0050729","positive regulation of inflammatory response",0.0027012948463672,1.58484783558471,4,2.56842800997705
"GO:0007165","signal transduction",0.00337195157815899,1.57529215118887,4,2.47211867055066
"GO:0032760","positive regulation of tumor necrosis factor production",0.00337195157815899,1.57529215118887,4,2.47211867055066
"GO:0043525","positive regulation of neuron apoptotic process",0.00423919797367856,1.51239395532843,3,2.37271630108488
"GO:0002376","immune system process",0.00428854500920754,1.66727448656855,5,2.36769002754788
"GO:0010759","positive regulation of macrophage chemotaxis",0.00480935502930106,1.4207003549047,2,2.31791316187917
"GO:0016525","negative regulation of angiogenesis",0.00517257554005289,1.50879301733955,3,2.28629315819948
"GO:0050830","defense response to Gram-positive bacterium",0.00517257554005289,1.50879301733955,3,2.28629315819948
"GO:0070372","regulation of ERK1 and ERK2 cascade",0.00517257554005289,1.50879301733955,3,2.28629315819948
"GO:0000122","negative regulation of transcription by RNA polymerase II",0.00649875058130541,1.55457027379114,4,2.18717013071124
"GO:0006887","exocytosis",0.00703648445047325,1.33023379314834,1,2.15264426771877
"GO:0051601","exocyst localization",0.00703648445047325,1.33023379314834,1,2.15264426771877
"GO:0032496","response to lipopolysaccharide",0.00722082657566204,1.65229660702018,5,2.14141308543564
"GO:0002544","chronic inflammatory response",0.00773937719108113,1.50059088080933,3,2.1112939867796
"GO:0006801","superoxide metabolic process",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0007584","response to nutrient",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0034220","monoatomic ion transmembrane transport",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0042554","superoxide anion generation",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0045730","respiratory burst",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0050665","hydrogen peroxide biosynthetic process",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0071276","cellular response to cadmium ion",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0071361","cellular response to ethanol",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:1904044","response to aldosterone",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:1990776","response to angiotensin",0.00841616924885962,1.32963195521193,1,2.07488553945617
"GO:0002221","pattern recognition receptor signaling pathway",0.0101266099316384,1.41247806776811,2,1.99453591835077
"GO:0007204","positive regulation of cytosolic calcium ion concentration",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0030593","neutrophil chemotaxis",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0032722","positive regulation of chemokine production",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0032729","positive regulation of type II interferon production",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0043409","negative regulation of MAPK cascade",0.0110987446557144,1.41127705953467,2,1.95472614012571
"GO:0071260","cellular response to mechanical stimulus",0.0110987446557144,1.41127705953467,2,1.95472614012571
