Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Ehf	Lcp2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Vasp	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Arhgap25	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Bcl2a1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Plau	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Pik3cg	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	C1qc	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Hck	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Myo1f	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Junb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Aif1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cd68	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cybb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Laptm5	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ncf2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Tnfaip2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Dock8	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ptpn6	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Apobr	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	C1qb	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Lrrk1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Elf4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Nfkbiz	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Sla	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ly6h	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Psap	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Tspan14	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Npc2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Il1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Lrrc25	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Rcsd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Mrc1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Prkcd	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Rin3	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Grn	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Calr	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Dusp2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Wdfy4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Osm	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Rest	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Plbd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fcgr2b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fgr	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cyth4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Socs3	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fgd2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Abcc3	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Arrdc2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Siglec1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Sparcl1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Slco2b1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fcgr4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ctsz	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Capn3	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cd74	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Runx1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ccl2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Il10ra	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cd180	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Lyz2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ccrl2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Retnlg	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Plcb2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Tmbim6	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Lgals9	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Prex1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Rhoh	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ucp2	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fcer1g	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Gna15	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Ptprf	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cd14	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Csf2rb2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Ptger4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Vav1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Atf3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Lyl1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cebpa	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cxcl12	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Itm2c	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Serpine2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Hp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Ctsc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Il18rap	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	B2m	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cd72	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Csf2rb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Ccr5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Tgfbi	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Fcgr1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Srgn	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ehf	Cd52	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	P2ry6	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Rps6ka1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Rasal3	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Rgs1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Arpc1b	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Cmklr1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Nmnat2	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Cadm1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	H2-Eb1	regulates via transfac_pro-M01203	transfac_pro-M01203	4.01167	mm9
Ehf	Lrg1	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	Csf1r	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	Hspbp1	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	H2-Aa	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	C1qa	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	Lrp5	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Ehf	Tspo	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Ehf	Spint1	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Ehf	Ptafr	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Ehf	Tnf	regulates via transfac_pro-M02075	transfac_pro-M02075	3.37901	mm9
Ehf	Ctsd	regulates via transfac_pro-M02075	transfac_pro-M02075	3.37901	mm9
Ehf	E2f8	regulates via transfac_pro-M02075	transfac_pro-M02075	3.37901	mm9
Ehf	Ddost	regulates via transfac_pro-M02063	transfac_pro-M02063	3.35869	mm9
Ehf	Klhl6	regulates via transfac_pro-M02063	transfac_pro-M02063	3.35869	mm9
Ehf	Lsp1	regulates via transfac_pro-M02043	transfac_pro-M02043	3.28111	mm9
