"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",2.82715051305863e-09,2.10500650425112,22,8.54865106973801
"GO:0007165","signal transduction",1.25688306965489e-08,2.10442839744714,23,7.90070512371878
"GO:0045087","innate immune response",4.39347852163045e-07,1.96166505305685,13,6.35719149239011
"GO:0006954","inflammatory response",7.89953932601005e-07,2.03434554054025,18,6.10239823453302
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",2.19010374314587e-06,1.71772938541581,5,5.65953531255319
"GO:0007166","cell surface receptor signaling pathway",3.65013759310885e-06,1.71549624788926,5,5.43769076436499
"GO:0008284","positive regulation of cell population proliferation",5.81049898970159e-06,1.92330950932472,14,5.23578656999031
"GO:0019882","antigen processing and presentation",6.86501732069585e-06,1.71214654159945,5,5.1633583626846
"GO:0019221","cytokine-mediated signaling pathway",9.20108762316451e-06,1.85787027140322,10,5.03616083343483
"GO:0008285","negative regulation of cell population proliferation",1.19559187673002e-05,1.80785657638561,8,4.92241704437156
"GO:0009617","response to bacterium",1.44934193174716e-05,1.85250720324897,9,4.83882914278797
"GO:0045944","positive regulation of transcription by RNA polymerase II",1.47400422042076e-05,1.92461560481444,12,4.83150127298794
"GO:0050778","positive regulation of immune response",1.50169030706332e-05,1.66226994188401,4,4.82341962245918
"GO:0050870","positive regulation of T cell activation",1.50169030706332e-05,1.66226994188401,4,4.82341962245918
"GO:0030593","neutrophil chemotaxis",2.21946659054115e-05,1.70567044277248,5,4.65375138799064
"GO:0038094","Fc-gamma receptor signaling pathway",2.63258261542142e-05,1.66010890451806,4,4.57961799094641
"GO:0006955","immune response",4.9921083646458e-05,1.90603565257707,12,4.30171599591039
"GO:0030335","positive regulation of cell migration",5.52331769144933e-05,1.83266653550327,10,4.25779997620863
"GO:0007186","G protein-coupled receptor signaling pathway",5.66899764231535e-05,1.90327027287018,12,4.24649372362812
"GO:0071222","cellular response to lipopolysaccharide",5.66899764231535e-05,1.90327027287018,12,4.24649372362812
"GO:0045893","positive regulation of DNA-templated transcription",7.91694576239021e-05,1.85044015731239,11,4.10144233032558
"GO:0045766","positive regulation of angiogenesis",9.07147027729879e-05,1.72864254799617,6,4.04232231805907
"GO:0010628","positive regulation of gene expression",9.94987133390505e-05,1.89318689520326,12,4.00218253526798
"GO:0050776","regulation of immune response",0.000130137016060523,1.72519262274072,6,3.88559915551907
