Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Elf4	Arhgap25	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Dock8	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Vasp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Lrrk1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cd180	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Sla	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ccl2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	C1qb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Lyz2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	C1qc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Rest	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Mrc1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ptprf	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cd14	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Siglec1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Bcl2a1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Hck	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Csf2rb2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Myo1f	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ptger4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Vav1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Atf3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Lyl1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Rin3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Fgd2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Laptm5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Il10ra	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Tnfaip2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Il1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Rcsd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Runx1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cebpa	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cybb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Pik3cg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cxcl12	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Itm2c	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Fgr	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Serpine2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ncf2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Hp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ctsc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Nfkbiz	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Il18rap	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	B2m	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cd72	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ptpn6	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Csf2rb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Junb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Ccr5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Elf4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Tgfbi	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Fcgr1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Prkcd	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Npc2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cd74	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Retnlg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Fcgr2b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Srgn	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Lcp2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Lrg1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Cyth4	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Prex1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Lrrc25	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Rasal3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Ptafr	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Epha2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Osm	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Slco2b1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Csf1r	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	E2f8	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Tspan14	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Rps6ka1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Ncf1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Cd68	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Lsp1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	P2ry6	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Ly6h	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Arhgef19	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Rac2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Myo1g	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Aif1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Rhoh	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Cadm1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Grn	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Capn3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Cmklr1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Spint1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Elf4	Sparcl1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Elf4	Socs3	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
