"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",1.33178668820591e-09,2.22391835487725,25,8.87556533038627
"GO:0007165","signal transduction","GO:0007165",1.44728522679381e-08,2.20136970035457,25,7.83944587094342
"GO:0006954","inflammatory response","GO:0006954",1.36942781265902e-07,2.13035130451602,21,6.86346085599135
"GO:0045087","innate immune response","GO:0045087",6.84461996049153e-07,2.04251929759226,14,6.16465066055314
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",4.86456670904983e-06,2.03827047013545,15,5.31295583663899
"GO:0009617","response to bacterium","GO:0009617",5.98219336109246e-06,1.96931917098137,10,5.22313955347483
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",1.1597505198957e-05,1.98204498780876,12,4.93563542412261
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",1.52707876044817e-05,1.75147091778906,5,4.81613856324094
"GO:0030335","positive regulation of cell migration","GO:0030335",2.10350685063169e-05,1.9365055226076,11,4.67705606924874
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",2.40435987207674e-05,1.74919391451581,5,4.61900052886557
"GO:0050778","positive regulation of immune response","GO:0050778",3.08234416146393e-05,1.67657568644133,4,4.51111887143203
"GO:0050870","positive regulation of T cell activation","GO:0050870",3.08234416146393e-05,1.67657568644133,4,4.51111887143203
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",4.11284036366499e-05,1.94626168201831,10,4.3858581469277
"GO:0019882","antigen processing and presentation","GO:0019882",4.20844688191355e-05,1.74577840960592,5,4.37587815002246
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",4.74702153449283e-05,1.67439605086354,4,4.32357879813414
"GO:0032496","response to lipopolysaccharide","GO:0032496",6.48012366461612e-05,1.92112013781695,11,4.18841670611275
"GO:0006955","immune response","GO:0006955",6.54585859760062e-05,1.99643071517681,13,4.18403338047394
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",8.85611434724535e-05,1.99037268155717,13,4.05275678462515
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",8.85611434724535e-05,1.99037268155717,13,4.05275678462515
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",9.09792446704271e-05,1.45629967206647,2,4.0410576730988
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",9.09792446704271e-05,1.45629967206647,2,4.0410576730988
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.00011131043917691,1.85995507589979,8,3.95346410373064
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.000112983730556942,1.73917510011348,5,3.94698408959663
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000114387291047013,1.91054783190614,11,3.9416222249727
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000137968270124342,1.66774816235126,4,3.8602207809492
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000152859011810023,1.97982784211312,13,3.81570895233211
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.000206010400957251,1.86998100299783,9,3.68611085261963
"GO:0007015","actin filament organization","GO:0007015",0.000207228653257731,1.73496264405795,5,3.683550195397
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000235779983104038,1.45404111360899,2,3.62749306775858
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000238168032348955,1.86676996342953,9,3.62311653129212
"GO:0035556","intracellular signal transduction","GO:0035556",0.000247240830996419,1.86368736544395,9,3.6068798053789
"GO:0042742","defense response to bacterium","GO:0042742",0.000247240830996419,1.86368736544395,9,3.6068798053789
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.00028805432584272,1.90826680954675,10,3.54052559839088
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.000315287063170497,1.85687996155915,9,3.50129384881737
"GO:0006935","chemotaxis","GO:0006935",0.000346110721539536,1.90407695789272,10,3.46078494727236
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000346110721539536,1.90407695789272,10,3.46078494727236
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000348150714220583,1.66131823739676,4,3.45823270954559
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000398974790914489,1.66001045605008,4,3.39905454419446
"GO:0006915","apoptotic process","GO:0006915",0.000399701365401503,1.89687149259176,10,3.3982643681639
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.000399701365401503,1.89687149259176,10,3.3982643681639
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",0.000402439772061341,1.57260476188514,3,3.39529910565284
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000490715768779394,1.57178697469747,3,3.30916998607076
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.000492512423402692,1.45206487495869,2,3.3075828101467
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.000492512423402692,1.45206487495869,2,3.3075828101467
"GO:0006968","cellular defense response","GO:0006968",0.000542597924275206,1.45150023534432,2,3.26552187197794
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.000542597924275206,1.45150023534432,2,3.26552187197794
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000588468531839092,1.57056029391597,3,3.230276755954
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000902590819405105,1.77834845528574,6,3.04450908816795
"GO:0030154","cell differentiation","GO:0030154",0.00091590685814439,1.81143126296241,8,3.03814868905121
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.000956893505990354,1.56749359196222,3,3.01913639277096
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.000996670303834855,1.64878533282442,4,3.0014484815131
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00105034427082563,1.77098277981009,7,2.97866832910724
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.0010507474831892,1.80533468133694,8,2.9785016415684
"GO:0042554","superoxide anion generation","GO:0042554",0.00109566859789581,1.64649671546774,4,2.96032078514846
"GO:0038095","Fc-epsilon receptor signaling pathway","GO:0038095",0.00113486701090003,1.44830061086288,2,2.94505502817678
"GO:0002250","adaptive immune response","GO:0002250",0.00114425518350111,1.77479932984278,6,2.94147711153267
"GO:0050776","regulation of immune response","GO:0050776",0.00114425518350111,1.77479932984278,6,2.94147711153267
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.00115648287802173,1.44773597124851,2,2.93686079266918
"GO:0001525","angiogenesis","GO:0001525",0.00120194739684531,1.77385289639133,6,2.92011453878895
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus","GO:0036006",0.00128617830703613,1.44698311842934,2,2.89069881959694
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00133812516427312,1.79874041957879,8,2.87350326204591
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00138165019194691,1.56432466661001,3,2.85960189830565
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.00147117839599956,1.76852920822689,6,2.83233466126255
"GO:0006508","proteolysis","GO:0006508",0.00147790849843745,1.76108497528825,7,2.83035245352837
"GO:0010467","gene expression","GO:0010467",0.00147790849843745,1.76060215555548,7,2.83035245352837
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00166348671744867,1.76580821205395,6,2.7789806625209
"GO:0001798","positive regulation of type IIa hypersensitivity","GO:0001798",0.00167526617086997,1.4458538392006,2,2.77591618125016
"GO:0016477","cell migration","GO:0016477",0.00184257873498992,1.70706935396056,5,2.73457394529194
"GO:0006952","defense response","GO:0006952",0.00184970496919675,1.75565200109809,7,2.73289753671471
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00194640373978767,1.56156463485163,3,2.71076706963027
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.00199679691184402,1.75432549902944,7,2.69966610365739
