"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",1.26748020019765e-10,2.20717152864187,28,9.89705881622505
"GO:0007165","signal transduction","GO:0007165",4.4867172548718e-09,2.1783139699639,28,8.34807129808851
"GO:0045087","innate immune response","GO:0045087",1.58148428491306e-08,2.07368793047557,17,7.80093511927747
"GO:0006954","inflammatory response","GO:0006954",6.37547064183259e-08,2.13262815531215,22,7.1954877497793
"GO:0019882","antigen processing and presentation","GO:0019882",1.89523196493919e-07,1.853061460187,7,6.72233762742267
"GO:0006955","immune response","GO:0006955",9.20239099517696e-07,2.01598392058503,15,6.03609931818703
"GO:0009617","response to bacterium","GO:0009617",1.30664425144734e-06,1.9965696586574,11,5.88384263786979
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",1.77260271081039e-06,2.02531864380857,17,5.75138859087222
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",5.91815998028463e-06,1.79376526631881,6,5.22781329912541
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",5.92120162537587e-06,1.99816341889543,14,5.22759015031856
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",5.92120162537587e-06,1.99816341889543,14,5.22759015031856
"GO:0050778","positive regulation of immune response","GO:0050778",2.11664695214395e-05,1.72397771006815,5,4.67435157444263
"GO:0050870","positive regulation of T cell activation","GO:0050870",2.11664695214395e-05,1.72397771006815,5,4.67435157444263
"GO:0010628","positive regulation of gene expression","GO:0010628",4.19430935720051e-05,2.00926678712144,16,4.37733954068748
"GO:0045766","positive regulation of angiogenesis","GO:0045766",5.41558248366958e-05,1.81656579297842,7,4.2663548251257
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",6.14989140642693e-05,1.8141488613752,7,4.21113255284343
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",6.64718267291936e-05,1.97855836204666,12,4.17736238610464
"GO:0002250","adaptive immune response","GO:0002250",6.93468372591872e-05,1.81294039557359,7,4.15897334125551
