Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Ets2	Arhgap25	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Dock8	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Vasp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Lrrk1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cd180	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Sla	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ccl2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	C1qb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Lyz2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	C1qc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Rest	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Mrc1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ptprf	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cd14	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Siglec1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Bcl2a1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Hck	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Csf2rb2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Myo1f	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ptger4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Vav1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Atf3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Lyl1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Rin3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Fgd2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Laptm5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Il10ra	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Tnfaip2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Il1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Rcsd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Runx1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cebpa	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cybb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Pik3cg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cxcl12	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Itm2c	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Fgr	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Serpine2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ncf2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Hp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ctsc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Nfkbiz	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Il18rap	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	B2m	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cd72	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ptpn6	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Csf2rb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Junb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Ccr5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Elf4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Tgfbi	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Fcgr1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Prkcd	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Npc2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Cd74	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Retnlg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Fcgr2b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
