Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Fli1	Arhgap25	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Dock8	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Vasp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Lrrk1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cd180	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Sla	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ccl2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	C1qb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Lyz2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	C1qc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Rest	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Mrc1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ptprf	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cd14	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Siglec1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Bcl2a1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Hck	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Csf2rb2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Myo1f	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ptger4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Vav1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Atf3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Lyl1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Rin3	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Fgd2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Laptm5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Il10ra	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Tnfaip2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Il1b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Rcsd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Runx1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cebpa	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cybb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Pik3cg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cxcl12	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Itm2c	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Fgr	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Serpine2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ncf2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Hp	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ctsc	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Nfkbiz	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Il18rap	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	B2m	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cd72	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ptpn6	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Csf2rb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Junb	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Ccr5	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Elf4	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Tgfbi	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Fcgr1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Prkcd	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Npc2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cd74	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Retnlg	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Fcgr2b	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Srgn	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Lcp2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Lrg1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Cyth4	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Prex1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Lrrc25	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Rasal3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Ptafr	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Epha2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Osm	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Slco2b1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Csf1r	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	E2f8	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Tspan14	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Rps6ka1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Ncf1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Cd68	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Lsp1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	P2ry6	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Ly6h	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Arhgef19	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Rac2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Myo1g	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Aif1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Rhoh	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Cadm1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Grn	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Capn3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Cmklr1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Spint1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Fli1	Selplg	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Fcgr4	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Tmem119	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Arpc1b	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Cd52	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Rxfp3	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Plcb2	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Tmbim6	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Lcn2	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Tnf	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	C1qa	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Fgl2	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	S100a8	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Pgd	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Fgfr4	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	H2-Aa	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Hk3	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Socs3	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Wdfy4	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Nmnat2	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Klhl6	regulates via homer-M00053	homer-M00053	3.90269	mm9
Fli1	Ctsd	regulates via homer-M00053	homer-M00053	3.90269	mm9
Fli1	Ddost	regulates via homer-M00053	homer-M00053	3.90269	mm9
Fli1	Ms4a6c	regulates via homer-M00053	homer-M00053	3.90269	mm9
Fli1	Sparcl1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	Naglu	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	Ucp2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	Gna15	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	H2-D1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	Calr	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Fli1	Apobr	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Fli1	Hspbp1	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Fli1	Ccrl2	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
Fli1	Plau	regulates via transfac_pro-M02042	transfac_pro-M02042	3.64962	mm9
