"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",5.64320411033283e-11,2.21103979320454,26,10.24847424135
"GO:0007165","signal transduction","GO:0007165",3.12153818118886e-10,2.18882282266781,27,9.50563134861409
"GO:0006954","inflammatory response","GO:0006954",3.52941991871326e-09,2.10663146769081,22,8.45229666764434
"GO:0045087","innate immune response","GO:0045087",4.51186397873695e-09,2.07690497453386,16,8.34564400170521
"GO:0009617","response to bacterium","GO:0009617",2.87748095293051e-07,1.93365057308472,10,6.54098754243824
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",5.21113386800155e-07,2.0299410722774,16,6.28306777016703
"GO:0019882","antigen processing and presentation","GO:0019882",7.55885493480418e-07,1.7753222548603,6,6.12154398930843
"GO:0010628","positive regulation of gene expression","GO:0010628",9.36151014783132e-07,2.01876990313781,16,6.02865408759008
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",2.02743920489482e-06,1.7243043398795,5,5.69305215974298
"GO:0006955","immune response","GO:0006955",2.91301599564419e-06,1.99826774991862,14,5.53565713061403
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",3.19881742350892e-06,1.91101070474632,10,5.49501054710733
"GO:0030593","neutrophil chemotaxis","GO:0030593",3.76896006970959e-06,1.7686071974205,6,5.42377846366386
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",4.22679945139944e-06,1.95780399097047,12,5.37398835761616
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",6.10657146471945e-06,1.9726412218646,13,5.21420255602145
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",6.10657146471945e-06,1.9726412218646,13,5.21420255602145
"GO:0032496","response to lipopolysaccharide","GO:0032496",1.26060743335003e-05,1.93649021002502,12,4.89942013632402
"GO:0050778","positive regulation of immune response","GO:0050778",1.31240144302727e-05,1.6618551527431,4,4.88193330076509
"GO:0050870","positive regulation of T cell activation","GO:0050870",1.31240144302727e-05,1.6618551527431,4,4.88193330076509
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",1.38526593643512e-05,1.82830691939392,8,4.85846684491033
"GO:0030335","positive regulation of cell migration","GO:0030335",1.80786117033577e-05,1.94293252168352,11,4.74283492301555
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",2.29373484703542e-05,1.65969465462461,4,4.63945678744826
"GO:0006911","phagocytosis, engulfment","GO:0006911",3.22072692098407e-05,1.70861254271471,5,4.49204609658279
"GO:0007015","actin filament organization","GO:0007015",3.47684505194722e-05,1.7080521213874,5,4.45881466352547
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",3.73264602953589e-05,1.7925313230833,7,4.4279831926904
"GO:0006935","chemotaxis","GO:0006935",4.30411930352281e-05,1.92709829761482,11,4.36611569920423
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",4.30600871552945e-05,1.87370400098214,10,4.36592509548269
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",4.42160455211228e-05,1.87280592692526,10,4.35442010131297
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",4.99958432114686e-05,1.86959003653628,10,4.30106610257132
"GO:0042742","defense response to bacterium","GO:0042742",5.23077645392997e-05,1.86850857624512,10,4.28143383988447
"GO:0006915","apoptotic process","GO:0006915",6.01101796439881e-05,1.91980571426757,11,4.22105197410631
"GO:0043066","negative regulation of apoptotic process","GO:0043066",6.01101796439881e-05,1.91980571426757,11,4.22105197410631
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",6.90983730741162e-05,1.91688868092868,11,4.16053217799848
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",7.1402277692002e-05,1.65310513536321,4,4.14628793425617
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000105878571841888,1.74035764543238,6,3.97519192537381
"GO:0002250","adaptive immune response","GO:0002250",0.000130572985963574,1.73688433986007,6,3.88414666425913
"GO:0050776","regulation of immune response","GO:0050776",0.000130572985963574,1.73688433986007,6,3.88414666425913
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.000135049453536478,1.69572285218649,5,3.86950716880028
"GO:0001525","angiogenesis","GO:0001525",0.000137894628154543,1.73595812504078,6,3.86045265194076
"GO:0016477","cell migration","GO:0016477",0.000137894628154543,1.73595812504078,6,3.86045265194076
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.00018314751131025,1.46294903580692,2,3.73719897834571
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.00018314751131025,1.46294903580692,2,3.73719897834571
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000202988778407185,1.64543536704257,4,3.69252797002049
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.000211111435006181,1.73074816668232,6,3.67548824217513
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",0.00022263922161863,1.54104086011463,3,3.65239832503246
"GO:0030154","cell differentiation","GO:0030154",0.000233830297432111,1.81788852154393,9,3.63109921791711
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.000247719976784099,1.72808529907688,6,3.60603896936381
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000252424912936667,1.81476693262721,9,3.5978677848598
"GO:0035556","intracellular signal transduction","GO:0035556",0.000270951010095057,1.81177020726715,9,3.56710922561527
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000272622720573035,1.54023948681244,3,3.56443795257947
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000324549413573863,1.53903742685915,3,3.48871917125591
"GO:0006897","endocytosis","GO:0006897",0.000343919309882966,1.7216017953419,6,3.46354343935628
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00036358186591401,1.8051524387637,9,3.43939778587328
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.000366034858470266,1.75856743469061,7,3.43647755362088
"GO:0050829","defense response to Gram-negative bacterium","GO:0050829",0.000373601414196002,1.68148815047272,5,3.42759148850094
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.00037895718715715,1.77461592082453,8,3.42140985185689
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000467904736207909,1.46068016492748,2,3.32984255878613
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.000505647444844827,1.76813386404963,8,3.29615218300971
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.000524566226794803,1.67554768440319,5,3.28019967407508
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000525927154375386,1.75193309167854,7,3.27907440535893
"GO:0007155","cell adhesion","GO:0007155",0.000526137896529937,1.71407629993523,6,3.27890041582098
"GO:0042554","superoxide anion generation","GO:0042554",0.000575627148577889,1.63204027870793,4,3.23985873141451
"GO:0030316","osteoclast differentiation","GO:0030316",0.000592495936637249,1.70956100269122,6,3.22731462371798
"GO:0071333","cellular response to glucose stimulus","GO:0071333",0.000594975512295157,1.63139212927238,4,3.22550090837891
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.000598702511455061,1.53603227697593,3,3.22278892005911
"GO:0006508","proteolysis","GO:0006508",0.000721400092621066,1.74214175351621,7,3.14182380625828
"GO:0010467","gene expression","GO:0010467",0.000721400092621066,1.74166412726439,7,3.14182380625828
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.000816780738014167,1.45869490290796,2,3.0878945126851
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.000816780738014167,1.45869490290796,2,3.0878945126851
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00084431894399174,1.53292695542994,3,3.07349346634827
"GO:0006952","defense response","GO:0006952",0.000870332415810305,1.73676721945609,7,3.060314840739
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.000907565540519391,1.73545498599072,7,3.04212200226087
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.000907565540519391,1.73545498599072,7,3.04212200226087
"GO:0001774","microglial cell activation","GO:0001774",0.00091480806176873,1.69983574708875,6,3.03867001681753
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",0.0009527272343512,1.69867797856465,6,3.021031420004
"GO:0006968","cellular defense response","GO:0006968",0.000974865317048344,1.4581276851881,2,3.01105538030456
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.000974865317048344,1.4581276851881,2,3.01105538030456
"GO:0032956","regulation of actin cytoskeleton organization","GO:0032956",0.00101817887797883,1.7325892284798,7,2.99217591660175
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.00101817887797883,1.7325892284798,7,2.99217591660175
"GO:0050728","negative regulation of inflammatory response","GO:0050728",0.00101817887797883,1.7325892284798,7,2.99217591660175
"GO:0006909","phagocytosis","GO:0006909",0.00101825621200022,1.69613088781162,6,2.99214293176572
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00111944440833839,1.53022232053504,3,2.95099746863372
"GO:0030217","T cell differentiation","GO:0030217",0.00119167434217142,1.62058963867993,4,2.92384241130819
"GO:0045892","negative regulation of DNA-templated transcription","GO:0045892",0.00120162994777274,1.72626068064317,7,2.92022925644645
"GO:0010595","positive regulation of endothelial cell migration","GO:0010595",0.0012679399221051,1.61972543943253,4,2.89690132383312
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","GO:0042590",0.00136148047699438,1.52912043224453,3,2.86598858186306
"GO:0001819","positive regulation of cytokine production","GO:0001819",0.00156006805783447,1.68304810348925,6,2.80685645517295
"GO:0045785","positive regulation of cell adhesion","GO:0045785",0.00156006805783447,1.68304810348925,6,2.80685645517295
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.00156006805783447,1.68304810348925,6,2.80685645517295
"GO:0043547","positive regulation of GTPase activity","GO:0043547",0.00166833536340575,1.6156204930074,4,2.77771664444356
"GO:0002523","leukocyte migration involved in inflammatory response","GO:0002523",0.00167206513839836,1.45548066916209,2,2.77674680782049
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.00172553482076873,1.61486431866593,4,2.76307627235329
"GO:0016064","immunoglobulin mediated immune response","GO:0016064",0.00172821719407934,1.67992212847417,6,2.76240167837178
"GO:0016192","vesicle-mediated transport","GO:0016192",0.00172821719407934,1.67993265489694,6,2.76240167837178
"GO:0060326","cell chemotaxis","GO:0060326",0.00172821719407934,1.67992212847417,6,2.76240167837178
"GO:0038095","Fc-epsilon receptor signaling pathway","GO:0038095",0.00177591881952376,1.45491345144223,2,2.75057689049361
"GO:0006887","exocytosis","GO:0006887",0.00180521514403722,1.52651596901241,3,2.74347103181918
"GO:0006958","complement activation, classical pathway","GO:0006958",0.00180521514403722,1.52631562568686,3,2.74347103181918
"GO:0031640","killing of cells of another organism","GO:0031640",0.00180521514403722,1.52641579734963,3,2.74347103181918
"GO:0050921","positive regulation of chemotaxis","GO:0050921",0.00180521514403722,1.52641579734963,3,2.74347103181918
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.00180521514403722,1.52641579734963,3,2.74347103181918
"GO:0090026","positive regulation of monocyte chemotaxis","GO:0090026",0.00180521514403722,1.52641579734963,3,2.74347103181918
"GO:0098883","synapse pruning","GO:0098883",0.00180521514403722,1.52631562568686,3,2.74347103181918
