"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0007165","signal transduction","GO:0007165",4.5842151774771e-08,2.16240512024298,25,7.33873500530819
"GO:0002376","immune system process","GO:0002376",9.38524491096389e-08,2.13111739051002,20,7.02755438984153
"GO:0006954","inflammatory response","GO:0006954",1.63368309355624e-06,2.05666978553703,18,5.78683218529928
"GO:0009617","response to bacterium","GO:0009617",3.73126813268323e-06,1.9078446685989,9,5.42814354099922
"GO:0019882","antigen processing and presentation","GO:0019882",2.02246816385838e-05,1.72847498870528,5,4.6941183059923
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",3.92418605463438e-05,1.72362795436888,5,4.40625040990945
"GO:0030593","neutrophil chemotaxis","GO:0030593",4.72754753594872e-05,1.72193712843758,5,4.32536409558786
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",5.41592375834322e-05,1.99452400428387,14,4.26632745797946
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",6.0989399196387e-05,1.97797876316061,13,4.2147456448351
"GO:0045087","innate immune response","GO:0045087",6.36371425746733e-05,1.93685261035244,11,4.19628932921264
"GO:0007015","actin filament organization","GO:0007015",8.22115561584667e-05,1.7177664244737,5,4.085067131084
"GO:0032722","positive regulation of chemokine production","GO:0032722",8.4647410210729e-05,1.71697737237243,5,4.07238632460047
"GO:0006935","chemotaxis","GO:0006935",9.53386235137364e-05,1.86215387025566,9,4.02073112264921
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",9.91323636194151e-05,1.82871126990773,8,4.00378453878655
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000122291406072384,1.96709355293478,13,3.91260406157762
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.000123422928048369,1.94567725864148,10,3.90860415472794
"GO:0006955","immune response","GO:0006955",0.000138713887127632,1.94366670677817,10,3.85788005802554
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000142354875977651,1.64128581755498,4,3.8466276526904
"GO:0030335","positive regulation of cell migration","GO:0030335",0.000145049700928002,1.91837911693194,11,3.83848316231428
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",0.000176418539108668,1.56419303850142,3,3.75345577856059
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000176418539108668,1.56419303850142,3,3.75345577856059
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.000196688663357375,1.84781203633125,9,3.70622067100705
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.000218664833194433,1.84501982087694,9,3.66022105682363
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000232262408944896,1.56277012085756,3,3.63402107392278
"GO:0035556","intracellular signal transduction","GO:0035556",0.000253378018490099,1.8415930110012,9,3.59623106452179
"GO:0006915","apoptotic process","GO:0006915",0.000275033752857174,1.83765852558831,9,3.56061400515117
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000314014159129532,1.834866310134,9,3.50305076882747
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.00034771490549191,1.702999878007,5,3.45877669201983
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000389009874057157,1.63495791693185,4,3.41003937503904
"GO:0042742","defense response to bacterium","GO:0042742",0.000389406027201767,1.80741484407465,8,3.40959733078155
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000398461981322739,1.77791570230235,7,3.39961310987495
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000445592479696231,1.63367088629664,4,3.35106214739894
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.000453951366410521,1.92485316843389,10,3.34299067232111
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.00045775455382988,1.55850136792597,3,3.33936732656018
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.000541774172848847,1.76680930148188,6,3.26618170224966
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.000621688124289902,1.79355534497967,8,3.20642742860197
"GO:0030154","cell differentiation","GO:0030154",0.000690287159686924,1.79046451772607,8,3.1609702050254
"GO:0001525","angiogenesis","GO:0001525",0.000702959934141357,1.76234291288047,6,3.15306942729481
"GO:0016477","cell migration","GO:0016477",0.000702959934141357,1.76234291288047,6,3.15306942729481
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.000732663259875953,1.76572015603623,7,3.13509558604145
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.000792507827824543,1.76022725512191,6,3.10099643943928
"GO:0042110","T cell activation","GO:0042110",0.000846328349128061,1.44410793938949,2,3.07246111148976
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000846729322288266,1.76158254643436,7,3.07225540032343
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.000852867747640926,1.55260642340141,3,3.06911830871854
"GO:0002250","adaptive immune response","GO:0002250",0.000853119015309974,1.69105137475914,5,3.06899037787487
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.000853119015309974,1.69105137475914,5,3.06899037787487
"GO:0050776","regulation of immune response","GO:0050776",0.000853119015309974,1.69105137475914,5,3.06899037787487
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00097706443797733,1.75905882878349,7,3.01007679335887
"GO:0043547","positive regulation of GTPase activity","GO:0043547",0.00105660687369563,1.68586617523648,5,2.97608656836196
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.00114471180651934,1.6226238733444,4,2.94130383785889
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.00114471180651934,1.6226238733444,4,2.94130383785889
"GO:0045471","response to ethanol","GO:0045471",0.00117680802262981,1.44270598358787,2,2.92929437956334
"GO:0050870","positive regulation of T cell activation","GO:0050870",0.00117680802262981,1.44270598358787,2,2.92929437956334
"GO:0006887","exocytosis","GO:0006887",0.00125337485255733,1.54884585534263,3,2.90191902313944
"GO:0050921","positive regulation of chemotaxis","GO:0050921",0.00125337485255733,1.54874421836807,3,2.90191902313944
"GO:0090026","positive regulation of monocyte chemotaxis","GO:0090026",0.00125337485255733,1.54874421836807,3,2.90191902313944
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.0012759539352527,1.77792056684977,8,2.89416500431915
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.0012759539352527,1.77792056684977,8,2.89416500431915
"GO:1905146","lysosomal protein catabolic process","GO:1905146",0.0012922384223545,1.54854094441895,3,2.88865735014892
"GO:0042554","superoxide anion generation","GO:0042554",0.0013095470116896,1.62037156973277,4,2.88287890613459
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.00132945292213264,1.89630190009895,10,2.87632703706127
"GO:0071333","cellular response to glucose stimulus","GO:0071333",0.0013828072204709,1.61972805441517,4,2.85923836141016
"GO:0006886","intracellular protein transport","GO:0006886",0.00138939743923165,1.5468131158514,3,2.85717350589969
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.00144286287970051,1.44214520126722,2,2.84077493946713
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.00144286287970051,1.44214520126722,2,2.84077493946713
