"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",5.07415097668891e-09,2.14677732522804,26,8.29463661488973
"GO:0007165","signal transduction","GO:0007165",8.67408283390512e-07,2.06761999190651,21,6.06177643483469
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",9.32484859458823e-07,1.94229682676034,14,6.03035821100117
"GO:0019882","antigen processing and presentation","GO:0019882",2.01374029134823e-06,1.68327015587778,5,5.69599654038976
"GO:0045087","innate immune response","GO:0045087",3.08111694293281e-06,1.97332697331836,16,5.5112918178445
"GO:0006955","immune response","GO:0006955",3.44796693629232e-06,1.88938274301071,12,5.46243690742234
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",3.91003564693637e-06,1.92115186572872,14,5.40781928321866
"GO:0006954","inflammatory response","GO:0006954",4.03816170150461e-06,2.02050233320477,18,5.39381629444015
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",1.40235184070215e-05,1.78694831228343,8,4.85314301111594
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",2.02263316202221e-05,1.85197133700831,10,4.69408287657467
"GO:0009617","response to bacterium","GO:0009617",2.44878521791882e-05,1.83612650746015,9,4.61104930501954
"GO:0032722","positive regulation of chemokine production","GO:0032722",5.6076892947457e-05,1.66643526796992,5,4.2512160573302
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",8.53991504168852e-05,1.61733194359954,4,4.06854644981561
"GO:0030335","positive regulation of cell migration","GO:0030335",0.000100041834845281,1.82790141595799,10,3.99981835156895
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.000131038083629454,1.69365127370598,6,3.88260246689043
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.000131038083629454,1.69365127370598,6,3.88260246689043
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000179556331557909,1.75067478885033,8,3.74579927607297
"GO:0006935","chemotaxis","GO:0006935",0.000179556331557909,1.75067478885033,8,3.74579927607297
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.000179556331557909,1.75067478885033,8,3.74579927607297
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.000207581457717582,1.43806428681247,2,3.6828114425894
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.000231480264072384,1.7307952525901,7,3.63548603086563
"GO:0016192","vesicle-mediated transport","GO:0016192",0.000254233329640621,1.6117527589464,4,3.59476751463903
"GO:0007015","actin filament organization","GO:0007015",0.000292972552815479,1.61091061786668,4,3.53317306469413
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000340354897455405,1.73456648074681,8,3.46806799583783
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.000510868285882288,1.72764587430234,8,3.29169105698465
"GO:0006952","defense response","GO:0006952",0.000515747919129411,1.71637388166797,7,3.28756251558445
"GO:0042554","superoxide anion generation","GO:0042554",0.000522044071372099,1.54611151230197,3,3.2822928319675
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.000597900457820459,1.71395109135305,7,3.22337111403457
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","GO:0002476",0.000616619727766117,1.64293201537129,5,3.20998258482698
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","GO:0002486",0.000616619727766117,1.64293201537129,5,3.20998258482698
"GO:0006508","proteolysis","GO:0006508",0.000634412774116449,1.71279738167928,7,3.19762808093567
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.000653754652037305,1.60648937719816,4,3.18458520772782
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.000664418783703038,1.64107361865419,5,3.17755809816034
"GO:0050776","regulation of immune response","GO:0050776",0.000673978602451314,1.63998044411472,5,3.17135389127601
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000756226303988979,1.54440265749999,3,3.12134822054848
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","GO:0042590",0.000756226303988979,1.54440265749999,3,3.12134822054848
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000844628915995129,1.60469982740376,4,3.07333405452115
"GO:0042127","regulation of cell population proliferation","GO:0042127",0.000845187805193067,1.66401322160772,6,3.0730467778
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.000873260105047477,1.60406822159397,4,3.05885638016387
"GO:0001774","microglial cell activation","GO:0001774",0.000892347569667227,1.603962953959,4,3.04946595483053
"GO:0006968","cellular defense response","GO:0006968",0.00101172284011704,1.43434451369603,2,2.99493844549396
"GO:0045730","respiratory burst","GO:0045730",0.00101172284011704,1.43434451369603,2,2.99493844549396
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.00101172284011704,1.43434451369603,2,2.99493844549396
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.00123234283249458,1.69691228897395,7,2.90926845649921
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00125033292162465,1.69560710754011,7,2.90297433357308
"GO:0051607","defense response to virus","GO:0051607",0.00127921850067209,1.65432169126381,6,2.89305526824111
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.00129762420699139,1.6534201535574,6,2.88685106135678
"GO:0098586","cellular response to virus","GO:0098586",0.00166348671744867,1.53686359219717,3,2.7789806625209
"GO:0010977","negative regulation of neuron projection development","GO:0010977",0.00179630247159845,1.59712055768629,4,2.74562053254299
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.00179630247159845,1.59733109295622,4,2.74562053254299
"GO:0030154","cell differentiation","GO:0030154",0.00184603720663546,1.7733956363349,9,2.73375955007412
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00195194964694821,1.53555682087802,3,2.70953138970959
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.00198152250501689,1.77071587096645,9,2.70300099082959
