Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Jun	Tmem119	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Prkcd	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Ptafr	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lsp1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	P2ry6	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Vasp	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Arhgef19	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Itm2c	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Elf4	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Aif1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lgals9	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lcn2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Csf1r	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Sla	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Tspan14	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Ccrl2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Plau	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Rac2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Osm	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Abcc3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lcp2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Fgr	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Slco2b1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	C1qa	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Cd180	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	S100a9	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Arpc1b	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Rin3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	C1qb	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Socs3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Tnfaip2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Cyth4	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Arhgap25	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Ly6h	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Rasal3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Hck	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Rps6ka1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Laptm5	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lrrc25	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Cmklr1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Cd74	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Serpine2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	C1qc	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Lrp5	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Plcb2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Spint1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	C3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Nfkbia	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Gna15	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
