"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",2.05618534035192e-06,1.98768557377483,13,5.68693774149374
"GO:0007165","signal transduction","GO:0007165",3.88553457081633e-05,1.92676224828504,11,4.41054922263278
"GO:0006954","inflammatory response","GO:0006954",6.50628231305626e-05,1.91834499341199,11,4.18666709624284
"GO:0045087","innate immune response","GO:0045087",0.000142009730661543,1.90800178929314,10,3.84768189626606
"GO:0010628","positive regulation of gene expression","GO:0010628",0.00032097352522395,1.70711722078422,5,3.493530787917
"GO:0030595","leukocyte chemotaxis","GO:0030595",0.000377635691579344,1.45360063387324,2,3.42292696584794
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.00038497861766972,1.78601599976666,7,3.41456339123418
"GO:0006935","chemotaxis","GO:0006935",0.000663298347305563,1.77524739167918,7,3.17829108480168
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000730104275317159,1.77258548855644,7,3.13661510842647
"GO:0006958","complement activation, classical pathway","GO:0006958",0.00115020451721082,1.64495903859587,4,2.93922493112546
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.00116953523433883,1.64441924761385,4,2.93198668976041
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00161672527205694,1.44626633997052,2,2.79136377289908
"GO:0002430","complement receptor mediated signaling pathway","GO:0002430",0.00183085812241111,1.4459842517435,2,2.73734530891584
"GO:0001934","positive regulation of protein phosphorylation","GO:0001934",0.00191463938658737,1.53594892679835,3,2.71791301133655
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.00193792466211749,1.44579619292548,2,2.7126631103929
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.00193792466211749,1.44579619292548,2,2.7126631103929
"GO:0001774","microglial cell activation","GO:0001774",0.00199318801977106,1.53524362356511,3,2.70045173185767
"GO:0098883","synapse pruning","GO:0098883",0.00199318801977106,1.53524362356511,3,2.70045173185767
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.00267989674502763,1.4429753106552,2,2.57188193878039
