"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.000414841831341656,1.6335217120786,4,3.38211745718931
"GO:0006954","inflammatory response","GO:0006954",0.000572807074108389,1.63028059757051,4,3.24199162717494
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00201630374366566,1.75482543986128,6,2.69544404352543
"GO:0006955","immune response","GO:0006955",0.00309966705278818,1.59473637513176,4,2.50868495290845
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.00309966705278818,1.59473637513176,4,2.50868495290845
"GO:0009611","response to wounding","GO:0009611",0.00317258292158166,1.4420811785147,2,2.4985870179599
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.0036246288166008,1.55601614165863,3,2.44073646113597
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00418482849883786,1.72616938042284,6,2.37832233540896
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00423508935262409,1.5878219975145,4,2.37313742241894
"GO:0007015","actin filament organization","GO:0007015",0.00455843881902556,1.43926204418944,2,2.34118386969796
"GO:0007165","signal transduction","GO:0007165",0.00520044862558804,1.67569057216222,5,2.28395918959344
"GO:0007596","blood coagulation","GO:0007596",0.00576861553942065,1.43681879444088,2,2.23892840447607
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0048711","positive regulation of astrocyte differentiation","GO:0048711",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0071466","cellular response to xenobiotic stimulus","GO:0071466",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00649472380403112,1.43550319842243,2,2.18743931309529
"GO:0030154","cell differentiation","GO:0030154",0.00655871678663676,1.57291287077727,4,2.18318112205671
"GO:0010628","positive regulation of gene expression","GO:0010628",0.00849445512516345,1.56189308144976,4,2.07086447361944
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.00849445512516345,1.56189308144976,4,2.07086447361944
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00968383846616138,1.65361492162111,5,2.0139524635343
"GO:0006935","chemotaxis","GO:0006935",0.0107304996232635,1.53707014778925,3,1.96938005635886
"GO:0006811","monoatomic ion transport","GO:0006811",0.0112100750254205,1.42657593972577,2,1.95039148080225
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.0113690805346383,1.42591814171654,2,1.94427465711348
"GO:0032743","positive regulation of interleukin-2 production","GO:0032743",0.0113690805346383,1.42591814171654,2,1.94427465711348
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.0113690805346383,1.42591814171654,2,1.94427465711348
"GO:0007399","nervous system development","GO:0007399",0.0131181432386345,1.42084369993107,2,1.88212763129273
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.0131181432386345,1.42084369993107,2,1.88212763129273
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.0143901907276975,1.41802456560581,2,1.84193344988288
"GO:0070098","chemokine-mediated signaling pathway","GO:0070098",0.0143901907276975,1.41802456560581,2,1.84193344988288
"GO:0007179","transforming growth factor beta receptor signaling pathway","GO:0007179",0.0252271495421842,1.40289521139358,2,1.5981318183701
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.0301473252670537,1.49225166766816,3,1.5207512133178
"GO:0002376","immune system process","GO:0002376",0.0334032556057839,1.48298239109766,3,1.47621120316678
"GO:0008360","regulation of cell shape","GO:0008360",0.0334032556057839,1.48298239109766,3,1.47621120316678
"GO:0030335","positive regulation of cell migration","GO:0030335",0.0334032556057839,1.48298239109766,3,1.47621120316678
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.0334032556057839,1.48298239109766,3,1.47621120316678
"GO:0032956","regulation of actin cytoskeleton organization","GO:0032956",0.0357680281743338,1.47799124217509,3,1.44650500104785
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.0357680281743338,1.47799124217509,3,1.44650500104785
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.0357680281743338,1.47799124217509,3,1.44650500104785
"GO:0046627","negative regulation of insulin receptor signaling pathway","GO:0046627",0.0357680281743338,1.47799124217509,3,1.44650500104785
"GO:0006915","apoptotic process","GO:0006915",0.0369504158418827,1.47483357653019,3,1.43238066966919
"GO:0045892","negative regulation of DNA-templated transcription","GO:0045892",0.038132804317253,1.47259265252414,3,1.41870125518464
