"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",2.4540969187047e-12,2.34617830824891,37,11.6101082898456
"GO:0007165","signal transduction","GO:0007165",3.19928113365908e-10,2.26267064034956,31,9.49494759504181
"GO:0006954","inflammatory response","GO:0006954",2.23554422988237e-09,2.21415956631191,27,8.6506167332646
"GO:0045087","innate immune response","GO:0045087",3.10115518886273e-09,2.19336566203114,23,8.5084765001347
"GO:0009617","response to bacterium","GO:0009617",8.75404513561563e-09,2.0678206833383,14,8.05779121850674
"GO:0019882","antigen processing and presentation","GO:0019882",9.53267373826197e-09,1.88282575674587,8,8.02078527072454
"GO:0006955","immune response","GO:0006955",8.75675468319516e-07,2.13501881785784,21,6.05765681669942
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",1.35618091957207e-06,2.05035840869174,16,5.86768237010711
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",2.38497538016595e-06,1.78552864578772,6,5.62251609977408
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",2.67283024649327e-06,2.0373072633587,16,5.57302862274451
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",3.25907772034111e-06,1.93819378706862,11,5.48690528264231
"GO:0045766","positive regulation of angiogenesis","GO:0045766",4.83613783235884e-06,1.84574388779209,8,5.31550133002387
"GO:0030335","positive regulation of cell migration","GO:0030335",5.87286809327343e-06,2.00399323414637,14,5.23114975345754
"GO:0032496","response to lipopolysaccharide","GO:0032496",7.45606231796859e-06,1.99972786546626,14,5.12749047079399
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",7.59807829937288e-06,1.99931518172158,14,5.11929623528638
"GO:0030593","neutrophil chemotaxis","GO:0030593",8.66894839525764e-06,1.81979299954801,7,5.06203358232038
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",9.79237374841327e-06,2.07038148351511,17,5.00911201903676
"GO:0032722","positive regulation of chemokine production","GO:0032722",1.22094700625284e-05,1.83555251321207,8,4.91330318567954
"GO:0010628","positive regulation of gene expression","GO:0010628",2.19612414286929e-05,2.05898776275559,17,4.65834311365763
"GO:0002250","adaptive immune response","GO:0002250",2.31315843257936e-05,1.82781689154291,8,4.63579462056333
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",4.45483068109947e-05,1.97227676647524,13,4.35116879794845
"GO:0050778","positive regulation of immune response","GO:0050778",5.2424736665863e-05,1.73114776434978,5,4.28046374235713
"GO:0050870","positive regulation of T cell activation","GO:0050870",5.2424736665863e-05,1.73114776434978,5,4.28046374235713
"GO:0042742","defense response to bacterium","GO:0042742",5.38820228108878e-05,1.90077248967096,11,4.26855610858535
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",7.32535003595847e-05,1.65879325585149,4,4.13517161806558
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",8.22136705947057e-05,1.76858330112541,6,4.08505596141121
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000101294623200207,2.03419566618588,15,3.99441360672713
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000115726274363072,1.95302282658158,13,3.93656802812301
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.000117799156871021,1.8861380977148,11,3.92885781793239
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.000119677931302776,1.90100967887919,10,3.92198592642776
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000144371719581769,1.65663673835818,4,3.84051787070298
"GO:0032757","positive regulation of interleukin-8 production","GO:0032757",0.000167571379994022,1.79317232191158,8,3.7758001537967
"GO:0030154","cell differentiation","GO:0030154",0.0001960937246604,1.78766533145057,8,3.70753630428718
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.00024125420251241,1.781648736819,8,3.61752511275286
"GO:0048002","antigen processing and presentation of peptide antigen","GO:0048002",0.000270980905435344,1.45271808661051,2,3.56706131044009
"GO:0006952","defense response","GO:0006952",0.000277123674991347,1.94974462998522,12,3.55732637036035
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.00032040610888788,1.78000438591558,7,3.49429921221637
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.000363216482796224,1.75593232463095,6,3.43983445138163
"GO:0007015","actin filament organization","GO:0007015",0.000387067890156494,1.6500593600036,4,3.41221285478865
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000387067890156494,1.6500593600036,4,3.41221285478865
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.000387858866050103,1.77406463285226,7,3.41132627658636
"GO:0048260","positive regulation of receptor-mediated endocytosis","GO:0048260",0.000485756160307168,1.45130986822488,2,3.31358168301754
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000587110886408173,1.45055881841922,2,3.23127986671284
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","GO:0042590",0.000591087696994242,1.64596197676631,4,3.22834808004059
"GO:0006935","chemotaxis","GO:0006935",0.000606375885488112,1.93361841252535,12,3.21725807816704
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000606375885488112,1.93361841252535,12,3.21725807816704
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.000668767811260719,1.83504039902169,9,3.17472463827279
"GO:0140367","antibacterial innate immune response","GO:0140367",0.000671918352822863,1.644452414521,4,3.17268349639971
"GO:0007155","cell adhesion","GO:0007155",0.000678950917275368,1.76368390667114,7,3.16816162060455
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.000691601275837098,1.53333599001156,3,3.16014421422909
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000712333754401675,1.64369763339834,4,3.14731647583926
"GO:0090026","positive regulation of monocyte chemotaxis","GO:0090026",0.000762853059887512,1.64305067815035,4,3.11755910742605
"GO:0031640","killing of cells of another organism","GO:0031640",0.000771303261071767,1.71471851489612,5,3.11277483243564
"GO:0006958","complement activation, classical pathway","GO:0006958",0.000772956927187083,1.64294285227568,4,3.11184470634838
"GO:0042127","regulation of cell population proliferation","GO:0042127",0.00077390763468925,1.75903793082783,7,3.11131086895336
"GO:0050918","positive chemotaxis","GO:0050918",0.000798677411712142,1.44915060003359,2,3.09762859816111
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.00081060481949207,1.71404334026104,5,3.09119081846678
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000839421831000066,1.53253862340209,3,3.07601974020009
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.000851569206342747,1.44858731267934,2,3.06978005150476
"GO:0006915","apoptotic process","GO:0006915",0.000906907545682691,1.92630115556313,12,3.04243698465592
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.000906907545682691,1.92630115556313,12,3.04243698465592
"GO:0006968","cellular defense response","GO:0006968",0.000915039415225965,1.44802402532509,2,3.03856019834179
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.000915039415225965,1.44802402532509,2,3.03856019834179
"GO:0006508","proteolysis","GO:0006508",0.000941465237338285,1.82478458435976,9,3.02619571124039
"GO:0050776","regulation of immune response","GO:0050776",0.000994212865236696,1.74119219605483,6,3.00252062133667
"GO:0050829","defense response to Gram-negative bacterium","GO:0050829",0.000994212865236696,1.74119219605483,6,3.00252062133667
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.00100836003291213,1.53134257348789,3,2.99638437623409
"GO:0001798","positive regulation of type IIa hypersensitivity","GO:0001798",0.00100836003291213,1.53134257348789,3,2.99638437623409
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.00103112600053576,1.82090738613391,9,2.98668826197752
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.00105848166894839,1.85768874037825,10,2.97531665880045
"GO:0001525","angiogenesis","GO:0001525",0.00106996020797178,1.74026368401853,6,2.9706323735107
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.00123637386189359,1.85423840014366,10,2.90785018490554
"GO:0035556","intracellular signal transduction","GO:0035556",0.00130010931405803,1.81477891151886,9,2.88602013038832
"GO:0010977","negative regulation of neuron projection development","GO:0010977",0.00138399035849566,1.63593417042244,4,2.85886693536099
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.00140466176077965,1.52835244870237,3,2.85242824025113
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","GO:0043123",0.00144869859028819,1.7350408038144,6,2.83902196248671
"GO:0010467","gene expression","GO:0010467",0.00154397104885153,1.73759496539718,7,2.81136084742121
"GO:0002523","leukocyte migration involved in inflammatory response","GO:0002523",0.00161577073676431,1.44539535100526,2,2.79162026164417
"GO:0098586","cellular response to virus","GO:0098586",0.0016556743161185,1.7024528423588,5,2.78102508821726
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00169461971749257,1.80815015326176,9,2.77092774473168
"GO:0006811","monoatomic ion transport","GO:0006811",0.00171381641791122,1.73237133171006,6,2.76603570105822
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00171381641791122,1.73237133171006,6,2.76603570105822
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.00184199463727493,1.6310820060625,4,2.73471163852858
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.00184199463727493,1.6310820060625,4,2.73471163852858
"GO:0001819","positive regulation of cytokine production","GO:0001819",0.00184340449003948,1.73175771369661,7,2.73437935901982
"GO:0038095","Fc-epsilon receptor signaling pathway","GO:0038095",0.00184510295411586,1.44483206365101,2,2.73397939581552
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.0018621190965068,1.73140033093944,7,2.7299925460713
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.0018621190965068,1.73140033093944,7,2.7299925460713
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00200813669422123,1.52526265309067,3,2.69720672801834
"GO:0042554","superoxide anion generation","GO:0042554",0.00202121406905017,1.62903331444386,4,2.69438768743282
"GO:0032956","regulation of actin cytoskeleton organization","GO:0032956",0.00204708157926884,1.72854126888202,7,2.68886484970666
"GO:0050728","negative regulation of inflammatory response","GO:0050728",0.00204708157926884,1.72854126888202,7,2.68886484970666
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.00207999678317085,1.69738903259569,5,2.68193733669696
"GO:0042110","T cell activation","GO:0042110",0.00211218431945888,1.52486396978594,3,2.67526818583942
"GO:0002430","complement receptor mediated signaling pathway","GO:0002430",0.00211613232753264,1.44370548894251,2,2.67445717816788
"GO:0071346","cellular response to type II interferon","GO:0071346",0.00214605365213732,1.72587174745602,6,2.66835942471121
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus","GO:0036006",0.00228048714251257,1.44351772649109,2,2.64197237198765
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00231724460092919,1.52257154078371,3,2.63502812105377
"GO:0045892","negative regulation of DNA-templated transcription","GO:0045892",0.00234214892215376,1.72222750683855,7,2.63038549439884
"GO:0060100","positive regulation of phagocytosis, engulfment","GO:0060100",0.00260919767776382,1.44239115178259,2,2.58349301667983
"GO:0010976","positive regulation of neuron projection development","GO:0010976",0.00264534199795614,1.52107647839095,3,2.57751817307163
"GO:1902533","positive regulation of intracellular signal transduction","GO:1902533",0.00264534199795614,1.52107647839095,3,2.57751817307163
"GO:0046597","host-mediated suppression of symbiont invasion","GO:0046597",0.00269137545987353,1.44229727055689,2,2.57002571183235
"GO:0032680","regulation of tumor necrosis factor production","GO:0032680",0.00272736648820755,1.52027911178148,3,2.56425650008112
"GO:0019731","antibacterial humoral response","GO:0019731",0.00276837875103642,1.52007977012912,3,2.55777449288853
"GO:0071639","positive regulation of monocyte chemotactic protein-1 production","GO:0071639",0.00276837875103642,1.52007977012912,3,2.55777449288853
"GO:0030316","osteoclast differentiation","GO:0030316",0.00304177853397549,1.71380109098424,6,2.51687240927503
"GO:0098883","synapse pruning","GO:0098883",0.00309647721664821,1.51868437856254,3,2.50913211110746
"GO:0071345","cellular response to cytokine stimulus","GO:0071345",0.00314859409236915,1.68816164591623,5,2.50188332374158
"GO:0007041","lysosomal transport","GO:0007041",0.00330771012935051,1.43957471501134,2,2.48047255677956
"GO:0016477","cell migration","GO:0016477",0.0033394157072393,1.68726141306946,5,2.47632951442199
"GO:0006886","intracellular protein transport","GO:0006886",0.00342457619619431,1.51689030369123,3,2.46539316637375
"GO:0060907","positive regulation of macrophage cytokine production","GO:0060907",0.00342457619619431,1.51689030369123,3,2.46539316637375
"GO:0043124","negative regulation of canonical NF-kappaB signal transduction","GO:0043124",0.00346558859750431,1.51549491212466,3,2.46022299397014
"GO:0071356","cellular response to tumor necrosis factor","GO:0071356",0.00353023744116849,1.68523588916421,5,2.45219608330303
"GO:0030217","T cell differentiation","GO:0030217",0.00356115020335035,1.61760377172933,4,2.44840970812566
