name	Regulatory function	ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	is_sig_RGC	is_sig_MN	Specificity	EAE_Combined_Score	symbol	InDegree	OutDegree	BetweennessCentrality	ClosenessCentrality
Elf4	Regulator	ENSMUSG00000031103	51.0107832857104	8.56948087271954	1.21557468848445	7.04973618972257	1.79257318671173e-12	2.00685462764634e-10	13.4981235551286	1.04491203275716	0.524627260305844	1.99172271785497	0.0464014896925196	0.717967655072716	TRUE	TRUE	Both	4.80719645273835	NA	1	0	0	NA
Nr1h2	Regulator	ENSMUSG00000060601	437.134587012442	-1.68696337077032	0.487547210266378	-3.46010260185598	0.000539969600762861	0.00741388449953083	264.857061918011	0.0631175601997269	0.116881908085511	0.540011377582491	0.589189186064989	0.9795258579091	FALSE	TRUE	MN_Only	-1.68696337077032	NA	0	50	0	0.02
Lgals9	Regulated	NA	84.3521409104267	4.62493463270158	0.960507650679001	4.81509400724932	1.47130609414315e-06	5.36676413387454e-05	30.6173781424531	1.12985014474492	0.515326317913019	2.19249455242381	0.028343816017223	0.680127812291005	TRUE	TRUE	Both	2.87739238872325	Lgals9	1	0	0	NA
Lcp2	Regulated	NA	70.0274353501809	4.73667782805226	1.26954738973911	3.73099725645188	0.000190723300887099	0.00330450823941766	24.6629385750453	1.10763159259487	0.561783349025398	1.97163478504023	0.0486513132632554	0.724996727190948	TRUE	TRUE	Both	2.92215471032357	Lcp2	1	0	0	NA
Hck	Regulated	NA	38.4668083559393	5.85181838390687	1.01368101393527	5.77284007834888	7.79464136706021e-09	4.88979355414631e-07	20.2149789284314	1.66270753274492	0.698027579466778	2.3820083642183	0.0172185063550886	0.595562663624651	TRUE	TRUE	Both	3.75726295832589	Hck	1	0	0	NA
Rps6ka1	Regulated	NA	187.35114805947	1.90987392920479	0.687908102724407	2.77635038988621	0.00549729288211076	0.0433410620835536	109.18400886025	0.435154024509188	0.219302043282497	1.98426798946254	0.0472259726845797	0.722455379730796	FALSE	TRUE	MN_Only	1.90987392920479	Rps6ka1	1	0	0	NA
Cyth4	Regulated	NA	161.306687488358	5.97911310320058	1.04505876428858	5.72131760195402	1.05701093930012e-08	6.27907641247916e-07	49.4884777240053	1.3438532086112	0.642514376293595	2.09155352501736	0.0364784736235214	0.696855418224102	TRUE	TRUE	Both	3.66148315590589	Cyth4	1	0	0	NA
Lsp1	Regulated	NA	67.1561411752964	3.99217615535353	1.37418722291295	2.90511808637767	0.00367114566855093	0.0323532663300848	28.1740451097393	1.21587086105228	0.518294253625619	2.34590843434384	0.0189807697956477	0.613525470747555	TRUE	TRUE	Both	2.60402350820291	Lsp1	1	0	0	NA
Abcc3	Regulated	NA	101.492789127972	3.31696986009326	1.45917934871353	2.27317489314637	0.0230156426476885	0.115260270231757	16.6845197175313	1.56204008831602	0.695315534391849	2.24651976125091	0.0246707352294566	0.652203604541191	TRUE	TRUE	Both	2.43950497420464	Abcc3	1	0	0	NA
Nfkbia	Regulated	NA	142.434049361981	4.18573870889011	0.966303259251138	4.33170298125038	1.47960454146638e-05	0.000401008649841746	104.189960198124	0.819333785432412	0.322627034531412	2.53956952684521	0.011098898262281	0.536555242972736	TRUE	TRUE	Both	2.50253624716126	Nfkbia	1	0	0	NA
Tnfaip2	Regulated	NA	126.587795582367	9.98820935090233	1.01805201296507	9.81109925986174	1.00863726043077e-22	3.12334184857648e-20	2.87805254041537	2.64971881365566	1.14105281477352	2.32217017420143	0.0202237742966163	0.627903743539516	TRUE	TRUE	Both	6.318964082279	Tnfaip2	1	0	0	NA
Cd180	Regulated	NA	47.3781237420324	10.1326006843063	1.63741696484972	6.18816153846084	6.08699350828698e-10	4.56650018142313e-08	38.9823962326351	1.6363900958663	0.76698098696708	2.13354714611268	0.0328798684441254	0.689598767559043	TRUE	TRUE	Both	5.8844953900863	Cd180	1	0	0	NA
Plau	Regulated	NA	22.9028107399848	4.82412138760067	1.45597742483891	3.31332155657182	0.000921949166962029	0.011253420513836	7.53698882369621	2.42386570818231	0.810838093078172	2.9893337879337	0.00279586516943618	0.307427787767059	TRUE	TRUE	Both	3.62399354789149	Plau	1	0	0	NA
Prkcd	Regulated	NA	209.986401265956	1.58826287627987	0.76685987590329	2.07112528140691	0.0383470898295614	0.160208324596071	70.1526644432793	0.740655034971372	0.343177221851767	2.15822900766792	0.0309100311470919	0.680309564031789	TRUE	TRUE	Both	1.16445895562562	Prkcd	1	0	0	NA
Sla	Regulated	NA	55.1534633222041	9.18328393075836	1.06283265585429	8.64038555851197	5.60236332852061e-18	1.13245549837901e-15	25.2743815875541	1.50579434313108	0.594787375829946	2.53165148475109	0.0113526767410539	0.539333936819234	TRUE	TRUE	Both	5.34453913694472	Sla	1	0	0	NA
Ly6h	Regulated	NA	118.067178507486	1.51996694508018	0.485723235022552	3.12928605321838	0.00175231628604623	0.0182626652975972	231.220550749214	0.587278941372309	0.27067725830918	2.16966488075438	0.0300322423791822	0.680309564031789	TRUE	TRUE	Both	1.05362294322624	Ly6h	1	0	0	NA
C3	Regulated	NA	555.599898675846	3.8025885961287	0.406811793753593	9.34729192839461	8.99204927480915e-21	2.33696937759951e-18	13.3388916693305	1.32784089880103	0.624635390427242	2.12578556891054	0.0335211181672642	0.690111701055	TRUE	TRUE	Both	2.56521474746486	C3	1	0	0	NA
Aif1	Regulated	NA	150.037247666371	6.5145015477398	1.38500249328045	4.70360275836751	2.55610353345295e-06	8.89988775738618e-05	18.6258278705479	1.58488113760887	0.590095312632033	2.68580533293807	0.00723552309425222	0.446732577560853	TRUE	TRUE	Both	4.04969134267434	Aif1	1	0	0	NA
Cd74	Regulated	NA	2572.31737912772	10.3917574533346	0.525742037310767	19.7658865296175	5.856051908769e-87	4.2614489740112e-83	38.4147034416753	1.78436048653852	0.791624143627771	2.25405010812498	0.0241930158486132	0.645342825670532	TRUE	TRUE	Both	6.08805896993656	Cd74	1	0	0	NA
Csf1r	Regulated	NA	286.369669634884	5.70310824536726	0.840644215341667	6.78421160972282	1.16722140988664e-11	1.14782029726284e-09	588.733075173128	1.43884800702566	0.73219509339032	1.96511560923371	0.0494008583834262	0.724996727190948	TRUE	TRUE	Both	3.57097812619646	Csf1r	1	0	0	NA
Lrp5	Regulated	NA	33.6893667686762	6.1488515207602	1.76697616601448	3.4798723599251	0.000501652719679331	0.00697330819695605	66.0912736811784	0.720235868514748	0.348058979393341	2.06929259451976	0.0385186381531544	0.696855418224102	TRUE	TRUE	Both	3.43454369463747	Lrp5	1	0	0	NA
Itm2c	Regulated	NA	1351.04536480847	1.63184351720635	0.376290453251513	4.33665936274929	1.44664551925405e-05	0.00039354166144343	2481.53191932653	0.265031819070438	0.124065270795868	2.136228917007	0.0326607595375353	0.688780006983938	FALSE	TRUE	MN_Only	1.63184351720635	Itm2c	1	0	0	NA
Serpine2	Regulated	NA	230.240884698543	3.06874104970132	0.627644880276633	4.88929511915843	1.0119768548021e-06	3.87587135389204e-05	152.026619416833	1.00525020195495	0.233989027528109	4.29614248400681	1.73795898679919e-05	0.0179064086858654	TRUE	TRUE	Both	2.03699562582814	Serpine2	1	0	0	NA
Lcn2	Regulated	NA	146.046969147504	2.81379731774554	1.14502320335672	2.45741510695738	0.0139940881082738	0.0822367203013902	12.8374680806158	4.59500291452505	1.06533581601656	4.31319668919648	1.60910843390064e-05	0.017684101688568	TRUE	TRUE	Both	3.7044001161353	Lcn2	1	0	0	NA
Spint1	Regulated	NA	24.6439622034666	9.20510236068136	1.24242898834866	7.40895652548807	1.27297023820729e-13	1.58348793562982e-11	13.5332760353783	2.06213597591471	0.805487480704512	2.56010928203512	0.0104639252964514	0.521994941001519	TRUE	TRUE	Both	5.63361916829804	Spint1	1	0	0	NA
