Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Nr3c1	Lcp2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Pik3cg	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Junb	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Runx1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Lrg1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rcsd1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Prkcd	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Sla	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Il1b	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Vasp	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cyth4	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Prex1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Lrrc25	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rasal3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Ptger4	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rin3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Ptafr	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Epha2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Bcl2a1b	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Osm	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Slco2b1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Csf1r	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cd180	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	E2f8	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Arhgap25	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Tspan14	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Tnfaip2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rps6ka1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Ncf1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cd68	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Lsp1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	P2ry6	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Laptm5	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Ly6h	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	C1qb	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Arhgef19	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rac2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Elf4	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Fcgr2b	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cybb	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cndp2	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cebpa	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	C1qc	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Tgfbi	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Myo1g	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Aif1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Rhoh	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cadm1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Ptprf	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Grn	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Mrc1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Capn3	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Cmklr1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Spint1	regulates via transfac_pro-M00771	transfac_pro-M00771	4.63694	mm9
Nr3c1	Fgr	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Cxcl12	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Ptpn6	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Sparcl1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Socs3	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Plcb2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Naglu	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Ucp2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Fcgr4	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Gna15	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Lcn2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	H2-D1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Fgd2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Cd52	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Atf3	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Hk3	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Arpc1b	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Myo1f	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Ncf2	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Rxfp3	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Siglec1	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Tmbim6	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Retnlg	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
Nr3c1	Calr	regulates via transfac_pro-M00339	transfac_pro-M00339	3.80756	mm9
