Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Rela	Nfkbia	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Cxcl10	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Nfkbiz	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Lsp1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Ccl2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Rac2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	H2-Aa	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Cadm1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Vasp	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Nub1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Csf2rb2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Junb	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Kcnk6	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Bcl2a1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tnfaip2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Plcb2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Fgr	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Prkcd	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	H2-Ab1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	B2m	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Socs3	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Elf4	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Csf2rb	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Slco2b1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Spint1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Laptm5	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Stat1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
