"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",9.20732526426382e-13,2.27650884799541,32,12.0358665143939
"GO:0009617","response to bacterium","GO:0009617",1.68483356189066e-08,1.99341521112021,11,7.77344299492477
"GO:0006954","inflammatory response","GO:0006954",1.42863477742453e-07,2.13855088111084,24,6.84507878200111
"GO:0007165","signal transduction","GO:0007165",1.42863477742453e-07,2.13855088111084,24,6.84507878200111
"GO:0045087","innate immune response","GO:0045087",1.48009260400058e-07,2.09175475951852,19,6.82971111153187
"GO:0006955","immune response","GO:0006955",2.57872789721834e-07,2.08438532781371,17,6.58859448142587
"GO:0065003","protein-containing complex assembly","GO:0065003",6.86365381623241e-07,1.47396427108833,2,6.16344462922279
"GO:0019882","antigen processing and presentation","GO:0019882",8.84798322613132e-07,1.87467124083032,8,6.05315570936731
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",3.50720996052809e-06,2.00963174449041,13,5.45503823412725
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",4.43093122870263e-06,1.94894217679512,11,5.35350499048447
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",1.11754708030706e-05,2.01955200846219,15,4.95173417174246
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",1.63022207907182e-05,1.9899719478414,14,4.78775322924894
"GO:0030593","neutrophil chemotaxis","GO:0030593",2.04947942481141e-05,1.74276177407286,6,4.68835643730636
"GO:0030335","positive regulation of cell migration","GO:0030335",4.93120094897312e-05,1.90997907592624,11,4.30704729938491
"GO:0050870","positive regulation of T cell activation","GO:0050870",5.07506694446001e-05,1.70765668025435,5,4.29455822466247
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",5.99002592155943e-05,1.63143839821506,4,4.22257129821739
"GO:0050778","positive regulation of immune response","GO:0050778",5.99002592155943e-05,1.63143839821506,4,4.22257129821739
"GO:0006915","apoptotic process","GO:0006915",8.70748304157758e-05,1.89948396458108,11,4.06010736268729
"GO:0010628","positive regulation of gene expression","GO:0010628",9.95407540318658e-05,1.9865730003632,15,4.00199907375235
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.000101680742914981,1.89659780896117,11,3.99276128933546
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000273129923247353,1.62284853145379,4,3.56363071732893
"GO:0006952","defense response","GO:0006952",0.00032031174414997,1.86399473754453,9,3.49442713774572
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","GO:0002504",0.000330748091994409,1.55354397985094,3,3.48050265247286
"GO:0048002","antigen processing and presentation of peptide antigen","GO:0048002",0.000367956681003818,1.47073272703255,2,3.43420330716449
"GO:0010759","positive regulation of macrophage chemotaxis","GO:0010759",0.000382025907798171,1.55273610466641,3,3.41790718360072
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.000446741857651118,1.89734035964047,10,3.34994335423231
"GO:0001788","antibody-dependent cellular cytotoxicity","GO:0001788",0.000448687220256513,1.55152429188962,3,3.34805630009277
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",0.000448687220256513,1.55152429188962,3,3.34805630009277
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",0.000478599283525437,1.61754614456412,4,3.32002795587131
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.000514096521496078,1.82760273765308,8,3.28895533466665
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",0.000552725356986058,1.7174657566023,6,3.25749061114373
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","GO:0070374",0.000584975923853221,1.69400341896527,5,3.23286200802528
"GO:0035458","cellular response to interferon-beta","GO:0035458",0.000613622360646006,1.4697822728985,2,3.21209882290485
"GO:0006958","complement activation, classical pathway","GO:0006958",0.000627189311664936,1.61584938075942,4,3.20260135135119
"GO:0007015","actin filament organization","GO:0007015",0.000627189311664936,1.61606147623501,4,3.20260135135119
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.000649103201293966,1.94204943166958,12,3.18768624897876
"GO:0032496","response to lipopolysaccharide","GO:0032496",0.000649103201293966,1.94204943166958,12,3.18768624897876
"GO:0043408","regulation of MAPK cascade","GO:0043408",0.000742809961793156,1.54849475994763,3,3.12912228058817
"GO:0048260","positive regulation of receptor-mediated endocytosis","GO:0048260",0.00075561468882578,1.46930704583147,2,3.1216996081695
"GO:0043124","negative regulation of canonical NF-kappaB signal transduction","GO:0043124",0.000883986698494116,1.61245585315003,4,3.05355426984447
"GO:0042110","T cell activation","GO:0042110",0.000968603902582257,1.46854668252423,2,3.0138537854789
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000968603902582257,1.46854668252423,2,3.0138537854789
"GO:0045824","negative regulation of innate immune response","GO:0045824",0.000968603902582257,1.46854668252423,2,3.0138537854789
"GO:0016192","vesicle-mediated transport","GO:0016192",0.00102167892195652,1.68567825964266,5,2.9906855663649
"GO:0001525","angiogenesis","GO:0001525",0.00112658068483056,1.7105898167353,6,2.94823769899399
"GO:0010977","negative regulation of neuron projection development","GO:0010977",0.00115823386811631,1.60895627780284,4,2.93620373993712
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.00117164620196685,1.68434623415104,5,2.93120351095456
"GO:0006935","chemotaxis","GO:0006935",0.00127897325898343,1.83830952404741,9,2.89313853573819
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.00127897325898343,1.83830952404741,9,2.89313853573819
"GO:0045582","positive regulation of T cell differentiation","GO:0045582",0.00136437956454757,1.54536424360758,3,2.86506479400716
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.00136597694329942,1.83580226115008,9,2.86455663116864
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.00149032789758398,1.67935113855747,5,2.82671816887327
"GO:0098586","cellular response to virus","GO:0098586",0.00149032789758398,1.67935113855747,5,2.82671816887327
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.00150802322805669,1.77950371825724,7,2.82159196898405
"GO:0045471","response to ethanol","GO:0045471",0.00156915989364683,1.46712100132315,2,2.80433280058741
"GO:0050918","positive chemotaxis","GO:0050918",0.00156915989364683,1.46712100132315,2,2.80433280058741
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.00164487699395363,1.60418412960214,4,2.78386657360736
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.00164487699395363,1.60418412960214,4,2.78386657360736
"GO:0001934","positive regulation of protein phosphorylation","GO:0001934",0.00164796340643069,1.70545599375591,6,2.78305243618361
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","GO:0043123",0.00164796340643069,1.70545599375591,6,2.78305243618361
"GO:0090023","positive regulation of neutrophil chemotaxis","GO:0090023",0.00168306163845613,1.54263766485979,3,2.77389997864617
"GO:0042554","superoxide anion generation","GO:0042554",0.0018784664364792,1.60216922258406,4,2.72619656029296
"GO:0006811","monoatomic ion transport","GO:0006811",0.00189003471657756,1.70283203978866,6,2.72353021853597
"GO:0009410","response to xenobiotic stimulus","GO:0009410",0.00189003471657756,1.70283203978866,6,2.72353021853597
"GO:1902533","positive regulation of intracellular signal transduction","GO:1902533",0.00190215601010336,1.5411228988888,3,2.72075386618493
"GO:0002250","adaptive immune response","GO:0002250",0.00195209699399076,1.77200430463424,7,2.70949860731049
"GO:0030154","cell differentiation","GO:0030154",0.0019719588160825,1.8241513331929,9,2.70510215944292
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.0019719588160825,1.8241513331929,9,2.70510215944292
"GO:0031640","killing of cells of another organism","GO:0031640",0.0019818267527108,1.54031502370427,3,2.70293431333727
"GO:0032680","regulation of tumor necrosis factor production","GO:0032680",0.0019818267527108,1.54031502370427,3,2.70293431333727
"GO:0140367","antibacterial innate immune response","GO:0140367",0.0019818267527108,1.54031502370427,3,2.70293431333727
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.00205052205251131,1.6743560429639,5,2.68813555569497
"GO:0006968","cellular defense response","GO:0006968",0.00206830328571263,1.46598045636229,2,2.68438577812455
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.00206830328571263,1.46598045636229,2,2.68438577812455
"GO:0071333","cellular response to glucose stimulus","GO:0071333",0.00206830328571263,1.46598045636229,2,2.68438577812455
"GO:0006887","exocytosis","GO:0006887",0.00217867968079326,1.53890124213134,3,2.66180661697262
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.00217867968079326,1.53940616412167,3,2.66180661697262
"GO:0098883","synapse pruning","GO:0098883",0.00217867968079326,1.53869927333521,3,2.66180661697262
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.00217867968079326,1.53940616412167,3,2.66180661697262
"GO:0071346","cellular response to type II interferon","GO:0071346",0.00223347321216583,1.77009969165062,7,2.65101925200268
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.00248637123144563,1.81801194069847,9,2.60443402785372
"GO:0006886","intracellular protein transport","GO:0006886",0.0025712247697006,1.53688155417002,3,2.58985995681732
"GO:0060907","positive regulation of macrophage cytokine production","GO:0060907",0.0025712247697006,1.53688155417002,3,2.58985995681732
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00283034369117151,1.79373786653596,8,2.54816082450528
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",0.00283034369117151,1.79373786653596,8,2.54816082450528
"GO:0006909","phagocytosis","GO:0006909",0.0031588876275642,1.6664748921385,5,2.50046582316
"GO:0006826","iron ion transport","GO:0006826",0.00316004449857593,1.53445792861643,3,2.50030680176454
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","GO:0097192",0.00316004449857593,1.53445792861643,3,2.50030680176454
"GO:0050776","regulation of immune response","GO:0050776",0.00330667019711151,1.66525386877118,5,2.48060911888044
"GO:0051607","defense response to virus","GO:0051607",0.00330667019711151,1.66525386877118,5,2.48060911888044
"GO:0006629","lipid metabolic process","GO:0006629",0.00338056150826513,1.66436585177677,5,2.47101115780296
"GO:0016477","cell migration","GO:0016477",0.00338056150826513,1.66436585177677,5,2.47101115780296
"GO:0002523","leukocyte migration involved in inflammatory response","GO:0002523",0.0034471387945696,1.46331918478694,2,2.46254122993636
"GO:0042742","defense response to bacterium","GO:0042742",0.00349017092132434,1.7852824155269,8,2.45715330416679
"GO:0030217","T cell differentiation","GO:0030217",0.00351035619095594,1.59092816237795,4,2.4546488140418
"GO:0050829","defense response to Gram-negative bacterium","GO:0050829",0.00351035619095594,1.59092816237795,4,2.4546488140418
"GO:0050853","B cell receptor signaling pathway","GO:0050853",0.00351035619095594,1.59092816237795,4,2.4546488140418
"GO:0071345","cellular response to cytokine stimulus","GO:0071345",0.00351035619095594,1.59092816237795,4,2.4546488140418
"GO:0097398","cellular response to interleukin-17","GO:0097398",0.00351035619095594,1.59092816237795,4,2.4546488140418
"GO:0042127","regulation of cell population proliferation","GO:0042127",0.00353484510911729,1.7577197072571,7,2.45162961149351
"GO:0042981","regulation of apoptotic process","GO:0042981",0.00358708453250081,1.59050397142678,4,2.44525838870846
"GO:0001503","ossification","GO:0001503",0.00363110136805901,1.53233725625704,3,2.43996162688601
"GO:0048839","inner ear development","GO:0048839",0.00389399804593311,1.58817092119532,4,2.40960427075145
"GO:0071356","cellular response to tumor necrosis factor","GO:0071356",0.00389399804593311,1.58817092119532,4,2.40960427075145
"GO:0002430","complement receptor mediated signaling pathway","GO:0002430",0.003959279916126,1.46160836734565,2,2.40238379308701
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.00396845927956127,1.65859374131309,5,2.4013780716397
"GO:0043525","positive regulation of neuron apoptotic process","GO:0043525",0.00396845927956127,1.6593707561832,5,2.4013780716397
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus","GO:0036006",0.00407631717950914,1.46141827651884,2,2.38973203076196
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","GO:0046427",0.00413912342314925,1.52971166190731,3,2.38309162332297
"GO:0035556","intracellular signal transduction","GO:0035556",0.00420932530103222,1.77588470922576,8,2.37578751022629
"GO:0050729","positive regulation of inflammatory response","GO:0050729",0.00420932530103222,1.77723332646083,8,2.37578751022629
"GO:0007155","cell adhesion","GO:0007155",0.00437592425253204,1.68902776022183,6,2.35893020426879
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","GO:0002476",0.00452594660793153,1.52759098954792,3,2.34429057367282
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","GO:0002486",0.00452594660793153,1.52759098954792,3,2.34429057367282
"GO:0001798","positive regulation of type IIa hypersensitivity","GO:0001798",0.00469745273703708,1.46027773155798,2,2.32813758081706
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","GO:0042590",0.00469745273703708,1.46027773155798,2,2.32813758081706
"GO:0060100","positive regulation of phagocytosis, engulfment","GO:0060100",0.00469745273703708,1.46027773155798,2,2.32813758081706
"GO:0001932","regulation of protein phosphorylation","GO:0001932",0.00472570195351093,1.58530763227489,4,2.32553367246821
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.00472570195351093,1.58530763227489,4,2.32553367246821
"GO:0043547","positive regulation of GTPase activity","GO:0043547",0.00472570195351093,1.58604996643945,4,2.32553367246821
"GO:0045429","positive regulation of nitric oxide biosynthetic process","GO:0045429",0.00472570195351093,1.58530763227489,4,2.32553367246821
"GO:0050821","protein stabilization","GO:0050821",0.00472570195351093,1.58456529811034,4,2.32553367246821
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.00472570195351093,1.58530763227489,4,2.32553367246821
"GO:0010757","negative regulation of plasminogen activation","GO:0010757",0.0048354057488603,1.5255713015866,3,2.31556707750702
"GO:0045730","respiratory burst","GO:0045730",0.0048354057488603,1.52567228598466,3,2.31556707750702
"GO:0034341","response to type II interferon","GO:0034341",0.00517936008744267,1.58318667751902,4,2.28572389424315
"GO:0006897","endocytosis","GO:0006897",0.00520629671372922,1.65060158836338,5,2.28347108450507
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00544129888060121,1.76745285826815,8,2.26429741843688
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","GO:0007259",0.00549755344664566,1.64904755862316,5,2.25983053978064
"GO:0070098","chemokine-mediated signaling pathway","GO:0070098",0.0055316902583373,1.52385456681947,3,2.25714214578272
"GO:0030182","neuron differentiation","GO:0030182",0.00560905530331281,1.52324866043107,3,2.25111027797851
"GO:0070372","regulation of ERK1 and ERK2 cascade","GO:0070372",0.00560905530331281,1.52324866043107,3,2.25111027797851
"GO:0072593","reactive oxygen species metabolic process","GO:0072593",0.00593972896349164,1.4589470957703,2,2.226233371912
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.00655073630132919,1.73760701446938,7,2.18370988265975
"GO:0006508","proteolysis","GO:0006508",0.00662005561873683,1.73676896443729,7,2.17913836179761
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.00703597165560177,1.73307877678153,7,2.15267591876553
"GO:0001774","microglial cell activation","GO:0001774",0.00748391925425165,1.67499531074481,6,2.12587090685109
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",0.00776901247947603,1.67385446119384,6,2.10963418093787
"GO:0002224","toll-like receptor signaling pathway","GO:0002224",0.00777528158627365,1.51496793978964,3,2.10928387379304
"GO:0042267","natural killer cell mediated cytotoxicity","GO:0042267",0.00777528158627365,1.51496793978964,3,2.10928387379304
"GO:0090026","positive regulation of monocyte chemotaxis","GO:0090026",0.00827054792906166,1.57438471528216,4,2.08246571720862
"GO:1904646","cellular response to amyloid-beta","GO:1904646",0.00827054792906166,1.57438471528216,4,2.08246571720862
"GO:0007399","nervous system development","GO:0007399",0.00861501695200392,1.51456400219738,3,2.06474386364201
"GO:0010595","positive regulation of endothelial cell migration","GO:0010595",0.00861501695200392,1.51416006460511,3,2.06474386364201
"GO:0033690","positive regulation of osteoblast proliferation","GO:0033690",0.00861501695200392,1.51456400219738,3,2.06474386364201
"GO:0010832","negative regulation of myotube differentiation","GO:0010832",0.0086458951489645,1.45486014299388,2,2.06319003557339
"GO:0030501","positive regulation of bone mineralization","GO:0030501",0.0086458951489645,1.45486014299388,2,2.06319003557339
"GO:0045453","bone resorption","GO:0045453",0.00879891588233777,1.45476509758047,2,2.05557083413649
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","GO:0050732",0.00879891588233777,1.45476509758047,2,2.05557083413649
"GO:0030316","osteoclast differentiation","GO:0030316",0.0089692830823083,1.63905736743602,5,2.04724226886677
"GO:0045600","positive regulation of fat cell differentiation","GO:0045600",0.00907243984141242,1.51234234543992,3,2.04227590288814
"GO:0002221","pattern recognition receptor signaling pathway","GO:0002221",0.00956402049099182,1.45314932555258,2,2.0193595020758
"GO:0032727","positive regulation of interferon-alpha production","GO:0032727",0.00956402049099182,1.45314932555258,2,2.0193595020758
"GO:0007283","spermatogenesis","GO:0007283",0.00976069951065802,1.57003675803263,4,2.01051905705332
