"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0042110","T cell activation","GO:0042110",0.00197993934137153,1.47018548620744,2,2.70334811484512
"GO:0042267","natural killer cell mediated cytotoxicity","GO:0042267",0.00197993934137153,1.47018548620744,2,2.70334811484512
"GO:0007165","signal transduction","GO:0007165",0.00227470121806057,1.79525091720449,8,2.64307563982848
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",0.00353232108389014,1.73541828239723,7,2.4519398264354
"GO:0035556","intracellular signal transduction","GO:0035556",0.00393555428694059,1.77542876285695,8,2.40499409257886
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.00394302502476006,1.46533276083066,2,2.40417046662936
"GO:0050776","regulation of immune response","GO:0050776",0.00394302502476006,1.46533276083066,2,2.40417046662936
"GO:0045892","negative regulation of DNA-templated transcription","GO:0045892",0.00438324185161654,1.65779583917882,5,2.35820456586789
"GO:0032720","negative regulation of tumor necrosis factor production","GO:0032720",0.00446943763572122,1.46457154900685,2,2.34974711827021
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",0.00451008448845674,1.68383080135199,6,2.34581532230677
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",0.00451008448845674,1.68383080135199,6,2.34581532230677
"GO:0016192","vesicle-mediated transport","GO:0016192",0.00490857420836459,1.5381667260929,3,2.30904463890804
"GO:0006954","inflammatory response","GO:0006954",0.00498274409357262,1.72524611961873,7,2.30253141698371
"GO:0045766","positive regulation of angiogenesis","GO:0045766",0.00531423261574678,1.53695126443656,3,2.27455943947708
"GO:0030154","cell differentiation","GO:0030154",0.00678284387165659,1.6643962683742,6,2.1685881794643
"GO:0030217","T cell differentiation","GO:0030217",0.00696582484715844,1.46057518693186,2,2.15702744989916
"GO:0030593","neutrophil chemotaxis","GO:0030593",0.00696582484715844,1.46057518693186,2,2.15702744989916
"GO:0043547","positive regulation of GTPase activity","GO:0043547",0.00696582484715844,1.46057518693186,2,2.15702744989916
"GO:0072593","reactive oxygen species metabolic process","GO:0072593",0.00696582484715844,1.46057518693186,2,2.15702744989916
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",0.00790355195677713,1.60255981146823,4,2.1021776873747
"GO:0043066","negative regulation of apoptotic process","GO:0043066",0.00806757440321437,1.63558677173722,5,2.09325702062422
"GO:0000122","negative regulation of transcription by RNA polymerase II","GO:0000122",0.00834672922685501,1.60041577533007,4,2.07848367505634
"GO:0006355","regulation of DNA-templated transcription","GO:0006355",0.00834672922685501,1.60041577533007,4,2.07848367505634
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",0.00834672922685501,1.60041577533007,4,2.07848367505634
"GO:0010628","positive regulation of gene expression","GO:0010628",0.00834672922685501,1.60041577533007,4,2.07848367505634
"GO:0007015","actin filament organization","GO:0007015",0.00912601312703434,1.45734003668068,2,2.0397189108653
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.00920985785527395,1.62925718751636,5,2.03574707264208
"GO:0010757","negative regulation of plasminogen activation","GO:0010757",0.0103956892557752,1.4544854923414,2,1.98314671075232
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",0.0122324462848084,1.51689614710702,3,1.91248668264038
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",0.0133694332539335,1.5728649109547,4,1.87388700260385
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.0133694332539335,1.5728649109547,4,1.87388700260385
"GO:0006955","immune response","GO:0006955",0.013511639001669,1.51416135838027,3,1.86929196658074
"GO:0032715","negative regulation of interleukin-6 production","GO:0032715",0.013511639001669,1.51416135838027,3,1.86929196658074
"GO:0045785","positive regulation of cell adhesion","GO:0045785",0.013511639001669,1.51416135838027,3,1.86929196658074
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.014522153634464,1.4504891302664,2,1.83796897301561
"GO:0009617","response to bacterium","GO:0009617",0.0161092592315949,1.44763458592712,2,1.79292442972525
"GO:0050860","negative regulation of T cell receptor signaling pathway","GO:0050860",0.0161092592315949,1.448110343317,2,1.79292442972525
"GO:0030335","positive regulation of cell migration","GO:0030335",0.0167413036552533,1.5607511067741,4,1.77621072625684
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897",0.0167413036552533,1.5607511067741,4,1.77621072625684
"GO:1990830","cellular response to leukemia inhibitory factor","GO:1990830",0.0173604259407958,1.44458973863189,2,1.76043962354502
"GO:0043065","positive regulation of apoptotic process","GO:0043065",0.0181970339693961,1.5554982182356,4,1.73999939419615
"GO:0001503","ossification","GO:0001503",0.0186115951016083,1.44382852680808,2,1.73021640418573
"GO:0006508","proteolysis","GO:0006508",0.0234780525609669,1.49592943353523,3,1.6293379294475
"GO:0030163","protein catabolic process","GO:0030163",0.0234780525609669,1.49592943353523,3,1.6293379294475
"GO:0007204","positive regulation of cytosolic calcium ion concentration","GO:0007204",0.0239290824488983,1.4358358026581,2,1.62107395391561
"GO:0006935","chemotaxis","GO:0006935",0.0288353875662555,1.48610445181318,3,1.54007420701518
"GO:0048661","positive regulation of smooth muscle cell proliferation","GO:0048661",0.0288353875662555,1.48610445181318,3,1.54007420701518
"GO:0001889","liver development","GO:0001889",0.0329818771804179,1.42498853416883,2,1.48172462989537
"GO:0030099","myeloid cell differentiation","GO:0030099",0.0329818771804179,1.42498853416883,2,1.48172462989537
"GO:0045600","positive regulation of fat cell differentiation","GO:0045600",0.0329818771804179,1.42498853416883,2,1.48172462989537
"GO:0045669","positive regulation of osteoblast differentiation","GO:0045669",0.0329818771804179,1.42498853416883,2,1.48172462989537
"GO:0070102","interleukin-6-mediated signaling pathway","GO:0070102",0.0329818771804179,1.42498853416883,2,1.48172462989537
"GO:0001774","microglial cell activation","GO:0001774",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0001932","regulation of protein phosphorylation","GO:0001932",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0001934","positive regulation of protein phosphorylation","GO:0001934",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0006952","defense response","GO:0006952",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","GO:0007259",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","GO:0008630",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0010629","negative regulation of gene expression","GO:0010629",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0019722","calcium-mediated signaling","GO:0019722",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0032722","positive regulation of chemokine production","GO:0032722",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0032729","positive regulation of type II interferon production","GO:0032729",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0042127","regulation of cell population proliferation","GO:0042127",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0043122","regulation of canonical NF-kappaB signal transduction","GO:0043122",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0045429","positive regulation of nitric oxide biosynthetic process","GO:0045429",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0071346","cellular response to type II interferon","GO:0071346",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0090594","inflammatory response to wounding","GO:0090594",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:1900017","positive regulation of cytokine production involved in inflammatory response","GO:1900017",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","GO:1901224",0.034831275826849,1.42241944426348,2,1.458030617577
"GO:0002376","immune system process","GO:0002376",0.0375765239809012,1.47465885454936,3,1.42508339682025
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",0.0375765239809012,1.47465885454936,3,1.42508339682025
"GO:0032956","regulation of actin cytoskeleton organization","GO:0032956",0.0400608674568894,1.46969571945265,3,1.39727965095703
"GO:0043410","positive regulation of MAPK cascade","GO:0043410",0.0400608674568894,1.46969571945265,3,1.39727965095703
