name	Regulatory function	ensembl_id	baseMean_MN	log2FoldChange_MN	lfcSE_MN	stat_MN	pvalue_MN	padj_MN	baseMean_RGC	log2FoldChange_RGC	lfcSE_RGC	stat_RGC	pvalue_RGC	padj_RGC	is_sig_RGC	is_sig_MN	Specificity	EAE_Combined_Score	symbol	InDegree	OutDegree	BetweennessCentrality	ClosenessCentrality
Elf4	Regulator	ENSMUSG00000031103	51.0107832857104	8.56948087271954	1.21557468848445	7.04973618972257	1.79257318671173e-12	2.00685462764634e-10	13.4981235551286	1.04491203275716	0.524627260305844	1.99172271785497	0.0464014896925196	0.717967655072716	TRUE	TRUE	Both	4.80719645273835	NA	1	0	0	NA
Runx1	Regulator	ENSMUSG00000022952	66.924871270429	4.80160063937342	1.09249097251637	4.39509411076756	1.10724772889853e-05	0.000310498717656826	9.84592390980986	1.55361223328339	0.746808060850597	2.08033672201376	0.037494658815623	0.696855418224102	TRUE	TRUE	Both	3.1776064363284	NA	1	40	0	0.0256410256410256
Cebpa	Regulator	ENSMUSG00000034957	12.4533797848853	4.02545993316072	1.19662300173656	3.36401684349951	0.000768168549407823	0.00988787991555132	34.0181394405721	1.02067247334827	0.479089653947289	2.1304414840496	0.0331351819918849	0.690111701055	TRUE	TRUE	Both	2.5230662032545	NA	1	0	0	NA
Slfn4	Regulated	NA	5.04046905668163	7.40944874226486	2.2754901375236	3.25619901404123	0.00112914576379261	0.0132425308418184	5.28300310126962	5.59271454754952	1.42314748863841	3.92982076151525	8.50092057796572e-05	0.0538991060491403	TRUE	TRUE	Both	6.50108164490719	Slfn4	1	0	0	NA
Lcp2	Regulated	NA	70.0274353501809	4.73667782805226	1.26954738973911	3.73099725645188	0.000190723300887099	0.00330450823941766	24.6629385750453	1.10763159259487	0.561783349025398	1.97163478504023	0.0486513132632554	0.724996727190948	TRUE	TRUE	Both	2.92215471032357	Lcp2	1	0	0	NA
Rps6ka1	Regulated	NA	187.35114805947	1.90987392920479	0.687908102724407	2.77635038988621	0.00549729288211076	0.0433410620835536	109.18400886025	0.435154024509188	0.219302043282497	1.98426798946254	0.0472259726845797	0.722455379730796	FALSE	TRUE	MN_Only	1.90987392920479	Rps6ka1	1	0	0	NA
Ptpn6	Regulated	NA	54.4016334615103	9.79334918875726	1.08236533324607	9.04809946137737	1.45478231190409e-19	3.25736950268493e-17	33.5234130743079	1.24480855751195	0.539793961127358	2.30608092560386	0.0211061109088631	0.634396161004537	TRUE	TRUE	Both	5.5190788731346	Ptpn6	1	0	0	NA
Ctsd	Regulated	NA	4011.05266871078	0.966835782492297	0.405865843939759	2.38215606690915	0.0172116013106783	0.094921426856996	1714.61729119371	0.565220636819768	0.223945039956235	2.52392567806024	0.0116052461297522	0.543501370593648	FALSE	TRUE	MN_Only	0.966835782492297	Ctsd	1	0	0	NA
Cybb	Regulated	NA	182.282696562758	9.87929244327167	1.0626223786359	9.29708675621324	1.44346432780217e-20	3.6769788436297e-18	18.1245550491036	2.08414218024345	0.676918225066112	3.0788684704713	0.00207788397318038	0.281745432009325	TRUE	TRUE	Both	5.98171731175756	Cybb	1	0	0	NA
Ctsz	Regulated	NA	620.740309243446	3.13901054010471	0.604832886582138	5.18988072530745	2.10428828815015e-07	9.78460439160935e-06	157.966353811645	0.863444894869087	0.325875862537008	2.64961291746802	0.00805840385957977	0.471073714982881	TRUE	TRUE	Both	2.0012277174869	Ctsz	1	0	0	NA
Cyth4	Regulated	NA	161.306687488358	5.97911310320058	1.04505876428858	5.72131760195402	1.05701093930012e-08	6.27907641247916e-07	49.4884777240053	1.3438532086112	0.642514376293595	2.09155352501736	0.0364784736235214	0.696855418224102	TRUE	TRUE	Both	3.66148315590589	Cyth4	1	0	0	NA
Prkcd	Regulated	NA	209.986401265956	1.58826287627987	0.76685987590329	2.07112528140691	0.0383470898295614	0.160208324596071	70.1526644432793	0.740655034971372	0.343177221851767	2.15822900766792	0.0309100311470919	0.680309564031789	TRUE	TRUE	Both	1.16445895562562	Prkcd	1	0	0	NA
Sla	Regulated	NA	55.1534633222041	9.18328393075836	1.06283265585429	8.64038555851197	5.60236332852061e-18	1.13245549837901e-15	25.2743815875541	1.50579434313108	0.594787375829946	2.53165148475109	0.0113526767410539	0.539333936819234	TRUE	TRUE	Both	5.34453913694472	Sla	1	0	0	NA
Fgd2	Regulated	NA	52.100896757203	4.49393390054731	1.98338616020592	2.26578867530302	0.0234643250921305	0.116791992951733	37.2247023801317	1.63173038808892	0.723727798636576	2.25461892048767	0.0241572588053484	0.645342825670532	TRUE	TRUE	Both	3.06283214431812	Fgd2	1	0	0	NA
Myo1f	Regulated	NA	79.2668074589469	9.39478541971555	1.21209603319622	7.75085897686019	9.12730070049856e-15	1.32838734395056e-12	34.7908447843081	1.26231806831756	0.514361326852392	2.45414653555361	0.0141219421679491	0.57124913639452	TRUE	TRUE	Both	5.32855174401656	Myo1f	1	0	0	NA
Aif1	Regulated	NA	150.037247666371	6.5145015477398	1.38500249328045	4.70360275836751	2.55610353345295e-06	8.89988775738618e-05	18.6258278705479	1.58488113760887	0.590095312632033	2.68580533293807	0.00723552309425222	0.446732577560853	TRUE	TRUE	Both	4.04969134267434	Aif1	1	0	0	NA
Tnf	Regulated	NA	7.89369334850777	8.10147789082943	2.95837073009974	2.73849312001417	0.00617214518312829	0.0471050870452277	13.6837434826108	2.93711312548346	1.06083263422265	2.76868662476215	0.0056282741405046	0.423662553453052	TRUE	TRUE	Both	5.51929550815645	Tnf	1	0	0	NA
Serpine2	Regulated	NA	230.240884698543	3.06874104970132	0.627644880276633	4.88929511915843	1.0119768548021e-06	3.87587135389204e-05	152.026619416833	1.00525020195495	0.233989027528109	4.29614248400681	1.73795898679919e-05	0.0179064086858654	TRUE	TRUE	Both	2.03699562582814	Serpine2	1	0	0	NA
Atf3	Regulated	NA	83.6326864267069	4.48142675689519	1.34728812440404	3.32625714998973	0.000880206833355238	0.0108840528909534	26.5664594181799	1.52930558766052	0.779776978557399	1.96120894783244	0.0498546535053997	0.724996727190948	TRUE	TRUE	Both	3.00536617227786	Atf3	1	0	0	NA
Laptm5	Regulated	NA	340.161323707946	5.43713834545808	1.13319648485879	4.79805436930524	1.60214294694105e-06	5.82939711244502e-05	179.742758082211	1.22837140428434	0.623439961533126	1.97031226754153	0.0488025933400661	0.724996727190948	TRUE	TRUE	Both	3.33275487487121	Laptm5	1	0	0	NA
Fgr	Regulated	NA	24.4674479804961	3.75987658086194	1.66107532254566	2.26351961878514	0.0236036766207324	0.117365189456146	5.09087907759159	2.29241522826616	1.1050167934991	2.07455238848189	0.0380280386240498	0.696855418224102	TRUE	TRUE	Both	3.02614590456405	Fgr	1	0	0	NA
Arpc1b	Regulated	NA	193.066194441589	4.99593449305752	0.669528175193159	7.46187341797258	8.53008159163298e-14	1.08900708319848e-11	26.8310928391139	1.71087836357266	0.632057191645029	2.70684106784677	0.00679267678378469	0.441276154785549	TRUE	TRUE	Both	3.35340642831509	Arpc1b	1	0	0	NA
Arhgap25	Regulated	NA	25.628757288001	9.2696689726199	1.60076604558004	5.79077061149246	7.00642127093475e-09	4.45290197280281e-07	11.6715702117328	1.2824894328856	0.626898822896663	2.04576781139849	0.0407792203781118	0.699611173641745	TRUE	TRUE	Both	5.27607920275275	Arhgap25	1	0	0	NA
Vav1	Regulated	NA	110.135358811006	10.8203049264229	1.03299199560243	10.4747229141041	1.12867645187617e-25	5.2989538969696e-23	33.6490220901241	1.16143697236331	0.542164281222795	2.14222333080264	0.0321755149453214	0.687012077738025	TRUE	TRUE	Both	5.9908709493931	Vav1	1	0	0	NA
Prex1	Regulated	NA	565.739417550614	3.55345711141614	0.57280280511168	6.20363077782645	5.51751489116016e-10	4.16072081481581e-08	182.300932657583	0.568643707732082	0.256334094141764	2.21836938873062	0.0265296565327575	0.667787421030116	FALSE	TRUE	MN_Only	3.55345711141614	Prex1	1	0	0	NA
Plcb2	Regulated	NA	52.9370324992562	5.58125029637936	1.41134145677003	3.9545712128038	7.6672033057992e-05	0.00160558959586477	38.3319412462466	0.882301914023812	0.323810572437378	2.7247470871089	0.00643507598069797	0.440175218015792	TRUE	TRUE	Both	3.23177610520159	Plcb2	1	0	0	NA
Rcsd1	Regulated	NA	25.0182593049592	3.0883458596639	1.19752475074285	2.57894115152788	0.0099103668120371	0.0651457005691694	11.4100992495362	1.2784178442038	0.604653255481974	2.11429911707787	0.034489727735825	0.695025890100296	TRUE	TRUE	Both	2.18338185193385	Rcsd1	1	0	0	NA
