"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0006954","inflammatory response",6.62004612441263e-07,2.035347528766,16,6.17913898465273
"GO:0007165","signal transduction",6.62004612441263e-07,2.035347528766,16,6.17913898465273
"GO:0071222","cellular response to lipopolysaccharide",3.61100246461825e-06,1.92600565909433,10,5.44237221515397
"GO:0008284","positive regulation of cell population proliferation",6.29061617253966e-06,1.95326791308336,12,5.20130681286513
"GO:0002376","immune system process",8.02492658351329e-06,2.02846096022034,15,5.09555893207211
"GO:0045944","positive regulation of transcription by RNA polymerase II",1.85799983648315e-05,1.90359819581099,10,4.7309543285633
"GO:0045087","innate immune response",2.06947507164137e-05,1.90190466898472,10,4.68413980063012
"GO:0030335","positive regulation of cell migration",3.06643363695031e-05,1.89496982753797,10,4.51336642977582
"GO:0030593","neutrophil chemotaxis",3.5457143168066e-05,1.72750689140281,5,4.45029625904322
"GO:0007015","actin filament organization",6.26292876391835e-05,1.72332269691591,5,4.20322252804212
"GO:0007186","G protein-coupled receptor signaling pathway",6.27817431837209e-05,1.88287453034662,10,4.20216662994594
"GO:0010628","positive regulation of gene expression",6.27817431837209e-05,1.88287453034662,10,4.20216662994594
"GO:0045766","positive regulation of angiogenesis",9.28792404830277e-05,1.76448969790799,6,4.03208134468398
"GO:0009617","response to bacterium",9.30277873347424e-05,1.82395465727769,7,4.03138730861132
"GO:0016477","cell migration",0.000126539735121147,1.76002917312615,6,3.89777307896131
"GO:0019221","cytokine-mediated signaling pathway",0.000151109848309331,1.75791629296634,6,3.82070723038619
"GO:0008285","negative regulation of cell population proliferation",0.000161488667033175,1.81388359311097,7,3.79185795022238
"GO:0006935","chemotaxis",0.00021177831487578,1.81904378600422,8,3.67411851170699
"GO:0007166","cell surface receptor signaling pathway",0.000249890530496557,1.5707367077976,3,3.60225020098044
"GO:0050776","regulation of immune response",0.000249890530496557,1.5707367077976,3,3.60225020098044
"GO:0042554","superoxide anion generation",0.000367419726228785,1.56879878588539,3,3.43483753076747
"GO:0032496","response to lipopolysaccharide",0.000403073329138185,1.80230640111391,8,3.39461593762299
"GO:0010759","positive regulation of macrophage chemotaxis",0.000409112081427743,1.5682888064348,3,3.38815769522681
"GO:0019882","antigen processing and presentation",0.000418433583899522,1.47876898981894,2,3.37837346583076
"GO:0042110","T cell activation",0.000434842514815512,1.47848192453037,2,3.36166800127587
"GO:0042130","negative regulation of T cell proliferation",0.000434842514815512,1.47848192453037,2,3.36166800127587
"GO:0042267","natural killer cell mediated cytotoxicity",0.000434842514815512,1.47848192453037,2,3.36166800127587
"GO:0035556","intracellular signal transduction",0.000446003739357967,1.79895892413585,8,3.35066150008669
"GO:0006955","immune response",0.00049521030752707,1.79107202608275,7,3.30521032429581
"GO:0045893","positive regulation of DNA-templated transcription",0.000561236469863442,1.78718920616306,7,3.25085411571597
"GO:0007155","cell adhesion",0.000567861520941088,1.73784393144809,6,3.24575755869659
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0.000570443612038109,1.87796341892078,9,3.24378727883738
"GO:0001525","angiogenesis",0.000714937715010811,1.69561654423237,5,3.14573179205258
"GO:0016192","vesicle-mediated transport",0.000754262963085483,1.63628470727634,4,3.12247721711835
"GO:0050870","positive regulation of T cell activation",0.000781550784821591,1.47704659808756,2,3.10704279646605
"GO:0043524","negative regulation of neuron apoptotic process",0.0008893492876713,1.47647246751043,2,3.05092763844952
"GO:0045824","negative regulation of innate immune response",0.0008893492876713,1.47647246751043,2,3.05092763844952
"GO:1902564","negative regulation of neutrophil activation",0.0008893492876713,1.47647246751043,2,3.05092763844952
"GO:0043525","positive regulation of neuron apoptotic process",0.000924916387376256,1.6905276590456,5,3.03389752579328
"GO:0006355","regulation of DNA-templated transcription",0.00095915372497077,1.7251666504892,6,3.01811178223889
"GO:0045730","respiratory burst",0.000986368080558389,1.4758983369333,2,3.00596099020557
"GO:0050665","hydrogen peroxide biosynthetic process",0.000986368080558389,1.4758983369333,2,3.00596099020557
"GO:0071333","cellular response to glucose stimulus",0.000986368080558389,1.4758983369333,2,3.00596099020557
"GO:0006915","apoptotic process",0.0010180323370369,1.86764422986152,9,2.99223842674028
"GO:0030154","cell differentiation",0.00105034427082563,1.76656172533967,7,2.97866832910724
"GO:0045892","negative regulation of DNA-templated transcription",0.00107402642855854,1.68826593229593,5,2.96898503182462
"GO:0006357","regulation of transcription by RNA polymerase II",0.00115678863101833,1.72223209471168,6,2.93674598829839
"GO:0032760","positive regulation of tumor necrosis factor production",0.00115678863101833,1.72223209471168,6,2.93674598829839
"GO:0007264","small GTPase-mediated signal transduction",0.00124496489690357,1.56084310645628,3,2.90484289378592
"GO:0030217","T cell differentiation",0.00124496489690357,1.56084310645628,3,2.90484289378592
"GO:0043065","positive regulation of apoptotic process",0.00129201068567881,1.76061615733763,7,2.88873389445847
"GO:0000122","negative regulation of transcription by RNA polymerase II",0.00145931870109155,1.75685467554042,7,2.83584985203347
"GO:0043066","negative regulation of apoptotic process",0.00145931870109155,1.75685467554042,7,2.83584985203347
"GO:0006897","endocytosis",0.00156668745417397,1.68159383838438,5,2.80501763433299
"GO:0050830","defense response to Gram-positive bacterium",0.00170225610480558,1.70896790259728,6,2.76897509963538
"GO:0045785","positive regulation of cell adhesion",0.00177749319440198,1.70638549351306,6,2.75019205340513
"GO:0032956","regulation of actin cytoskeleton organization",0.00185273031376649,1.70321617327334,6,2.73218779264384
"GO:0001788","antibody-dependent cellular cytotoxicity",0.00196522983783879,1.4736018146248,2,2.70658665064837
"GO:0038094","Fc-gamma receptor signaling pathway",0.00196522983783879,1.4736018146248,2,2.70658665064837
"GO:0002523","leukocyte migration involved in inflammatory response",0.00207145746967929,1.47321906090671,2,2.68372397903149
"GO:0006958","complement activation, classical pathway",0.00265311876166832,1.55411137770858,3,2.57624330924013
"GO:0090026","positive regulation of monocyte chemotaxis",0.00265311876166832,1.55421337359869,3,2.57624330924013
"GO:0098883","synapse pruning",0.00265311876166832,1.55411137770858,3,2.57624330924013
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus",0.00311948414103439,1.47130529231629,2,2.50591721791269
"GO:0043408","regulation of MAPK cascade",0.00311948414103439,1.47130529231629,2,2.50591721791269
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.00373030750839013,1.54982755032368,3,2.42825536559285
"GO:0001774","microglial cell activation",0.0039128721071228,1.61074806328684,4,2.40750434685489
"GO:0010629","negative regulation of gene expression",0.0039128721071228,1.61074806328684,4,2.40750434685489
"GO:0032722","positive regulation of chemokine production",0.0039128721071228,1.61074806328684,4,2.40750434685489
"GO:0032729","positive regulation of type II interferon production",0.0039128721071228,1.61074806328684,4,2.40750434685489
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",0.00424833471381275,1.65920274356258,5,2.37178127379209
"GO:0032755","positive regulation of interleukin-6 production",0.00424833471381275,1.65920274356258,5,2.37178127379209
"GO:0072593","reactive oxygen species metabolic process",0.00425002072441843,1.46881739314874,2,2.37160895219001
"GO:0006811","monoatomic ion transport",0.00437903693348251,1.60826982357478,4,2.35862139188483
"GO:0009410","response to xenobiotic stimulus",0.00437903693348251,1.60826982357478,4,2.35862139188483
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",0.00470426884026547,1.35020387366865,1,2.32750786709613
"GO:0030101","natural killer cell activation",0.00470426884026547,1.35020387366865,1,2.32750786709613
"GO:0031295","T cell costimulation",0.00470426884026547,1.35020387366865,1,2.32750786709613
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.00493723652059398,1.65671484413794,5,2.30651606720454
"GO:0010832","negative regulation of myotube differentiation",0.00532281118220227,1.46470279067934,2,2.27385893942222
"GO:0030501","positive regulation of bone mineralization",0.00532281118220227,1.46470279067934,2,2.27385893942222
"GO:0045582","positive regulation of T cell differentiation",0.00540533374630243,1.46432003696125,2,2.26717748585448
"GO:0045471","response to ethanol",0.00554341584275865,1.54370779691667,3,2.25622254131708
"GO:0035425","autocrine signaling",0.00565290158115171,1.46374590638412,2,2.24772857568172
"GO:0002503","peptide antigen assembly with MHC class II protein complex",0.00583700780562629,1.34959335580057,1,2.23380972592264
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.00583700780562629,1.34959335580057,1,2.23380972592264
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",0.00583700780562629,1.34959335580057,1,2.23380972592264
"GO:0048002","antigen processing and presentation of peptide antigen",0.00583700780562629,1.34959335580057,1,2.23380972592264
"GO:0050778","positive regulation of immune response",0.00583700780562629,1.34959335580057,1,2.23380972592264
"GO:0045687","positive regulation of glial cell differentiation",0.00614803780622702,1.46173644936418,2,2.21126347055009
"GO:0071466","cellular response to xenobiotic stimulus",0.00614803780622702,1.46173644936418,2,2.21126347055009
"GO:0090023","positive regulation of neutrophil chemotaxis",0.00614803780622702,1.46173644936418,2,2.21126347055009
"GO:2000178","negative regulation of neural precursor cell proliferation",0.00614803780622702,1.46173644936418,2,2.21126347055009
"GO:0006952","defense response",0.00623911750047355,1.60299009549257,4,2.20487683528216
"GO:0051601","exocyst localization",0.00647046945402262,1.34941892212398,1,2.18906420868289
"GO:0071346","cellular response to type II interferon",0.00670413911944765,1.60223584862368,4,2.1736569821192
"GO:0001819","positive regulation of cytokine production",0.00677431597697914,1.64393608800227,5,2.16913455025737
"GO:0007204","positive regulation of cytosolic calcium ion concentration",0.00677431597697914,1.64393608800227,5,2.16913455025737
"GO:0050729","positive regulation of inflammatory response",0.00677431597697914,1.64393608800227,5,2.16913455025737
"GO:0002250","adaptive immune response",0.00722083486224009,1.4581959774719,2,2.14141258704214
"GO:0006887","exocytosis",0.00722083486224009,1.4581959774719,2,2.14141258704214
"GO:0006911","phagocytosis, engulfment",0.00722083486224009,1.45867441961951,2,2.14141258704214
"GO:0031100","animal organ regeneration",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0031640","killing of cells of another organism",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0042102","positive regulation of T cell proliferation",0.00722083486224009,1.45867441961951,2,2.14141258704214
"GO:0048143","astrocyte activation",0.00722083486224009,1.45800460061286,2,2.14141258704214
"GO:0050921","positive regulation of chemotaxis",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0070098","chemokine-mediated signaling pathway",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0090280","positive regulation of calcium ion import",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:2000406","positive regulation of T cell migration",0.00722083486224009,1.45810028904238,2,2.14141258704214
"GO:0043410","positive regulation of MAPK cascade",0.0074632224748732,1.64088275689021,5,2.12707361208861
"GO:0046627","negative regulation of insulin receptor signaling pathway",0.0074632224748732,1.64088275689021,5,2.12707361208861
"GO:0050728","negative regulation of inflammatory response",0.0074632224748732,1.64088275689021,5,2.12707361208861
"GO:0006801","superoxide metabolic process",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:0007584","response to nutrient",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:0034220","monoatomic ion transmembrane transport",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:0071276","cellular response to cadmium ion",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:0071361","cellular response to ethanol",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:1904044","response to aldosterone",0.00764690074491363,1.34880840425591,1,2.11651454682115
"GO:0016525","negative regulation of angiogenesis",0.00774502451218923,1.53850600652072,3,2.11097720340617
"GO:0070372","regulation of ERK1 and ERK2 cascade",0.00774502451218923,1.53850600652072,3,2.11097720340617
"GO:0050860","negative regulation of T cell receptor signaling pathway",0.00796354159854386,1.45628220888148,2,2.09889374700633
"GO:0016358","dendrite development",0.00818986981906263,1.34845953690272,1,2.08672300145229
"GO:0021549","cerebellum development",0.00818986981906263,1.34845953690272,1,2.08672300145229
"GO:0048169","regulation of long-term neuronal synaptic plasticity",0.00818986981906263,1.34845953690272,1,2.08672300145229
"GO:0050766","positive regulation of phagocytosis",0.00818986981906263,1.34845953690272,1,2.08672300145229
"GO:1902950","regulation of dendritic spine maintenance",0.00818986981906263,1.34845953690272,1,2.08672300145229
"GO:0031669","cellular response to nutrient levels",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:0071347","cellular response to interleukin-1",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:0071354","cellular response to interleukin-6",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:0071456","cellular response to hypoxia",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:0120162","positive regulation of cold-induced thermogenesis",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:1904646","cellular response to amyloid-beta",0.00886407328610694,1.45398568657297,2,2.05236666195451
"GO:0036037","CD8-positive, alpha-beta T cell activation",0.00909481906087962,1.34784901903464,1,2.04120593669321
"GO:0098586","cellular response to virus",0.00909481906087962,1.34784901903464,1,2.04120593669321
"GO:0055085","transmembrane transport",0.00918935141547085,1.45264604855968,2,2.03671514004177
"GO:0060670","branching involved in labyrinthine layer morphogenesis",0.00918935141547085,1.4527417369892,2,2.03671514004177
"GO:0060674","placenta blood vessel development",0.00918935141547085,1.4527417369892,2,2.03671514004177
"GO:0097398","cellular response to interleukin-17",0.00918935141547085,1.4527417369892,2,2.03671514004177
"GO:1990830","cellular response to leukemia inhibitory factor",0.00918935141547085,1.4527417369892,2,2.03671514004177
"GO:0001938","positive regulation of endothelial cell proliferation",0.00922062851395818,1.53320222023465,3,2.03523947473372
"GO:0030316","osteoclast differentiation",0.00924141679278379,1.59102989514305,4,2.03426144240331
"GO:0001503","ossification",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0002062","chondrocyte differentiation",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0002573","myeloid leukocyte differentiation",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0030097","hemopoiesis",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0030853","negative regulation of granulocyte differentiation",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0032743","positive regulation of interleukin-2 production",0.00951462984570734,1.45197622955303,2,2.02160810270998
"GO:0000278","mitotic cell cycle",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0002221","pattern recognition receptor signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0002244","hematopoietic progenitor cell differentiation",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0030220","platelet formation",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0031665","negative regulation of lipopolysaccharide-mediated signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0032680","regulation of tumor necrosis factor production",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0033007","negative regulation of mast cell activation involved in immune response",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0033630","positive regulation of cell adhesion mediated by integrin",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0035855","megakaryocyte development",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0043407","negative regulation of MAP kinase activity",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0045577","regulation of B cell differentiation",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0050853","B cell receptor signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0051279","regulation of release of sequestered calcium ion into cytosol",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0070527","platelet aggregation",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0106015","negative regulation of inflammatory response to wounding",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0160162","CD27 signaling pathway",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:2000045","regulation of G1/S transition of mitotic cell cycle",0.00952868043942989,1.34758736851975,1,2.02096723761488
"GO:0010595","positive regulation of endothelial cell migration",0.00984048856954338,1.52932637641021,3,2.00698333878519
"GO:0071356","cellular response to tumor necrosis factor",0.0106153147614546,1.52749045038811,3,1.97406712376495
"GO:0001666","response to hypoxia",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0002544","chronic inflammatory response",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0002548","monocyte chemotaxis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0002687","positive regulation of leukocyte migration",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0006874","intracellular calcium ion homeostasis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0009611","response to wounding",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0009612","response to mechanical stimulus",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0010332","response to gamma radiation",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0010574","regulation of vascular endothelial growth factor production",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0014823","response to activity",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0019233","sensory perception of pain",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0022409","positive regulation of cell-cell adhesion",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0032869","cellular response to insulin stimulus",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0032967","positive regulation of collagen biosynthetic process",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0036120","cellular response to platelet-derived growth factor stimulus",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0043615","astrocyte cell migration",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0048245","eosinophil chemotaxis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0048246","macrophage chemotaxis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0048247","lymphocyte chemotaxis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0050918","positive chemotaxis",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0051968","positive regulation of synaptic transmission, glutamatergic",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0060056","mammary gland involution",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0060135","maternal process involved in female pregnancy",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0060137","maternal process involved in parturition",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0071300","cellular response to retinoic acid",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0071318","cellular response to ATP",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0071392","cellular response to estradiol stimulus",0.0107304653002805,1.34627911594531,1,1.96938144551188
"GO:0071398","cellular response to fatty acid",0.0107304653002805,1.34627911594531,1,1.96938144551188
