Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Smad3	Lrrc25	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Myo1g	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	C3	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Runx1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ptafr	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Tspo	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Fgr	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Prkcd	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Tnf	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Il1b	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Junb	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Tspan14	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Arhgef19	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Lsp1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Serpine2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ly6h	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Aif1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ptprf	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Lcn2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ncf2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ccr5	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Tgfbi	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Cd52	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Plbd1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Tmem119	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Fgd2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Elf4	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Vasp	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Cmklr1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Hck	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Atf3	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Cd74	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Srgn	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Arhgap25	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	C1qb	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Rcsd1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Socs3	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Rest	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Slco2b1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ncf1	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Ucp2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Pgd	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Kcnk6	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Sla	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Rin3	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	P2ry6	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Epha2	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Smad3	Itm2c	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
