"term_id","term_name","pathway","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process","GO:0002376",6.99330865328689e-13,2.29512007817875,36,12.1553173035256
"GO:0019882","antigen processing and presentation","GO:0019882",1.04335909147768e-09,1.96465596866787,10,8.98156619530561
"GO:0007165","signal transduction","GO:0007165",3.38407947008233e-09,2.18468438930764,26,8.47055944675211
"GO:0045087","innate immune response","GO:0045087",5.30615558352255e-09,2.08775393890208,21,8.27522002007651
"GO:0006955","immune response","GO:0006955",1.85520562947378e-08,2.08371938591167,19,7.73160794653604
"GO:0006954","inflammatory response","GO:0006954",3.96806457475046e-08,2.08185274945503,22,7.40142126891967
"GO:0009617","response to bacterium","GO:0009617",9.35497831974744e-08,1.97276464095964,12,7.02895721464446
"GO:0045944","positive regulation of transcription by RNA polymerase II","GO:0045944",3.78827384699727e-07,1.99788463417736,15,6.42155863422497
"GO:0008284","positive regulation of cell population proliferation","GO:0008284",4.59499898340505e-07,1.9849492560163,16,6.33771458036092
"GO:0007186","G protein-coupled receptor signaling pathway","GO:0007186",2.48254189784896e-06,1.93948539239615,13,5.60510341318462
"GO:0071222","cellular response to lipopolysaccharide","GO:0071222",6.06783537991144e-06,1.9212792086827,11,5.21696621011436
"GO:0050778","positive regulation of immune response","GO:0050778",6.63637191465612e-06,1.74691905697806,5,5.17806928329312
"GO:0050870","positive regulation of T cell activation","GO:0050870",6.63637191465612e-06,1.74691905697806,5,5.17806928329312
"GO:0019221","cytokine-mediated signaling pathway","GO:0019221",6.90739968993654e-06,1.91947033787426,11,5.16068541324075
"GO:0030593","neutrophil chemotaxis","GO:0030593",1.24691340376683e-05,1.78206377807162,6,4.90416370656324
"GO:0008285","negative regulation of cell population proliferation","GO:0008285",1.7929817713463e-05,1.90597510042411,10,4.74642412574398
"GO:0030335","positive regulation of cell migration","GO:0030335",1.8322957842717e-05,1.95794288236325,14,4.73700441761787
"GO:0032722","positive regulation of chemokine production","GO:0032722",2.12762248780249e-05,1.77833073009451,6,4.67210542807278
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844",2.29255127896451e-05,1.77763078359881,6,4.63968094140614
"GO:0045893","positive regulation of DNA-templated transcription","GO:0045893",3.25514667189116e-05,1.87683675522316,9,4.48742943801503
"GO:0043066","negative regulation of apoptotic process","GO:0043066",3.35248872316939e-05,1.89883554204339,10,4.47463267431858
"GO:0002503","peptide antigen assembly with MHC class II protein complex","GO:0002503",3.50333390041648e-05,1.65597143304983,4,4.45551846839235
"GO:0032760","positive regulation of tumor necrosis factor production","GO:0032760",3.71025067782409e-05,1.895696607249,11,4.43059674690304
"GO:0050830","defense response to Gram-positive bacterium","GO:0050830",3.71025067782409e-05,1.89570878607573,11,4.43059674690304
"GO:0038094","Fc-gamma receptor signaling pathway","GO:0038094",5.59922292478056e-05,1.6538185840729,4,4.25187224136825
"GO:0045766","positive regulation of angiogenesis","GO:0045766",5.81848004915921e-05,1.77016468764459,6,4.2351904504832
"GO:0006952","defense response","GO:0006952",5.85920277748394e-05,1.86854646216056,9,4.23216147150632
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","GO:0019886",6.21965564259448e-05,1.80390469837211,7,4.20623365978844
"GO:0006508","proteolysis","GO:0006508",8.11842055796461e-05,1.88510179251383,11,4.09052845470973
"GO:0030154","cell differentiation","GO:0030154",9.61541113358423e-05,1.8810964357237,11,4.01703214156282
"GO:0048002","antigen processing and presentation of peptide antigen","GO:0048002",9.83333323922999e-05,1.47550908176157,2,4.00729924289762
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","GO:0043123",0.000100125732463358,1.73204344618346,5,3.99945429384273
"GO:0032755","positive regulation of interleukin-6 production","GO:0032755",0.000111147896384948,1.80678024945702,8,3.95409875246166
"GO:0007015","actin filament organization","GO:0007015",0.000201476800913105,1.64725239469329,4,3.69577495356981
"GO:0007264","small GTPase-mediated signal transduction","GO:0007264",0.000201476800913105,1.64725239469329,4,3.69577495356981
"GO:0016192","vesicle-mediated transport","GO:0016192",0.000234565046513804,1.72443530936484,5,3.62973670337627
"GO:0010628","positive regulation of gene expression","GO:0010628",0.000242770313167292,1.869847995841,10,3.61480442145135
"GO:0001916","positive regulation of T cell mediated cytotoxicity","GO:0001916",0.000281189832727456,1.75324931399832,6,3.55100038660453
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","GO:0002474",0.000281189832727456,1.75324931399832,6,3.55100038660453
"GO:0042110","T cell activation","GO:0042110",0.000309465814740311,1.47331593785046,2,3.50938731850049
"GO:0042130","negative regulation of T cell proliferation","GO:0042130",0.000309465814740311,1.47331593785046,2,3.50938731850049
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","GO:0042590",0.000312932553976614,1.64316198163713,4,3.50454925539966
"GO:0002250","adaptive immune response","GO:0002250",0.000318245586798744,1.78124810017343,7,3.49723761011654
"GO:0050766","positive regulation of phagocytosis","GO:0050766",0.00032345105173731,1.64273141184175,4,3.49019143236406
"GO:0007166","cell surface receptor signaling pathway","GO:0007166",0.000325980044681516,1.75126613226049,6,3.48680898505465
"GO:0050776","regulation of immune response","GO:0050776",0.000335933443374094,1.75009955476764,6,3.47374675843928
"GO:0140367","antibacterial innate immune response","GO:0140367",0.000349747327650506,1.64165498735329,4,3.45624559518087
"GO:0001525","angiogenesis","GO:0001525",0.000375747087832051,1.74916629277336,6,3.42510437665821
"GO:0006935","chemotaxis","GO:0006935",0.000401074618415185,1.83873857322611,9,3.39677482101763
"GO:0042742","defense response to bacterium","GO:0042742",0.000409237375967455,1.85908165549568,10,3.38802470869607
"GO:0006357","regulation of transcription by RNA polymerase II","GO:0006357",0.0004169246462907,1.784466743773,8,3.37994243101505
"GO:0006911","phagocytosis, engulfment","GO:0006911",0.000418117802707223,1.64090149021136,4,3.37870134057465
"GO:2000406","positive regulation of T cell migration","GO:2000406",0.000433895628756059,1.64025563551828,4,3.3626147251109
"GO:0050918","positive chemotaxis","GO:0050918",0.000454437494757699,1.47188562660409,2,3.34252584302199
"GO:0016525","negative regulation of angiogenesis","GO:0016525",0.000515818673587423,1.71285277271561,5,3.28750293965218
"GO:0050821","protein stabilization","GO:0050821",0.000543651190257093,1.47131350210554,2,3.26467965679701
"GO:1902564","negative regulation of neutrophil activation","GO:1902564",0.000543651190257093,1.47131350210554,2,3.26467965679701
"GO:0006968","cellular defense response","GO:0006968",0.000630633312065998,1.47074137760699,2,3.20022309216037
"GO:0045730","respiratory burst","GO:0045730",0.000630633312065998,1.47074137760699,2,3.20022309216037
"GO:0050665","hydrogen peroxide biosynthetic process","GO:0050665",0.000630633312065998,1.47074137760699,2,3.20022309216037
"GO:0032757","positive regulation of interleukin-8 production","GO:0032757",0.000675834914007214,1.76832903542553,7,3.17015937608731
"GO:0006811","monoatomic ion transport","GO:0006811",0.00075149113925153,1.63412001593405,4,3.12407613576483
