"gene_list","tf","n_in_list","n_in_master","pct_coverage_list","pct_coverage_master"
"GO_cell_death","Rela",42,120,65.62,55.81
"GO_cell_death","Bcl3",35,112,54.69,52.09
"GO_cell_death","Nfatc3",39,148,60.94,68.84
"GO_cell_death","Ap3b1",39,110,60.94,51.16
"GO_cell_death","Stat6",39,105,60.94,48.84
"GO_cell_death","Irf9",32,92,50,42.79
"GO_cell_death","Yy1",42,140,65.62,65.12
"GO_cell_death","Stat1",36,126,56.25,58.6
"GO_cell_death","Irf2",32,90,50,41.86
"GO_cell_death","Irf5",32,90,50,41.86
"GO_cell_death","Irf7",32,90,50,41.86
"GO_cell_death","Irf1",37,118,57.81,54.88
"GO_cell_death","Irf8",36,93,56.25,43.26
"GO_cell_death","Stat2",28,99,43.75,46.05
"GO_cell_death","Pura",36,145,56.25,67.44
"GO_cell_death","Tbp",26,110,40.62,51.16
"GO_cell_death","Cebpb",29,21,45.31,9.77
"GO_cell_death","Cebpa",23,21,35.94,9.77
"GO_cell_death","Cebpd",23,21,35.94,9.77
"GO_cell_death","Nlk",5,11,7.81,5.12
"GO_cell_death","Nr1h3",22,50,34.38,23.26
"GO_cell_death","Nr1h2",22,50,34.38,23.26
"GO_cell_death","Thra",23,51,35.94,23.72
"GO_cell_death","Jun",22,50,34.38,23.26
"GO_cell_death","Nr3c1",6,78,9.38,36.28
"GO_cell_death","Gata1",4,117,6.25,54.42
"GO_cell_death","Nfatc1",6,17,9.38,7.91
"GO_cell_death","Ets1",21,140,32.81,65.12
"GO_cell_death","Fli1",21,135,32.81,62.79
"GO_cell_death","Elf4",21,125,32.81,58.14
"GO_cell_death","Ets2",21,138,32.81,64.19
"GO_cell_death","Ehf",21,118,32.81,54.88
"GO_cell_death","E2f6",22,107,34.38,49.77
"GO_cell_death","Bptf",21,117,32.81,54.42
"GO_cell_death","Sox10",4,8,6.25,3.72
"GO_cell_death","Stat3",5,41,7.81,19.07
"GO_cell_death","Ltf",2,90,3.12,41.86
"GO_metabolism","Rela",66,120,63.46,55.81
"GO_metabolism","Bcl3",59,112,56.73,52.09
"GO_metabolism","Stat6",57,105,54.81,48.84
"GO_metabolism","Ap3b1",61,110,58.65,51.16
"GO_metabolism","Irf1",58,118,55.77,54.88
"GO_metabolism","Nfatc3",64,148,61.54,68.84
"GO_metabolism","Irf2",47,90,45.19,41.86
"GO_metabolism","Irf7",47,90,45.19,41.86
"GO_metabolism","Irf5",49,90,47.12,41.86
"GO_metabolism","Irf8",46,93,44.23,43.26
"GO_metabolism","Irf9",44,92,42.31,42.79
"GO_metabolism","Stat1",59,126,56.73,58.6
"GO_metabolism","Stat2",52,99,50,46.05
"GO_metabolism","Pura",63,145,60.58,67.44
"GO_metabolism","Yy1",63,140,60.58,65.12
"GO_metabolism","Tbp",43,110,41.35,51.16
"GO_metabolism","E2f6",24,107,23.08,49.77
"GO_metabolism","Ets1",38,140,36.54,65.12
"GO_metabolism","Ets2",10,138,9.62,64.19
"GO_metabolism","Fli1",10,135,9.62,62.79
"GO_metabolism","Elf4",10,125,9.62,58.14
"GO_metabolism","Ehf",38,118,36.54,54.88
"GO_metabolism","Ltf",41,90,39.42,41.86
"GO_metabolism","Myf6",13,25,12.5,11.63
"GO_metabolism","Tfeb",13,25,12.5,11.63
"GO_metabolism","Mxd4",13,25,12.5,11.63
"GO_metabolism","Stat3",16,41,15.38,19.07
"GO_metabolism","Jun",31,50,29.81,23.26
"GO_metabolism","Cebpb",38,21,36.54,9.77
"GO_metabolism","Cebpa",38,21,36.54,9.77
"GO_metabolism","Cebpd",38,21,36.54,9.77
"GO_metabolism","Gata1",38,117,36.54,54.42
"GO_metabolism","Smad3",23,48,22.12,22.33
"GO_metabolism","Runx2",4,95,3.85,44.19
"GO_metabolism","Nr3c1",4,78,3.85,36.28
"GO_metabolism","Bptf",4,117,3.85,54.42
"GO_metabolism","Runx3",4,87,3.85,40.47
"LLM_cell_death","Bcl3",27,112,56.25,52.09
"LLM_cell_death","Rela",31,120,64.58,55.81
"LLM_cell_death","Nfatc3",29,148,60.42,68.84
"LLM_cell_death","Ap3b1",29,110,60.42,51.16
"LLM_cell_death","Stat6",25,105,52.08,48.84
"LLM_cell_death","Pura",28,145,58.33,67.44
"LLM_cell_death","Ehf",23,118,47.92,54.88
"LLM_cell_death","Ets1",24,140,50,65.12
"LLM_cell_death","Gata1",26,117,54.17,54.42
"LLM_cell_death","Ltf",11,90,22.92,41.86
"LLM_cell_death","Stat1",26,126,54.17,58.6
"LLM_cell_death","Irf8",18,93,37.5,43.26
"LLM_cell_death","Irf7",18,90,37.5,41.86
"LLM_cell_death","Irf5",18,90,37.5,41.86
"LLM_cell_death","Irf2",18,90,37.5,41.86
"LLM_cell_death","Irf1",22,118,45.83,54.88
"LLM_cell_death","Yy1",27,140,56.25,65.12
"LLM_cell_death","Stat2",18,99,37.5,46.05
"LLM_cell_death","Irf9",18,92,37.5,42.79
"LLM_cell_death","Fli1",26,135,54.17,62.79
"LLM_cell_death","Ets2",23,138,47.92,64.19
"LLM_cell_death","Elf4",19,125,39.58,58.14
"LLM_cell_death","Runx2",14,95,29.17,44.19
"LLM_cell_death","Nr3c1",24,78,50,36.28
"LLM_cell_death","Bptf",14,117,29.17,54.42
"LLM_cell_death","Runx3",14,87,29.17,40.47
"LLM_cell_death","Runx1",8,40,16.67,18.6
