Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Bcl3	Nfkbia	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Il1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Bcl2a1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Junb	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Rac2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Stat1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Prkcd	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Kcnk6	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Socs3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Calr	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Atf3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Ncf2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Lcn2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Tnf	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Tlr7	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Nmnat2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	Ncf1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Bcl3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Nfkbia	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Il1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Bcl2a1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Junb	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Rac2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Stat1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Prkcd	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Kcnk6	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Socs3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Calr	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Atf3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Ncf2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Lcn2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Tnf	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Tlr7	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Nmnat2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	Ncf1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Rela	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Nfkbia	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Il1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Bcl2a1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Junb	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Rac2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Stat1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Prkcd	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Kcnk6	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Socs3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Calr	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Atf3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Ncf2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Lcn2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Tnf	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Tlr7	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Nmnat2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	Ncf1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Nfatc3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Nfkbia	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Il1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Bcl2a1b	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Junb	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Rac2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Stat1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Prkcd	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Kcnk6	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Socs3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Calr	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Atf3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Ncf2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Lcn2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Tnf	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Tlr7	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Nmnat2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	Ncf1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Ap3b1	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.01864	mm9
Stat6	Nfkbia	regulates via transfac_public-M00054	transfac_public-M00054	6.59468	mm9
Stat6	Rac2	regulates via transfac_public-M00054	transfac_public-M00054	6.59468	mm9
