"test_ligand","auroc","aupr","aupr_corrected","pearson"
"2300002M23Rik",0.720701846489007,0.0264840121328972,0.0194536599392921,0.0804709375531751
"2610528A11Rik",0.724747914451933,0.024448713040403,0.0174183608467979,0.0797313300833666
"9530003J23Rik",0.691879258157617,0.0237941121426031,0.016763759948998,0.0721901849572378
"a",0.734950473143155,0.0248364709958598,0.0178061188022547,0.0870100849353162
"A2m",0.723335947359883,0.0264015806859722,0.0193712284923671,0.0798662495373678
"Aanat",0.697889119016316,0.0233835682007926,0.0163532160071875,0.0714167852910682
"Abca1",0.699608746995399,0.0152748556452358,0.00824450345163068,0.0113615292901308
"Ace",0.68433960263303,0.020859326119589,0.0138289739259839,0.0636713051521
"Ace2",0.701245241075239,0.0250539314782855,0.0180235792846804,0.0772618596638915
"Acp4",0.695232761825942,0.021552290227431,0.0145219380338259,0.0702551165575241
"Adam10",0.687610626999817,0.0193178319353479,0.0122874797417428,0.0571453241783524
"Adam11",0.693954987248495,0.0344575852640691,0.027427233070464,0.0797462880403676
"Adam12",0.699572089527994,0.0220584471418674,0.0150280949482623,0.0641444570261827
"Adam15",0.682866757961186,0.021269829084321,0.0142394768907159,0.0646654347603714
"Adam17",0.753888637232499,0.0354786996866931,0.0284483474930881,0.0966040870256319
"Adam2",0.711676908937604,0.0268507763751272,0.0198204241815221,0.0815389297017064
"Adam20",0.703707182768885,0.0314864185604084,0.0244560663668033,0.0801805630780464
"Adam21",0.694584055572723,0.0174966838063936,0.0104663316127886,0.0289013098462316
"Adam23",0.696916386935296,0.0222412604017301,0.015210908208125,0.0670070249375236
"Adam25",0.703707182768885,0.0314864185604084,0.0244560663668033,0.0801805630780464
"Adam28",0.682197104583764,0.0177236778311095,0.0106933256375045,0.0622977288898467
"Adam29",0.705998929078319,0.0240656940719346,0.0170353418783295,0.0768044055418365
"Adam39",0.703707182768885,0.0314864185604084,0.0244560663668033,0.0801805630780464
"Adam7",0.70064432044912,0.0240567714946475,0.0170264193010425,0.0716912229472911
"Adam9",0.707072469194578,0.0336447700641966,0.0266144178705916,0.0792225328019119
"Adamts3",0.713014906497264,0.0238602275052909,0.0168298753116858,0.0633693433872855
"Adcyap1",0.691898241488891,0.0182355945382095,0.0112052423446044,0.0443595406153243
"Adgrb1",0.717134943992601,0.0256045904481238,0.0185742382545187,0.0754628965070984
"Adgre5",0.676449082777811,0.0176272168420844,0.0105968646484793,0.0587513145516852
"Adgrf5",0.703159939148564,0.0142976216675337,0.00726726947392864,0.0522288383384063
"Adipoq",0.714760063783995,0.0215157337510676,0.0144853815574625,0.0606586954924373
"Adm",0.65639810271424,0.0114684735645193,0.0044381213709142,0.00429546002492866
"Adm2",0.720989214849438,0.0246063838109941,0.017576031617389,0.0784316792910702
"Agrn",0.722867255455403,0.027245199772259,0.0202148475786539,0.071569298430192
"Agrp",0.696973336929292,0.0154633312272906,0.00843297903368548,0.0592900497072506
"Agt",0.731360005132077,0.0364013054798748,0.0293709532862697,0.0737813010467916
"Ahsg",0.691953227689984,0.0259412929545147,0.0189109407609096,0.0914095585618417
"Aimp1",0.685701820305117,0.0218854056285109,0.0148550534349058,0.0636933941574959
"Alb",0.724873597197288,0.036910041183831,0.0298796889902259,0.107107952214332
"Alcam",0.711634360091534,0.0242760757158952,0.0172457235222901,0.0842988192183315
"Alkal1",0.737208180375711,0.0190747447875179,0.0120443925939128,0.0655261304969438
"Alkal2",0.733723757180962,0.0183950884023587,0.0113647362087537,0.0596935687686832
"Alox5ap",0.701524754264043,0.0228868439615233,0.0158564917679182,0.0717386890597872
"Ambn",0.6807707363438,0.0208181917979021,0.013787839604297,0.0660357367850683
"Amelx",0.684490160088421,0.0213238630712338,0.0142935108776288,0.0677417037792323
"Amh",0.739996111690057,0.0283360939375799,0.0213057417439748,0.0876462027297656
"Ang",0.697066289792994,0.0252025967943439,0.0181722446007388,0.0680367813336133
"Ang2",0.696955008195561,0.0252467162070753,0.0182163640134702,0.0678659463323715
"Ang4",0.696593015705101,0.025237343680295,0.0182069914866899,0.0682473364703675
"Ang5",0.696261134705714,0.0251657700246631,0.018135417831058,0.068254693709859
"Ang6",0.696261134705714,0.0251657700246631,0.018135417831058,0.068254693709859
"Angpt1",0.728153785930949,0.018048031386464,0.0110176791928589,0.0278291546111596
"Angpt2",0.728115819268198,0.0252183765344185,0.0181880243408134,0.0903296413213309
"Angpt4",0.692484106369576,0.0166385244960042,0.00960817230239915,0.0607779095411378
"Angptl1",0.731878446456502,0.0259892766347278,0.0189589244411227,0.0825931822355783
"Angptl2",0.679923687008084,0.0147681670609489,0.00773781486734386,0.00806820217851464
"Angptl3",0.728155095126159,0.0361459659205531,0.029115613726948,0.0896789179922063
"Angptl4",0.682957747032029,0.015722468588146,0.00869211639454091,0.0208124785250958
"Angptl6",0.700781785951803,0.0186836389623969,0.0116532867687918,0.0655544699669948
"Angptl7",0.710843606152173,0.0237791428425129,0.0167487906489079,0.0760600932759639
"Anpep",0.716209997538716,0.0237375004708185,0.0167071482772134,0.0701377602943889
"Antxr1",0.682448470074396,0.0209416657439725,0.0139113135503674,0.0635877984839084
"Anxa1",0.709041498871455,0.0307806421668588,0.0237502899732537,0.103840375524697
"Anxa2",0.703936946537691,0.0239226935369869,0.0168923413433818,0.0684255404194802
"Apln",0.708494255251174,0.0160614221704866,0.00903106997688149,0.0122150598649563
"Apoa1",0.717194512377155,0.0340625883442665,0.0270322361506614,0.0903849527413838
"Apoa2",0.704610527500932,0.0252283286593892,0.0181979764657841,0.0759811041870812
"Apoa4",0.709966445325397,0.0255367406185713,0.0185063884249663,0.0773714343858504
"Apoa5",0.671621425242315,0.0242580800816639,0.0172277278880588,0.0679791640289905
"Apob",0.70784162141213,0.0258574653055259,0.0188271131119208,0.0751129469467522
"Apoc1",0.706660727284121,0.025872451342287,0.0188420991486819,0.0775676445410835
"Apoc2",0.708090368512293,0.0251985367008764,0.0181681845072713,0.0760390358922013
"Apoc3",0.69620549390699,0.0265987841366131,0.019568431943008,0.0691672445981613
"Apoc4",0.70546215902013,0.0245636621298733,0.0175333099362682,0.0774108327877453
"Apod",0.681698955785906,0.0156929509947961,0.00866259880119102,0.0228426544578475
"Apoe",0.715295524646913,0.033406330411492,0.0263759782178869,0.0857231830045661
"Apoo",0.68833919416413,0.022706725352099,0.0156763731584939,0.068038261843908
"App",0.71501732065336,0.022852057278886,0.0158217050852809,0.0481761308091248
"Areg",0.699979249255075,0.016500939446411,0.0094705872528059,0.0306857686407404
"Arf1",0.69197810240001,0.0230591343713476,0.0160287821777425,0.0717665157128611
"Armh4",0.688225948773799,0.0190807532921862,0.0120504010985811,0.0641961432061572
"Artn",0.717178802033963,0.0250542174823945,0.0180238652887894,0.0708206441345933
"Atp1b1",0.718305364558493,0.0228438262042901,0.015813474010685,0.0596524697037049
"AU040320",0.711631741701015,0.0243737781352211,0.017343425941616,0.0758401001075948
"Avp",0.708846428777162,0.0228411152101328,0.0158107630165278,0.0459437616891269
"Azgp1",0.694510086040304,0.0248038291796461,0.0177734769860411,0.0754172758916052
"B2m",0.713606662756526,0.0248569454708361,0.0178265932772311,0.0581960002845135
"Bace1",0.681050249532688,0.031008763627317,0.0239784114337119,0.0793967179805109
"Bace2",0.685782990411453,0.0224756685316985,0.0154453163380934,0.0745445125020421
"BC053393",0.697235830579733,0.0257075525988686,0.0186772004052635,0.0747286029029069
"Bcan",0.720950593589129,0.0260433090620207,0.0190129568684156,0.0818590039375588
"Bdnf",0.680474858214169,0.0135581001096852,0.00652774791608013,0.0308669588010697
"Bgn",0.743403292364242,0.0274134382153647,0.0203830860217596,0.0756346118622734
"Bmp1",0.691342488099403,0.0204395498061226,0.0134091976125175,0.0685587831168481
"Bmp10",0.696869255905772,0.0206275543208018,0.0135972021271968,0.0686643851624033
"Bmp15",0.705342367653462,0.0191504222983529,0.0121200701047478,0.0614121339219307
"Bmp2",0.684250577355127,0.0160605387885174,0.00903018659491234,0.0428257153608643
"Bmp3",0.686971085113406,0.017392267831958,0.0103619156383529,0.0614940489888321
"Bmp4",0.693519025225592,0.0143691129986661,0.00733876080506105,0.01776095625472
"Bmp5",0.690111189953813,0.0202421905807334,0.0132118383871283,0.0660042812501241
"Bmp6",0.694167731478822,0.0167678570839451,0.00973750489034004,0.0325388148067904
"Bmp7",0.690895397916791,0.0152201139034075,0.00818976170980239,0.0176650626824471
"Bmp8a",0.692688995428286,0.0172553132622389,0.0102249610686338,0.0633838447306649
"Boc",0.721433686641484,0.0237038754193305,0.0166735232257254,0.0768864733154891
"Bpi",0.6912069863896,0.0213849024502645,0.0143545502566594,0.0548084671507466
"Bst2",0.728879734704658,0.0240681010891747,0.0170377488955696,0.079947502175546
"Btc",0.735974918437105,0.0239164945027236,0.0168861423091185,0.0550120611726881
"Btla",0.735708497200966,0.0292545766233664,0.0222242244297614,0.0896110274515078
"Btn1a1",0.651130555570114,0.0171251692740671,0.010094817080462,0.0511836231248056
"Btnl9",0.719379559272473,0.0258506174117873,0.0188202652181822,0.0806115401957527
"C1qa",0.718088692742336,0.0262211085419062,0.0191907563483012,0.0618623787107797
"C1qb",0.715362293605358,0.0269000374331271,0.019869685239522,0.0777753611650748
"C1qtnf1",0.683897094633897,0.0216261587069964,0.0145958065133913,0.0667833017857039
"C1qtnf5",0.715250357410282,0.0247688953750343,0.0177385431814292,0.0789321675853098
"C3",0.725227734516175,0.0264745882265437,0.0194442360329386,0.0777918158574281
"C4b",0.707061995632499,0.0336384722417316,0.0266081200481265,0.0784097198725625
"C4bp",0.734752784658321,0.0462818337111681,0.039251481517563,0.106067153137377
"Cadm1",0.679161735364536,0.0144919497064151,0.00746159751281,0.023771021531167
"Cadm2",0.710439719413297,0.0171954228949386,0.0101650707013335,0.0484858370366116
"Cadm3",0.706518025000437,0.0166487249824896,0.00961837278888456,0.056615248277797
"Cadm4",0.725294503474568,0.031797443735479,0.0247670915418739,0.0758903681418036
"Calca",0.713610590342361,0.0360838095112831,0.029053457317678,0.0814837575935609
"Calcb",0.723819040412239,0.023126720862229,0.0160963686686239,0.0601130803288107
"Calm1",0.706965769780629,0.0249548950095401,0.017924542815935,0.0863577868174165
"Calm2",0.705788148640828,0.0217277688327737,0.0146974166391687,0.0510652081212083
"Calm3",0.696414310551607,0.0201581952432983,0.0131278430496932,0.0590370753876822
"Calr",0.664775643207625,0.0143420456626961,0.00731169346909103,0.0191684866034121
"Camp",0.692658229339604,0.0161374370277042,0.0091070848340991,0.0295988551837719
"Car12",0.704439677519054,0.0207635350142233,0.0137331828206182,0.070357233887703
"Cck",0.748061409113126,0.0299642095734078,0.0229338573798027,0.0617731603305175
"Ccl1",0.731691231533818,0.0244822340361634,0.0174518818425583,0.0838925075422611
"Ccl11",0.724226854736938,0.0264446566217858,0.0194143044281807,0.0768466862094484
"Ccl12",0.729680962206169,0.0190760883806314,0.0120457361870263,0.0285771166980502
"Ccl17",0.728096835936887,0.0285942289886458,0.0215638767950407,0.0771791932339255
"Ccl19",0.720885788423596,0.0174853117026203,0.0104549595090152,0.0130476367858871
"Ccl19-ps1",0.719727150615089,0.0174213083011958,0.0103909561075907,0.0120366279294967
"Ccl2",0.738505592882177,0.046431885266815,0.03940153307321,0.095921916350991
"Ccl20",0.728704957136974,0.0273295733808882,0.0202992211872831,0.0661216654945618
"Ccl21a",0.724653652392972,0.0273941775281002,0.0203638253344951,0.0576906402304582
"Ccl21b",0.722231641154817,0.0274392614254039,0.0204089092317989,0.0577489985680162
"Ccl21d",0.724424543221799,0.0273609226979824,0.0203305705043773,0.0572075620876557
