"test_ligand","auroc","aupr","aupr_corrected","pearson"
"2300002M23Rik",0.746210484824615,0.0170160283094588,0.0141092480755644,0.0646361798818089
"2610528A11Rik",0.789091052424044,0.0224994641262644,0.01959268389237,0.0755784179596901
"9530003J23Rik",0.750193141505654,0.0178763349169479,0.0149695546830535,0.0652709880721092
"a",0.794043358297165,0.0239667760299903,0.0210599957960959,0.0860336802320621
"A2m",0.771241623965335,0.0227555943767667,0.0198488141428723,0.0710278446652225
"Aanat",0.75616554986201,0.0198414092055776,0.0169346289716832,0.0671772291912366
"Abca1",0.743426093811592,0.00798219080060739,0.00507541056671299,0.0123830947549524
"Ace",0.748684272763039,0.0147189322989892,0.0118121520650948,0.0662813839879663
"Ace2",0.753464722112671,0.0210969372870391,0.0181901570531447,0.07190588470791
"Acp4",0.751005124162405,0.0162407273338106,0.0133339470999162,0.0625918706482767
"Adam10",0.756143476547059,0.0145644014600005,0.011657621226106,0.053799887612814
"Adam11",0.719586913677525,0.0196246709771363,0.0167178907432419,0.059754552242876
"Adam12",0.732009459992093,0.0155785644731354,0.012671784239241,0.0551257741843163
"Adam15",0.729362238864771,0.015415651373876,0.0125088711399816,0.0562962996866259
"Adam17",0.800684272763065,0.022941755189834,0.0200349749559396,0.0533466317549525
"Adam2",0.749229798975129,0.0202939012619254,0.017387121028031,0.0712108369991529
"Adam20",0.739229010642433,0.039279461631664,0.0363726813977696,0.076564755038112
"Adam21",0.733262908947614,0.0098669690111224,0.00696018877722799,0.0267056319506185
"Adam23",0.737997635001915,0.0176530944944336,0.0147463142605392,0.0603381845582513
"Adam25",0.739229010642433,0.039279461631664,0.0363726813977696,0.076564755038112
"Adam28",0.718026014978327,0.0149130316056035,0.012006251371709,0.0585095158208226
"Adam29",0.733546708711051,0.0168546071380362,0.0139478269041418,0.0653551800867973
"Adam39",0.739229010642433,0.039279461631664,0.0363726813977696,0.076564755038112
"Adam7",0.757196689002766,0.0164516706444375,0.0135448904105431,0.0616979457680138
"Adam9",0.756143476547108,0.0404621929054283,0.0375554126715339,0.075235201959828
"Adamts3",0.760963342530536,0.0156141798864984,0.012707399652604,0.0558210630237755
"Adcyap1",0.725757981868365,0.011736575099792,0.00882979486589757,0.0476524397205231
"Adgrb1",0.752867165944018,0.0204626640451601,0.0175558838112657,0.0652549703612881
