"test_ligand","auroc","aupr","aupr_corrected","pearson"
"2300002M23Rik",0.670472735793006,0.00782149051178094,0.00363031901174714,0.0371178845593083
"2610528A11Rik",0.681487471012407,0.00801057174581823,0.00381940024578443,0.0377768204071622
"9530003J23Rik",0.649402401343647,0.00722634196169207,0.00303517046165828,0.0319608690182519
"a",0.680919215785853,0.00878782943331764,0.00459665793328384,0.0429318630284588
"A2m",0.669954846154988,0.0077643521188296,0.0035731806187958,0.0357009513833907
"Aanat",0.65059694171384,0.00737842968441112,0.00318725818437732,0.0327016263719047
"Abca1",0.638178539441738,0.00652589818726422,0.00233472668723042,0.0078866078183879
"Ace",0.642432241859923,0.00796228129705534,0.00377110979702154,0.0259037096609227
"Ace2",0.650709716835915,0.00833050061730497,0.00413932911727117,0.0377765020405681
"Acp4",0.66075217721677,0.0082095997064535,0.0040184282064197,0.037606249866125
"Adam10",0.639389503373375,0.00613302294531238,0.00194185144527858,0.021547327701871
"Adam11",0.631576267734728,0.0233344990749237,0.0191433275748899,0.0413300837457841
"Adam12",0.640983683739107,0.00746457170603047,0.00327340020599667,0.0291608360232327
"Adam15",0.620979785880571,0.00657078818573205,0.00237961668569825,0.0265521267730474
"Adam17",0.691497084270424,0.00936494670886353,0.00517377520882973,0.0321837762621279
"Adam2",0.643748316584959,0.00761675690663493,0.00342558540660113,0.032960825520429
"Adam20",0.643868756035696,0.00705466416976664,0.00286349266973284,0.0298263818723802
"Adam21",0.648718086282808,0.00742125928938355,0.00323008778934975,0.0197804619715028
"Adam23",0.632517885258398,0.00655911101090291,0.00236793951086911,0.0259876826055638
"Adam25",0.643868756035696,0.00705466416976664,0.00286349266973284,0.0298263818723802
"Adam28",0.643038818729852,0.00732435570828596,0.00313318420825216,0.0323698400139914
"Adam29",0.655192254210478,0.00925785011111976,0.00506667861108596,0.0406884259972477
"Adam39",0.643868756035696,0.00705466416976664,0.00286349266973284,0.0298263818723802
"Adam7",0.651390747184448,0.00767599020585517,0.00348481870582137,0.0336374958939841
"Adam9",0.647095438410501,0.0235507552940505,0.0193595837940167,0.04329184595687
"Adamts3",0.653376903217015,0.00746283093199404,0.00327165943196024,0.0263987284450304
"Adcyap1",0.642176034301113,0.00654057310049892,0.00234940160046512,0.0124347756671516
"Adgrb1",0.669538782598047,0.00824343343538218,0.00405226193534838,0.0366763737535631
"Adgre5",0.634623385837616,0.00692094604670176,0.00272977454666796,0.0276272608805335
"Adgrf5",0.682115945964276,0.007078540942642,0.0028873694426082,0.0305188074898235
"Adipoq",0.660459837822769,0.00715610914275971,0.00296493764272591,0.0203298846449632
"Adm",0.649296195646229,0.00673539971025206,0.00254422821021826,0.0109521533336431
"Adm2",0.670892084062371,0.00772022224869006,0.00352905074865626,0.0360898252444616
"Agrn",0.677791074779758,0.00852373452096936,0.00433256302093557,0.0345894284826506
"Agrp",0.642518739283626,0.00587072019076249,0.00167954869072869,0.0215133943133681
"Agt",0.686080593700747,0.0255500302961576,0.0213588587961238,0.0481826620519995
"Ahsg",0.646645432826509,0.00748462829215005,0.00329345679211625,0.0290595992783351
"Aimp1",0.629310911157292,0.00652307557565454,0.00233190407562074,0.0165387686579954
"Alb",0.679112624025229,0.00847250528559168,0.00428133378555788,0.0174275792154574
"Alcam",0.661705838685592,0.00843345299528073,0.00424228149524693,0.0383609027345565
"Alkal1",0.666532175946668,0.00721063622505124,0.00301946472501744,0.0255444053961245
"Alkal2",0.662894904535268,0.0070953867176698,0.002904215217636,0.022834886417298
"Alox5ap",0.665256612673246,0.00764966222938497,0.00345849072935117,0.0355906187191127
"Ambn",0.633951114721846,0.00651743033676531,0.00232625883673151,0.0286215239678514
"Amelx",0.651643670030914,0.00692440536403577,0.00273323386400197,0.0319687913899888
"Amh",0.703453437013406,0.00965787599863051,0.00546670449859671,0.0453079142832537
"Ang",0.64187384077026,0.00908814089549021,0.00489696939545641,0.035685389801375
"Ang2",0.641530040883661,0.00896632629888592,0.00477515479885212,0.0352992112416874
"Ang4",0.641848657976018,0.00909560481646118,0.00490443331642738,0.0357935899831555
"Ang5",0.641729313429401,0.00907380895940054,0.00488263745936674,0.0358004173964418
"Ang6",0.641729313429401,0.00907380895940054,0.00488263745936674,0.0358004173964418
"Angpt1",0.67280159680811,0.00663719168222253,0.00244602018218873,-0.00381643012629263
"Angpt2",0.67574469902181,0.0135917233311747,0.00940055183114094,0.0700841677004036
"Angpt4",0.647799461745117,0.00637385766100936,0.00218268616097556,0.0277761581332267
"Angptl1",0.6761125867985,0.00822988518238083,0.00403871368234703,0.0387870877627611
"Angptl2",0.643899413350381,0.00687002618812745,0.00267885468809365,0.00938059983502374
"Angptl3",0.677863338450181,0.00870272972681671,0.00451155822678291,0.0414167875382448
"Angptl4",0.64108550982015,0.00712116628231033,0.00292999478227653,0.00862266884260506
"Angptl6",0.637659554899582,0.00652379032884556,0.00233261882881176,0.027684758371933
