"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"2300002M23Rik",0.774297675621505,0.0179374331230353,0.0136786620826784,0.073089933808608,0.01,0.0105405405405405
"2610528A11Rik",0.782060690309153,0.0198059266355238,0.0155471555951669,0.0790037489957729,0.01,0.0105405405405405
"9530003J23Rik",0.750108837379759,0.0182843218767263,0.0140255508363694,0.0704576514272787,0.01,0.0105405405405405
"a",0.811193547344282,0.0206942524629984,0.0164354814226415,0.0874954080209723,0.01,0.0105405405405405
"A2m",0.785951896033323,0.0215382415586278,0.0172794705182708,0.0792494178022796,0.01,0.0105405405405405
"Aanat",0.749158396103447,0.0173129048268273,0.0130541337864704,0.0680360012608729,0.01,0.0105405405405405
"Abca1",0.75796775827329,0.0114548007696026,0.00719602972924568,0.0102130263014388,0.01,0.0105405405405405
"Ace",0.745702539898062,0.0156063657873958,0.0113475947470389,0.0655792169692502,0.01,0.0105405405405405
"Ace2",0.754103492494507,0.0180921767421241,0.0138334057017672,0.0711948911252759,0.01,0.0105405405405405
"Acp4",0.749663789480464,0.0155134884908955,0.0112547174505386,0.0664170659918325,0.01,0.0105405405405405
"Adam10",0.758542117910739,0.0174461887806457,0.0131874177402888,0.0614846411749327,0.01,0.0105405405405405
"Adam11",0.749984913630581,0.0355646575416907,0.0313058865013338,0.0801064251429573,0.01,0.0105405405405405
"Adam12",0.761517365488825,0.0174095661304526,0.0131507950900957,0.0639893451945262,0.01,0.0105405405405405
"Adam15",0.744023642496186,0.0162484194515714,0.0119896484112145,0.0638343446374609,0.01,0.0105405405405405
"Adam17",0.812112738283855,0.0401030702818058,0.0358442992414489,0.117618719308491,0.01,0.0105405405405405
"Adam2",0.769860127803071,0.0229561817510427,0.0186974107106858,0.0825315430161405,0.01,0.0105405405405405
"Adam20",0.753489261737687,0.034130110263269,0.0298713392229121,0.0838008883359005,0.01,0.0105405405405405
"Adam21",0.773307363225892,0.0151799702205279,0.010921199180171,0.0403266068719803,0.01,0.0105405405405405
"Adam23",0.771048718197407,0.0181454700189531,0.0138866989785962,0.0689457053585522,0.01,0.0105405405405405
"Adam25",0.753489261737687,0.034130110263269,0.0298713392229121,0.0838008883359005,0.01,0.0105405405405405
"Adam28",0.720635459433793,0.0134086877023913,0.0091499166620344,0.0592320369181496,0.01,0.0105405405405405
"Adam29",0.756838435758972,0.0177186477067345,0.0134598766663776,0.07265864778985,0.01,0.0105405405405405
"Adam39",0.753489261737687,0.034130110263269,0.0298713392229121,0.0838008883359005,0.01,0.0105405405405405
"Adam7",0.763068028750337,0.0186529246544773,0.0143941536141203,0.070964442398908,0.01,0.0105405405405405
"Adam9",0.761884826345069,0.0350453793184413,0.0307866082780844,0.0810962810602077,0.01,0.0105405405405405
"Adamts3",0.773870946885203,0.0177868966783994,0.0135281256380425,0.0613327770310281,0.01,0.0105405405405405
"Adcyap1",0.752123945301146,0.0164030706256454,0.0121442995852885,0.0667905192342363,0.01,0.0105405405405405
"Adgrb1",0.771403247879815,0.0182032792533263,0.0139445082129694,0.070329093520485,0.01,0.0105405405405405
"Adgre5",0.717647280681861,0.0146977818463512,0.0104390108059943,0.064299178018418,0.01,0.0105405405405405
"Adgrf5",0.725507279173347,0.00947008362327508,0.00521131258291816,0.0435503707362557,0.01,0.0105405405405405
