"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"2300002M23Rik",0.655541988875322,0.456531372309139,0.106531372309139,0.219537358652962,0.01,0.0114603739982191
"2610528A11Rik",0.70668837335504,0.526923732238521,0.176923732238521,0.287189948934284,0.01,0.0114603739982191
"9530003J23Rik",0.654999321665988,0.47166587353951,0.12166587353951,0.23986298140606,0.01,0.0114603739982191
"a",0.670601003934337,0.45780626308137,0.10780626308137,0.209358796275621,0.01,0.0114603739982191
"A2m",0.69298602631936,0.501817486212409,0.151817486212409,0.27815043741082,0.01,0.0114603739982191
"Aanat",0.673314339981007,0.484765368380118,0.134765368380118,0.249875249592209,0.01,0.0114603739982191
"Abca1",0.651743318409985,0.426021864694991,0.0760218646949911,-0.0438793902729977,0.05,0.0523170731707317
"Ace",0.665988332655,0.462610902658325,0.112610902658325,0.127402816065752,0.01,0.0114603739982191
"Ace2",0.668566001899336,0.496260783220504,0.146260783220504,0.250381805407092,0.01,0.0114603739982191
"Acp4",0.684032017365351,0.487094854275472,0.137094854275472,0.246661422982117,0.01,0.0114603739982191
"Adam10",0.707366707366708,0.545301737246981,0.195301737246981,0.310285714204926,0.01,0.0114603739982191
"Adam11",0.68674535341202,0.517825627546205,0.167825627546205,0.255761909139967,0.01,0.0114603739982191
"Adam12",0.687559354226021,0.49324722599854,0.14324722599854,0.273884615473363,0.01,0.0114603739982191
"Adam15",0.687152353819021,0.491366034079524,0.141366034079524,0.27610854888037,0.01,0.0114603739982191
"Adam17",0.710215710215711,0.556628718808051,0.206628718808051,0.21701551563256,0.01,0.0114603739982191
"Adam2",0.693528693528694,0.518089207082386,0.168089207082387,0.282899822792469,0.01,0.0114603739982191
"Adam20",0.672364672364672,0.506054085239582,0.156054085239582,0.240817494165243,0.01,0.0114603739982191
"Adam21",0.691086691086691,0.48223764971125,0.13223764971125,0.134748994070242,0.01,0.0114603739982191
"Adam23",0.698005698005697,0.520852669546277,0.170852669546277,0.294662040083611,0.01,0.0114603739982191
"Adam25",0.672364672364672,0.506054085239582,0.156054085239582,0.240817494165243,0.01,0.0114603739982191
"Adam28",0.676027676027676,0.495542987627223,0.145542987627223,0.26125829768335,0.01,0.0114603739982191
"Adam29",0.639261972595306,0.450578519926812,0.100578519926812,0.204351514527628,0.01,0.0114603739982191
"Adam39",0.672364672364672,0.506054085239582,0.156054085239582,0.240817494165243,0.01,0.0114603739982191
"Adam7",0.68674535341202,0.497468827413004,0.147468827413004,0.273077728885926,0.01,0.0114603739982191
"Adam9",0.683489350156017,0.505933300188847,0.155933300188847,0.259699772476817,0.01,0.0114603739982191
"Adamts3",0.683489350156017,0.49762083090569,0.14762083090569,0.259545938600796,0.01,0.0114603739982191
"Adcyap1",0.684981684981685,0.50902962639214,0.15902962639214,0.212185503877524,0.01,0.0114603739982191
"Adgrb1",0.671008004341338,0.468487458651994,0.118487458651994,0.246386064196938,0.01,0.0114603739982191
"Adgre5",0.64292497625831,0.475749337592293,0.125749337592293,0.20711948150285,0.01,0.0114603739982191
"Adgrf5",0.639940306606974,0.433330038937638,0.0833300389376384,0.163589550104477,0.06,0.0622240128928284
"Adipoq",0.675485008818342,0.467013161475958,0.117013161475958,0.114439910799673,0.01,0.0114603739982191
"Adm",0.629086962420296,0.405002598108669,0.0550025981086689,-0.0597080056220965,0.16,0.161379310344828
"Adm2",0.703025369692036,0.520337599669982,0.170337599669982,0.277998851884511,0.01,0.0114603739982191
"Agrn",0.685253018586352,0.502108299230406,0.152108299230406,0.264330435359051,0.01,0.0114603739982191
"Agrp",0.660697327363994,0.453842843406697,0.103842843406697,0.20895761676496,0.01,0.0114603739982191
"Agt",0.683896350563017,0.48869160478853,0.13869160478853,0.059859810257614,0.01,0.0114603739982191
"Ahsg",0.683082349749016,0.500326061172354,0.150326061172354,0.179575693836048,0.01,0.0114603739982191
"Aimp1",0.666666666666667,0.49189552688995,0.14189552688995,0.177079358382639,0.01,0.0114603739982191
"Alb",0.686609686609687,0.511055771203998,0.161055771203998,0.157342260538663,0.01,0.0114603739982191
"Alcam",0.666938000271334,0.502330397303205,0.152330397303205,0.237690356388271,0.01,0.0114603739982191
"Alkal1",0.668023334690002,0.472966467549709,0.122966467549709,0.190767419800875,0.01,0.0114603739982191
"Alkal2",0.664902998236332,0.467122204038,0.117122204038,0.174913007792782,0.02,0.0220754716981132
"Alox5ap",0.671957671957672,0.486589249887674,0.136589249887674,0.252456817839148,0.01,0.0114603739982191
"Ambn",0.658526658526659,0.477908318198793,0.127908318198793,0.242061794083484,0.01,0.0114603739982191
"Amelx",0.663681997015331,0.485969491888377,0.135969491888377,0.245841134722141,0.01,0.0114603739982191
"Amh",0.677520010853344,0.476699005381194,0.126699005381194,0.236206679479188,0.01,0.0114603739982191
"Ang",0.665716999050333,0.470520763641425,0.120520763641425,0.20419873596367,0.01,0.0114603739982191
"Ang2",0.663139329805997,0.472149804704561,0.122149804704561,0.207489356243399,0.01,0.0114603739982191
"Ang4",0.663410663410664,0.470866033652011,0.120866033652011,0.20407835535543,0.01,0.0114603739982191
"Ang5",0.662460995794329,0.469841456400627,0.119841456400627,0.203795149232299,0.01,0.0114603739982191
"Ang6",0.662460995794329,0.469841456400627,0.119841456400627,0.203795149232299,0.01,0.0114603739982191
"Angpt1",0.69298602631936,0.485210656096107,0.135210656096107,0.0881707979470824,0.01,0.0114603739982191
"Angpt2",0.672500339167006,0.467584499717828,0.117584499717828,0.0385944288807482,0.02,0.0220754716981132
