Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Rela	H2-K1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	H2-K1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	H2-K1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	H2-K1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	H2-D1	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Rela	C3	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Stat6	H2-D1	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Stat6	C3	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Bcl3	H2-D1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Bcl3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Nfatc3	H2-D1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Nfatc3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Nfatc3	H2-K1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Ap3b1	H2-D1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Ap3b1	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Yy1	H2-D1	regulates via homer-M00293	homer-M00293	6.81108	mm9
Yy1	H2-K1	regulates via homer-M00293	homer-M00293	6.81108	mm9
Irf1	C3	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Irf1	H2-K1	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Irf1	H2-D1	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Irf2	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf2	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf7	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf7	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf5	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf5	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf8	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf8	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf9	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf9	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Stat1	H2-K1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Stat1	H2-D1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
