Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Rela	C3	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Stat6	C3	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Bcl3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Nfatc3	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Ap3b1	C3	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Irf1	C3	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Nr1h3	C3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h2	C3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Thra	C3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	C3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Smad3	C3	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
