"subtype","rank","direction","genes"
"NEU_EXC_LOWER","Rank 1","Up",0
"NEU_EXC_LOWER","Rank 1","Down",0
"NEU_EXC_LOWER","Rank 2","Up",0
"NEU_EXC_LOWER","Rank 2","Down",0
"NEU_EXC_UPPER","Rank 1","Up",0
"NEU_EXC_UPPER","Rank 1","Down",1
"NEU_EXC_UPPER","Rank 2","Up",0
"NEU_EXC_UPPER","Rank 2","Down",1
"NEU_INH","Rank 1","Up",0
"NEU_INH","Rank 1","Down",0
"NEU_INH","Rank 2","Up",0
"NEU_INH","Rank 2","Down",0
"NEU_PY","Rank 1","Up",0
"NEU_PY","Rank 1","Down",0
"NEU_PY","Rank 2","Up",0
"NEU_PY","Rank 2","Down",0
