"patient","Condition","subtype","cells"
"CO14","Ctrl","N1",2
"CO14","Ctrl","N10",2
"CO14","Ctrl","N11",1
"CO14","Ctrl","N2",7
"CO14","Ctrl","N3",1
"CO14","Ctrl","N4",12
"CO14","Ctrl","N5",1
"CO14","Ctrl","N6",5
"CO14","Ctrl","N7",7
"CO14","Ctrl","N8",2
"CO14","Ctrl","N9",2
"CO25","Ctrl","N0",117
"CO25","Ctrl","N1",81
"CO25","Ctrl","N10",10
"CO25","Ctrl","N11",13
"CO25","Ctrl","N12",2
"CO25","Ctrl","N13",7
"CO25","Ctrl","N2",75
"CO25","Ctrl","N3",29
"CO25","Ctrl","N4",63
"CO25","Ctrl","N5",32
"CO25","Ctrl","N6",150
"CO25","Ctrl","N7",42
"CO25","Ctrl","N8",43
"CO25","Ctrl","N9",12
"CO28","Ctrl","N0",58
"CO28","Ctrl","N1",24
"CO28","Ctrl","N10",14
"CO28","Ctrl","N11",8
"CO28","Ctrl","N13",2
"CO28","Ctrl","N2",29
"CO28","Ctrl","N3",261
"CO28","Ctrl","N4",19
"CO28","Ctrl","N5",34
"CO28","Ctrl","N6",34
"CO28","Ctrl","N7",22
"CO28","Ctrl","N8",17
"CO28","Ctrl","N9",2
"CO39","Ctrl","N0",56
"CO39","Ctrl","N1",35
"CO39","Ctrl","N10",14
"CO39","Ctrl","N11",20
"CO39","Ctrl","N12",1
"CO39","Ctrl","N13",5
"CO39","Ctrl","N2",59
"CO39","Ctrl","N3",20
"CO39","Ctrl","N4",37
"CO39","Ctrl","N5",10
"CO39","Ctrl","N6",4
"CO39","Ctrl","N7",20
"CO39","Ctrl","N8",16
"CO39","Ctrl","N9",11
"MS121","MS","N12",81
"MS121","MS","N3",6
"MS121","MS","N6",25
"MS121","MS","N9",1
"MS122","MS","N0",619
"MS122","MS","N1",318
"MS122","MS","N10",70
"MS122","MS","N11",52
"MS122","MS","N12",1
"MS122","MS","N13",45
"MS122","MS","N2",227
"MS122","MS","N3",107
"MS122","MS","N4",139
"MS122","MS","N5",195
"MS122","MS","N6",47
"MS122","MS","N7",130
"MS122","MS","N8",173
"MS122","MS","N9",107
"MS176","MS","N0",57
"MS176","MS","N1",59
"MS176","MS","N10",13
"MS176","MS","N11",9
"MS176","MS","N12",1
"MS176","MS","N13",10
"MS176","MS","N2",61
"MS176","MS","N3",25
"MS176","MS","N4",63
"MS176","MS","N5",22
"MS176","MS","N6",10
"MS176","MS","N7",37
"MS176","MS","N8",11
"MS176","MS","N9",12
"MS242","MS","N0",1
"MS242","MS","N12",1
"MS242","MS","N6",4
"SD48/16","Ctrl","N0",4
"SD48/16","Ctrl","N10",11
"SD48/16","Ctrl","N2",18
"SD48/16","Ctrl","N3",2
"SD48/16","Ctrl","N4",36
"SD48/16","Ctrl","N6",3
"SD48/16","Ctrl","N7",14
"SD48/16","Ctrl","N8",10
