"subtype","rank","direction","genes"
"N0","Rank 1","Up",0
"N1","Rank 1","Up",0
"N2","Rank 1","Up",0
"N3","Rank 1","Up",0
"N4","Rank 1","Up",0
"N5","Rank 1","Up",0
"N6","Rank 1","Up",0
"N7","Rank 1","Up",0
"N0","Rank 2","Up",0
"N1","Rank 2","Up",0
"N2","Rank 2","Up",0
"N3","Rank 2","Up",0
"N4","Rank 2","Up",0
"N5","Rank 2","Up",0
"N6","Rank 2","Up",0
"N7","Rank 2","Up",0
"N0","Rank 1","Down",0
"N1","Rank 1","Down",0
"N2","Rank 1","Down",0
"N3","Rank 1","Down",0
"N4","Rank 1","Down",0
"N5","Rank 1","Down",0
"N6","Rank 1","Down",0
"N7","Rank 1","Down",0
"N0","Rank 2","Down",0
"N1","Rank 2","Down",0
"N2","Rank 2","Down",0
"N3","Rank 2","Down",0
"N4","Rank 2","Down",0
"N5","Rank 2","Down",0
"N6","Rank 2","Down",0
"N7","Rank 2","Down",0
