"subtype","rank","direction","genes"
"EN-L2-3","Rank 1","Up",1
"EN-L2-3","Rank 1","Down",0
"EN-L2-3","Rank 2","Up",0
"EN-L2-3","Rank 2","Down",0
"EN-L4","Rank 1","Up",0
"EN-L4","Rank 1","Down",0
"EN-L4","Rank 2","Up",0
"EN-L4","Rank 2","Down",0
"EN-L5-6","Rank 1","Up",0
"EN-L5-6","Rank 1","Down",1
"EN-L5-6","Rank 2","Up",0
"EN-L5-6","Rank 2","Down",0
"EN-MIX","Rank 1","Up",0
"EN-MIX","Rank 1","Down",0
"EN-MIX","Rank 2","Up",0
"EN-MIX","Rank 2","Down",0
"EN-PYR","Rank 1","Up",1
"EN-PYR","Rank 1","Down",0
"EN-PYR","Rank 2","Up",0
"EN-PYR","Rank 2","Down",0
"IN-PVALB","Rank 1","Up",1
"IN-PVALB","Rank 1","Down",0
"IN-PVALB","Rank 2","Up",0
"IN-PVALB","Rank 2","Down",0
"IN-SST","Rank 1","Up",0
"IN-SST","Rank 1","Down",0
"IN-SST","Rank 2","Up",0
"IN-SST","Rank 2","Down",0
"IN-SV2C","Rank 1","Up",0
"IN-SV2C","Rank 1","Down",0
"IN-SV2C","Rank 2","Up",0
"IN-SV2C","Rank 2","Down",0
"IN-VIP","Rank 1","Up",1
"IN-VIP","Rank 1","Down",0
"IN-VIP","Rank 2","Up",0
"IN-VIP","Rank 2","Down",0
